CIA - The World Factbook --  GDP (purchasing power parity)   

This entry gives the gross domestic product (GDP) or value of all final goods and services produced within a nation in a given year. A nation's GDP at purchasing power parity (PPP) exchange rates is the sum value of all goods and services produced in the country valued at prices prevailing in the United States. This is the measure most economists prefer when looking at per-capita welfare and when comparing living conditions or use of resources across countries. The measure is difficult to compute, as a US dollar value has to be assigned to all goods and services in the country regardless of whether these goods and services have a direct equivalent in the United States (for example, the value of an ox-cart or non-US military equipment); as a result, PPP estimates for some countries are based on a small and sometimes different set of goods and services. In addition, many countries do not formally participate in the World Bank's PPP project that calculates these measures, so the resulting GDP estimates for these countries may lack precision. For many developing countries, PPP-based GDP measures are multiples of the official exchange rate (OER) measure. The differences between the OER- and PPP-denominated GDP values for most of the wealthy industrialized countries are generally much smaller.

| Rank | country | GDP (purchasing power parity) | Date of Information |
| --- | --- | --- | --- |
| 1 | European Union | $ 14,890,000,000,000 | 2010 est. |
| 2 | United States | $ 14,720,000,000,000 | 2010 est. |
| 3 | China | $ 9,872,000,000,000 | 2010 est. |
| 4 | Japan | $ 4,338,000,000,000 | 2010 est. |
| 5 | India | $ 4,046,000,000,000 | 2010 est. |
| 6 | Germany | $ 2,951,000,000,000 | 2010 est. |
| 7 | Russia | $ 2,229,000,000,000 | 2010 est. |
| 8 | Brazil | $ 2,194,000,000,000 | 2010 est. |
| 9 | United Kingdom | $ 2,189,000,000,000 | 2010 est. |
| 10 | France | $ 2,160,000,000,000 | 2010 est. |
| 11 | Italy | $ 1,782,000,000,000 | 2010 est. |
| 12 | Mexico | $ 1,560,000,000,000 | 2010 est. |
| 13 | Korea, South | $ 1,467,000,000,000 | 2010 est. |
| 14 | Spain | $ 1,374,000,000,000 | 2010 est. |
| 15 | Canada | $ 1,335,000,000,000 | 2010 est. |
| 16 | Indonesia | $ 1,033,000,000,000 | 2010 est. |
| 17 | Turkey | $ 958,300,000,000 | 2010 est. |
| 18 | Australia | $ 889,600,000,000 | 2010 est. |
| 19 | Iran | $ 863,500,000,000 | 2010 est. |
| 20 | Taiwan | $ 807,200,000,000 | 2010 est. |
| 21 | Poland | $ 721,700,000,000 | 2010 est. |
| 22 | Netherlands | $ 680,400,000,000 | 2010 est. |
| 23 | Saudi Arabia | $ 622,500,000,000 | 2010 est. |
| 24 | Argentina | $ 596,000,000,000 | 2010 est. |
| 25 | Thailand | $ 580,300,000,000 | 2010 est. |
| 26 | South Africa | $ 527,500,000,000 | 2010 est. |
| 27 | Egypt | $ 500,900,000,000 | 2010 est. |
| 28 | Pakistan | $ 451,200,000,000 | 2010 est. |
| 29 | Colombia | $ 431,900,000,000 | 2010 est. |
| 30 | Malaysia | $ 416,400,000,000 | 2010 est. |
| 31 | Belgium | $ 394,900,000,000 | 2010 est. |
| 32 | Nigeria | $ 369,800,000,000 | 2010 est. |
| 33 | Sweden | $ 354,000,000,000 | 2010 est. |
| 34 | Philippines | $ 351,200,000,000 | 2010 est. |
| 35 | Venezuela | $ 344,200,000,000 | 2010 est. |
| 36 | Austria | $ 332,900,000,000 | 2010 est. |
| 37 | Switzerland | $ 326,900,000,000 | 2010 est. |
| 38 | Hong Kong | $ 323,300,000,000 | 2010 est. |
| 39 | Greece | $ 321,700,000,000 | 2010 est. |
| 40 | Ukraine | $ 306,300,000,000 | 2010 est. |
| 41 | Singapore | $ 292,200,000,000 | 2010 est. |
| 42 | Vietnam | $ 278,100,000,000 | 2010 est. |
| 43 | Norway | $ 276,400,000,000 | 2010 est. |
| 44 | Peru | $ 274,700,000,000 | 2010 est. |
| 45 | Czech Republic | $ 261,500,000,000 | 2010 est. |
| 46 | Chile | $ 260,000,000,000 | 2010 est. |
| 47 | Bangladesh | $ 259,300,000,000 | 2010 est. |
| 48 | Algeria | $ 254,700,000,000 | 2010 est. |
| 49 | Romania | $ 253,300,000,000 | 2010 est. |
| 50 | Portugal | $ 247,000,000,000 | 2010 est. |
| 51 | Israel | $ 217,100,000,000 | 2010 est. |
| 52 | Denmark | $ 204,100,000,000 | 2010 est. |
| 53 | United Arab Emirates | $ 199,800,000,000 | 2010 est. |
| 54 | Kazakhstan | $ 193,800,000,000 | 2010 est. |
| 55 | Hungary | $ 190,000,000,000 | 2010 est. |
| 56 | Finland | $ 185,400,000,000 | 2010 est. |
| 57 | Ireland | $ 174,000,000,000 | 2010 est. |
| 58 | Morocco | $ 153,800,000,000 | 2010 est. |
| 59 | Kuwait | $ 144,300,000,000 | 2010 est. |
| 60 | Belarus | $ 128,400,000,000 | 2010 est. |
| 61 | Qatar | $ 122,200,000,000 | 2010 est. |
| 62 | Slovakia | $ 121,300,000,000 | 2010 est. |
| 63 | New Zealand | $ 119,200,000,000 | 2010 est. |
| 64 | Iraq | $ 117,700,000,000 | 2010 est. |
| 65 | Ecuador | $ 114,700,000,000 | 2010 est. |
| 66 | Angola | $ 114,100,000,000 | 2010 est. |
| 67 | Cuba | $ 114,100,000,000 | 2010 est. |
| 68 | Syria | $ 106,400,000,000 | 2010 est. |
| 69 | Sri Lanka | $ 104,700,000,000 | 2010 est. |
| 70 | Tunisia | $ 100,300,000,000 | 2010 est. |
| 71 | Sudan | $ 98,790,000,000 | 2010 est. |
| 72 | Bulgaria | $ 91,830,000,000 | 2010 est. |
| 73 | Azerbaijan | $ 90,150,000,000 | 2010 est. |
| 74 | Libya | $ 89,030,000,000 | 2010 est. |
| 75 | Uzbekistan | $ 86,070,000,000 | 2010 est. |
| 76 | Dominican Republic | $ 84,940,000,000 | 2010 est. |
| 77 | Ethiopia | $ 84,020,000,000 | 2010 est. |
| 78 | Serbia | $ 80,650,000,000 | 2010 est. |
| 79 | Croatia | $ 78,520,000,000 | 2010 est. |
| 80 | Oman | $ 76,530,000,000 | 2010 est. |
| 81 | Guatemala | $ 70,310,000,000 | 2010 est. |
| 82 | Kenya | $ 65,950,000,000 | 2010 est. |
| 83 | Puerto Rico | $ 64,840,000,000 | 2010 est. |
| 84 | Tanzania | $ 62,220,000,000 | 2010 est. |
| 85 | Yemen | $ 61,880,000,000 | 2010 est. |
| 86 | Burma | $ 60,070,000,000 | 2010 est. |
| 87 | Lebanon | $ 58,650,000,000 | 2010 est. |
| 88 | Slovenia | $ 56,810,000,000 | 2010 est. |
| 89 | Lithuania | $ 56,220,000,000 | 2010 est. |
| 90 | Costa Rica | $ 51,300,000,000 | 2010 est. |
| 91 | Bolivia | $ 47,980,000,000 | 2010 est. |
| 92 | Uruguay | $ 47,800,000,000 | 2010 est. |
| 93 | Cameroon | $ 44,650,000,000 | 2010 est. |
| 94 | El Salvador | $ 43,980,000,000 | 2010 est. |
| 95 | Panama | $ 43,480,000,000 | 2010 est. |
| 96 | Uganda | $ 41,700,000,000 | 2010 est. |
| 97 | Luxembourg | $ 40,810,000,000 | 2010 est. |
| 98 | Korea, North | $ 40,000,000,000 | 2009 est. |
| 99 | Ghana | $ 38,240,000,000 | 2010 est. |
| 100 | Cote d'Ivoire | $ 37,800,000,000 | 2010 est. |
| 101 | Turkmenistan | $ 36,640,000,000 | 2010 est. |
| 102 | Nepal | $ 35,310,000,000 | 2010 est. |
| 103 | Jordan | $ 33,790,000,000 | 2010 est. |
| 104 | Honduras | $ 33,770,000,000 | 2010 est. |
| 105 | Latvia | $ 32,200,000,000 | 2010 est. |
| 106 | Paraguay | $ 30,940,000,000 | 2010 est. |
| 107 | Bosnia and Herzegovina | $ 30,560,000,000 | 2010 est. |
| 108 | Bahrain | $ 29,820,000,000 | 2010 est. |
| 109 | Afghanistan | $ 29,810,000,000 | 2010 est. |
| 110 | Cambodia | $ 29,460,000,000 | 2010 est. |
| 111 | Trinidad and Tobago | $ 27,100,000,000 | 2010 est. |
| 112 | Botswana | $ 26,560,000,000 | 2010 est. |
| 113 | Equatorial Guinea | $ 24,660,000,000 | 2010 est. |
| 114 | Estonia | $ 24,530,000,000 | 2010 est. |
| 115 | Albania | $ 23,950,000,000 | 2010 est. |
| 116 | Jamaica | $ 23,930,000,000 | 2010 est. |
| 117 | Senegal | $ 23,860,000,000 | 2010 est. |
| 118 | Cyprus | $ 23,180,000,000 | 2010 est. |
| 119 | Congo, Democratic Republic of the | $ 22,920,000,000 | 2010 est. |
| 120 | Gabon | $ 22,540,000,000 | 2010 est. |
| 121 | Georgia | $ 22,320,000,000 | 2010 est. |
| 122 | Mozambique | $ 22,190,000,000 | 2010 est. |
| 123 | Madagascar | $ 20,730,000,000 | 2010 est. |
| 124 | Burkina Faso | $ 20,060,000,000 | 2010 est. |
| 125 | Zambia | $ 20,030,000,000 | 2010 est. |
| 126 | Brunei | $ 19,880,000,000 | 2010 est. |
