CIA - The World Factbook --  GDP (purchasing power parity)   

This entry gives the gross domestic product (GDP) or value of all final goods and services produced within a nation in a given year. A nation's GDP at purchasing power parity (PPP) exchange rates is the sum value of all goods and services produced in the country valued at prices prevailing in the United States. This is the measure most economists prefer when looking at per-capita welfare and when comparing living conditions or use of resources across countries. The measure is difficult to compute, as a US dollar value has to be assigned to all goods and services in the country regardless of whether these goods and services have a direct equivalent in the United States (for example, the value of an ox-cart or non-US military equipment); as a result, PPP estimates for some countries are based on a small and sometimes different set of goods and services. In addition, many countries do not formally participate in the World Bank's PPP project that calculates these measures, so the resulting GDP estimates for these countries may lack precision. For many developing countries, PPP-based GDP measures are multiples of the official exchange rate (OER) measure. The differences between the OER- and PPP-denominated GDP values for most of the wealthy industrialized countries are generally much smaller.

| Rank | country | GDP (purchasing power parity) | Date of Information |
| --- | --- | --- | --- |
| 1 | European Union | $ 14,820,000,000,000 | 2010 est. |
| 2 | United States | $ 14,660,000,000,000 | 2010 est. |
| 3 | China | $ 10,090,000,000,000 | 2010 est. |
| 4 | Japan | $ 4,310,000,000,000 | 2010 est. |
| 5 | India | $ 4,060,000,000,000 | 2010 est. |
| 6 | Germany | $ 2,940,000,000,000 | 2010 est. |
| 7 | Russia | $ 2,223,000,000,000 | 2010 est. |
| 8 | United Kingdom | $ 2,173,000,000,000 | 2010 est. |
| 9 | Brazil | $ 2,172,000,000,000 | 2010 est. |
| 10 | France | $ 2,145,000,000,000 | 2010 est. |
| 11 | Italy | $ 1,774,000,000,000 | 2010 est. |
| 12 | Mexico | $ 1,567,000,000,000 | 2010 est. |
| 13 | Korea, South | $ 1,459,000,000,000 | 2010 est. |
| 14 | Spain | $ 1,369,000,000,000 | 2010 est. |
| 15 | Canada | $ 1,330,000,000,000 | 2010 est. |
| 16 | Indonesia | $ 1,030,000,000,000 | 2010 est. |
| 17 | Turkey | $ 960,500,000,000 | 2010 est. |
| 18 | Australia | $ 882,400,000,000 | 2010 est. |
| 19 | Taiwan | $ 821,800,000,000 | 2010 est. |
| 20 | Iran | $ 818,700,000,000 | 2010 est. |
| 21 | Poland | $ 721,300,000,000 | 2010 est. |
| 22 | Netherlands | $ 676,900,000,000 | 2010 est. |
| 23 | Saudi Arabia | $ 622,000,000,000 | 2010 est. |
| 24 | Argentina | $ 596,000,000,000 | 2010 est. |
| 25 | Thailand | $ 586,900,000,000 | 2010 est. |
