CIA - The World Factbook --  GDP (PURCHASING POWER PARITY)

GDP (purchasing power parity) compares the gross domestic product (GDP) or value of all final goods and services produced within a nation in a given year. A nation's GDP at purchasing power parity (PPP) exchange rates is the sum value of all goods and services produced in the country valued at prices prevailing in the United States.

| Rank | Country | GDP (PURCHASING POWER PARITY) | Date of Information |
| --- | --- | --- | --- |
| 1 | China | $21,290,000,000,000 | 2016 est. |
| 2 | European Union | $19,970,000,000,000 | 2016 est. |
| 3 | United States | $18,570,000,000,000 | 2016 est. |
| 4 | India | $8,662,000,000,000 | 2016 est. |
| 5 | Japan | $5,238,000,000,000 | 2016 est. |
| 6 | Germany | $3,980,000,000,000 | 2016 est. |
| 7 | Russia | $3,751,000,000,000 | 2016 est. |
| 8 | Brazil | $3,141,000,000,000 | 2016 est. |
| 9 | Indonesia | $3,032,000,000,000 | 2016 est. |
| 10 | United Kingdom | $2,786,000,000,000 | 2016 est. |
| 11 | France | $2,734,000,000,000 | 2016 est. |
| 12 | Mexico | $2,316,000,000,000 | 2016 est. |
| 13 | Italy | $2,235,000,000,000 | 2016 est. |
| 14 | Turkey | $1,988,000,000,000 | 2016 est. |
| 15 | Korea, South | $1,934,000,000,000 | 2016 est. |
| 16 | Saudi Arabia | $1,751,000,000,000 | 2016 est. |
| 17 | Spain | $1,687,000,000,000 | 2016 est. |
| 18 | Canada | $1,682,000,000,000 | 2016 est. |
| 19 | Iran | $1,455,000,000,000 | 2016 est. |
| 20 | Australia | $1,187,000,000,000 | 2016 est. |
| 21 | Thailand | $1,165,000,000,000 | 2016 est. |
| 22 | Egypt | $1,132,000,000,000 | 2016 est. |
| 23 | Taiwan | $1,132,000,000,000 | 2016 est. |
| 24 | Nigeria | $1,091,000,000,000 | 2016 est. |
| 25 | Poland | $1,054,000,000,000 | 2016 est. |
| 26 | Pakistan | $988,200,000,000 | 2016 est. |
| 27 | Argentina | $874,100,000,000 | 2016 est. |
| 28 | Netherlands | $869,400,000,000 | 2016 est. |
| 29 | Malaysia | $863,300,000,000 | 2016 est. |
| 30 | Philippines | $805,200,000,000 | 2016 est. |
| 31 | South Africa | $739,400,000,000 | 2016 est. |
| 32 | Colombia | $688,800,000,000 | 2016 est. |
| 33 | United Arab Emirates | $668,900,000,000 | 2016 est. |
| 34 | Iraq | $647,200,000,000 | 2016 est. |
| 35 | Bangladesh | $628,400,000,000 | 2016 est. |
| 36 | Algeria | $612,500,000,000 | 2016 est. |
| 37 | Vietnam | $595,500,000,000 | 2016 est. |
| 38 | Belgium | $509,500,000,000 | 2016 est. |
| 39 | Sweden | $498,100,000,000 | 2016 est. |
| 40 | Switzerland | $496,000,000,000 | 2016 est. |
| 41 | Singapore | $492,600,000,000 | 2016 est. |
| 42 | Kazakhstan | $451,300,000,000 | 2016 est. |
| 43 | Romania | $441,600,000,000 | 2016 est. |
| 44 | Chile | $438,800,000,000 | 2016 est. |
| 45 | Hong Kong | $429,700,000,000 | 2016 est. |
| 46 | Venezuela | $427,000,000,000 | 2016 est. |
| 47 | Austria | $417,200,000,000 | 2016 est. |
| 48 | Peru | $406,200,000,000 | 2016 est. |
| 49 | Norway | $364,400,000,000 | 2016 est. |
| 50 | Ukraine | $353,000,000,000 | 2016 est. |
| 51 | Czechia | $350,700,000,000 | 2016 est. |
| 52 | Qatar | $329,200,000,000 | 2016 est. |
| 53 | Ireland | $324,900,000,000 | 2016 est. |
| 54 | Burma | $304,700,000,000 | 2016 est. |
| 55 | Kuwait | $303,700,000,000 | 2016 est. |
| 56 | Israel | $300,600,000,000 | 2016 est. |
| 57 | Portugal | $298,700,000,000 | 2016 est. |
| 58 | Greece | $289,400,000,000 | 2016 est. |
| 59 | Morocco | $281,800,000,000 | 2016 est. |
| 60 | Denmark | $273,900,000,000 | 2016 est. |
| 61 | Hungary | $270,300,000,000 | 2016 est. |
| 62 | Sri Lanka | $260,600,000,000 | 2016 est. |
| 63 | Finland | $231,400,000,000 | 2016 est. |
