CIA - The World Factbook 2000 -- Executive branch

| Country | Executive branch |
| --- | --- |
| **Afghanistan** | on 27 September 1996, the ruling members of the Afghan Government were displaced by members of the Islamic Taliban movement; the Islamic State of Afghanistan has no functioning government at this time, and the country remains divided among fighting factions |
| | *note:* the Taliban have declared themselves the legitimate government of Afghanistan; however, the UN still recognizes the government of Burhanuddin RABBANI; the Organization of the Islamic Conference has left the Afghan seat vacant until the question of legitimacy can be resolved through negotiations among the warring factions; the country is essentially divided along ethnic lines; the Taliban controls the capital of Kabul and approximately two-thirds of the country including the predominately ethnic Pashtun areas in southern Afghanistan; opposing factions have their stronghold in the ethnically diverse north |
| **Albania** | *chief of state:* President of the Republic Rexhep MEIDANI (since 24 July 1997) |
| | *head of government:* Prime Minister Ilir META (since 29 October 1999) |
| | *cabinet:* Council of Ministers nominated by the prime minister and approved by the president |
| | *elections:* president elected by the People's Assembly for a five-year term; election last held 24 July 1997 (next to be held NA 2002); prime minister appointed by the president |
| | *election results:* Rexhep MEIDANI elected president; People's Assembly vote by number - total votes 122, for 110, against 3, abstained 2, invalid 7 |
| **Algeria** | *chief of state:* President Abdelaziz BOUTEFLIKA (since 28 April 1999) |
| | *head of government:* Prime Minister Ahmed BENBITOUR (since 2 December 1999) |
| | *cabinet:* Council of Ministers appointed by the prime minister |
| | *elections:* president elected by popular vote for a five-year term; election last held 15 April 1999 (next to be held NA April 2004); prime minister appointed by the president |
| | *election results:* Abdelaziz BOUTEFLIKA elected president; percent of vote - Abdelaziz BOUTEFLIKA 70%; note - six of the seven candidates withdrew sighting persistent electoral fraud |
| **American Samoa** | *chief of state:* President William Jefferson CLINTON of the US (since 20 January 1993) and Vice President Albert GORE, Jr. (since 20 January 1993) |
| | *head of government:* Governor Tauese P. SUNIA (since 3 January 1997) and Lieutenant Governor Togiola TULAFONO (since 3 January 1997) |
| | *cabinet:* NA |
| | *elections:* US president and vice president elected on the same ticket for four-year terms; governor and lieutenant governor elected on the same ticket by popular vote for four-year terms; election last held 3 November 1996 (next to be held 7 November 2000) |
| | *election results:* Tauese P. SUNIA elected governor; percent of vote - Tauese P. SUNIA (Democrat) 51%, Peter REID (independent) 49% |
| **Andorra** | *chief of state:* French Coprince Jacques CHIRAC (since 17 May 1995), represented by Mr. Frederic de SAINT-SERNIN (since NA); Spanish Coprince Episcopal Monseigneur Joan MARTI Alanis (since 31 January 1971), represented by Mr. Nemesi MARQUES OSTE (since NA) |
| | *head of government:* Executive Council President Marc FORNE Molne (since 21 December 1994) |
| | *cabinet:* Executive Council or Govern designated by the Executive Council president |
| | *elections:* Executive Council president elected by the General Council and formally appointed by the coprinces for a four-year term; election last held 16 February 1997 (next to be held NA 2001) |
| | *election results:* Marc FORNE Molne elected executive council president; percent of General Council vote - 64% |
| **Angola** | *chief of state:* President Jose Eduardo DOS SANTOS (since 21 September 1979); note - the president is both chief of state and head of government |
| | *head of government:* President Jose Eduardo DOS SANTOS (since January 1999); note - the president is both chief of state and head of government |
| | *cabinet:* Council of Ministers appointed by the president |
| | *elections:* President DOS SANTOS originally elected (in 1979) without opposition under a one-party system and stood for reelection in Angola's first multiparty elections 28-29 September 1992, the last elections to be held (next to be held NA) |
| | *election results:* DOS SANTOS received 49.6% of the total vote, making a run-off election necessary between him and second-place finisher Jonas SAVIMBI (40.1% of the vote); the run-off was not held and SAVIMBI's National Union for the Total Independence of Angola (UNITA) repudiated the results of the first election; the civil war resumed |
| **Anguilla** | *chief of state:* Queen ELIZABETH II (since 6 February 1952); represented by Governor Alan HOOLE (since 1 November 1995) |
| | *head of government:* Chief Minister Hubert HUGHES (since 16 March 1994) |
| | *cabinet:* Executive Council appointed by the governor from among the elected members of the House of Assembly |
