FIELD LISTING :: EXECUTIVE BRANCH

This entry includes several subfields. Chief of state includes the name and title of the titular leader of the country who represents the state at official and ceremonial functions but may not be involved with the day-to-day activities of the government. Head of government includes the name and title of the top administrative leader who is designated to manage the day-to-day activities of the government. For example, in the UK, the monarch is the chief of state, and the prime minister is the head of government. In the US, the president is both the chief of state and the head of government. Cabinet includes the official name for this body of high-ranking advisers and the method for selection of members. Elections includes the nature of election process or accession to power, date of the last election, and date of the next election. Election results includes the percent of vote for each candidate in the last election.

| Country | EXECUTIVE BRANCH |
| --- | --- |
| **Afghanistan** | *chief of state:* President of the Islamic Republic of Afghanistan Ashraf GHANI Ahmadzai (since 29 September 2014 ); CEO Abdullah ABDULLAH (since 29 September 2014); First Vice President Abdul Rashid DOSTAM (since 29 September 2014 ); Second Vice President Sarwar DANESH (since 29 September 2014); note - the president is both chief of state and head of government |
| | *head of government:* President of the Islamic Republic of Afghanistan Ashraf GHANI Ahmadzai (since 29 September 2014 ); CEO Abdullah ABDULLAH (since 29 September 2014); First Vice President Abdul Rashid DOSTAM (since 29 September 2014 ); Second Vice President Sarwar DANESH (since 29 September 2014) |
| | *cabinet:* Cabinet consists of 25 ministers appointed by the president, approved by the National Assembly |
| | *elections/appointments:* president directly elected by absolute majority popular vote in 2 rounds if needed for a 5-year term (eligible for a second term); election last held in 2 rounds on 5 April and 14 June 2014 (next to be held in 2019) |
| | *election results:* percent of vote in first round - Abdullah ABDULLAH (National Coalition of Afghanistan) 45%, Ashraf GHANI (independent) 31.6%, Zalmai RASSOUL 11.4%, other 12%; percent of vote in second round - Ashraf GHANI 56.4%, Abdullah ABDULLAH 43.6% |
| **Akrotiri** | *chief of state:* Queen ELIZABETH II (since 6 February 1952) |
| | *head of government:* Administrator Air Vice-Marshal Michael WIGSTON (since 21 January 2015); note - administrator reports to the British Ministry of Defense; the Chief Officer is responsible for the day-to-day running of the civil government of the Sovereign Bases |
| | *elections/appointments:* the monarchy is hereditary; administrator appointed by the monarch on the advice of the Ministry of Defense |
| **Albania** | *chief of state:* President of the Republic Bujar NISHANI (since 24 July 2012) |
| | *head of government:* Prime Minister Edi RAMA (since 10 September 2013); Deputy Prime Minister Niko PELESHI |
| | *cabinet:* Council of Ministers proposed by the prime minister, nominated by the president, and approved by the Assembly |
| | *elections/appointments:* president indirectly elected by the Assembly for a 5-year term (eligible for a second term); a candidate needs three-fifths majority vote of the Assembly in one of three rounds or a simple majority in 2 additional rounds to become president; election last held in 4 rounds 30 May-11 June 2012 (next election to be held in 2017); prime minister appointed by the president on the proposal of the majority party or coalition of parties in the Assembly |
| | *election results:* Bujar NISHANI elected president; Assembly vote - 73 on fourth round |
| **Algeria** | *chief of state:* President Abdelaziz BOUTEFLIKA (since 28 April 1999) |
| | *head of government:* Prime Minister Abdelmalek SELLAL (since 28 April 2014) |
| | *cabinet:* Cabinet of Ministers appointed by the president |
| | *elections/appointments:* president directly elected by absolute majority popular vote in two rounds if needed for a 5-year term (no term limits); election last held on 17 April 2014 (next to be held in April 2019); prime minister appointed by the president |
| | *election results:* Abdelaziz BOUTEFLIKA reelected president for a fourth term; percent of vote - Abdelaziz BOUTEFLIKA (FLN) 81.5%, Ali BENFLIS (FLN) 12.2%, Abdelaziz BELAID (Future Front) 3.4%, other 2.9% |
| **American Samoa** | *chief of state:* President Barack H. OBAMA (since 20 January 2009); Vice President Joseph R. BIDEN (since 20 January 2009) |
| | *head of government:* Governor Lolo Matalasi MOLIGA (since 3 January 2013) |
| | *cabinet:* Cabinet consists of 12 department directors appointed by the governor with the consent of the Legislative Assembly |
| | *elections/appointments:* president and vice president indirectly elected on the same ballot by an Electoral College of 'electors' chosen from each state to serve a 4-year term (eligible for a second term); under the US Constitution, residents of unincorporated territories, such as American Samoa, do not vote in elections for US president and vice president; however, they may vote in Democratic and Republican presidential primary elections; governor and lieutenant governor directly elected on the same ballot by absolute majority popular vote in 2 rounds if needed for a 4-year term (eligible for a second term); election last held on 6 November 2012 with a runoff on 20 November 2012 (next to be held in November 2016) |
| | *election results:* Lolo Matalasi MOLIGA elected governor; percent of vote in second round - Lolo Matalasi MOLIGA (independent) 52.9%, Faoa Aitofele SUNIA (Democratic Party) 47.1% |
