CIA -- The World Factbook -- Electricity - imports

| Country | Electricity - imports |
| --- | --- |
| **Afghanistan** | 90 million kWh (1999) |
| **Albania** | 600 million kWh (2000) |
| **Algeria** | 330 million kWh (1999) |
| **American Samoa** | 0 kWh (1999) |
| **Andorra** | NA kWh |
| | *note:*  most electricity supplied by Spain and France; Andorra generates a small amount of hydropower |
| **Angola** | 0 kWh (1999) |
| **Antigua and Barbuda** | 0 kWh (1999) |
| **Argentina** | 6.5 billion kWh (1999) |
| **Armenia** | 0 kWh (1999) |
| **Aruba** | 0 kWh (1999) |
| **Australia** | 0 kWh (1999) |
| **Austria** | 11.605 billion kWh (1999) |
| **Azerbaijan** | 800 million kWh (1999) |
| **Bahamas, The** | 0 kWh (1999) |
| **Bahrain** | 0 kWh (1999) |
| **Bangladesh** | 0 kWh (1999) |
| **Barbados** | 0 kWh (1999) |
| **Belarus** | 7.1 billion kWh (1999) |
| **Belgium** | 9.055 billion kWh (1999) |
| **Belize** | 0 kWh (1999) |
| **Benin** | 300 million kWh (1999) |
| **Bermuda** | 0 kWh (1999) |
| **Bhutan** | 15 million kWh (1999) |
| **Bolivia** | 10 million kWh (1999) |
| **Bosnia and Herzegovina** | 430 million kWh (1999) |
| **Botswana** | 950 million kWh (1999) |
| **Brazil** | 39.86 billion kWh |
| | *note:*  supplied by Paraguay (1999) |
| **British Virgin Islands** | 0 kWh (1999) |
| **Brunei** | 0 kWh (1999) |
| **Bulgaria** | 1.7 billion kWh (1999) |
| **Burkina Faso** | 0 kWh (1999) |
| **Burma** | 0 kWh (1999) |
| **Burundi** | 29 million kWh |
| | *note:*  supplied by the Democratic Republic of the Congo (1999) |
| **Cambodia** | 0 kWh (1999) |
| **Cameroon** | 0 kWh (1999) |
| **Canada** | 12.953 billion kWh (1999) |
| **Cape Verde** | 0 kWh (1999) |
| **Cayman Islands** | 0 kWh (1999) |
| **Central African Republic** | 0 kWh (1999) |
| **Chad** | 0 kWh (1999) |
| **Chile** | 0 kWh (1999) |
| **China** | 90 million kWh (1999) |
| **Colombia** | 35 million kWh (1999) |
| **Comoros** | 0 kWh (1999) |
| **Congo, Democratic Republic of the** | 55 million kWh (1999) |
| **Congo, Republic of the** | 126 million kWh (1999) |
| **Cook Islands** | 0 kWh (1999) |
| **Costa Rica** | 69 million kWh (1999) |
| **Cote d'Ivoire** | 0 kWh (1999) |
| **Croatia** | 4.45 billion kWh (1999) |
| **Cuba** | 0 kWh (1999) |
| **Cyprus** | 0 kWh (1999) |
| **Czech Republic** | 8.735 billion kWh (2000) |
| **Denmark** | 4.963 billion kWh (1999) |
| **Djibouti** | 0 kWh (1999) |
| **Dominica** | 0 kWh (1999) |
| **Dominican Republic** | 0 kWh (1999) |
| **Ecuador** | 25 million kWh (1999) |
| **Egypt** | 0 kWh (1999) |
| **El Salvador** | 460 million kWh (1999) |
| **Equatorial Guinea** | 0 kWh (1999) |
| **Eritrea** | 0 kWh NA kWh (1999) |
| **Estonia** | 100 million kWh (1999) |
| **Ethiopia** | 0 kWh (1999) |
| **Falkland Islands (Islas Malvinas)** | 0 kWh (1999) |
| **Faroe Islands** | 0 kWh (1999) |
| **Fiji** | 0 kWh (1999) |
| **Finland** | 11.356 billion kWh (1999) |
| **France** | 5 billion kWh (1999) |
| **French Guiana** | 0 kWh (1999) |
| **French Polynesia** | 0 kWh (1999) |
| **Gabon** | 0 kWh (1999) |
| **Gambia, The** | 0 kWh (1999) |
| **Gaza Strip** | NA kWh; note - electricity supplied by Israel |
| **Georgia** | 550 million kWh (1999) |
| **Germany** | 40.5 billion kWh (1999) |
| **Ghana** | 890 million kWh (1999) |
| **Gibraltar** | 0 kWh (1999) |
| **Greece** | 1.811 billion kWh (1999) |
| **Greenland** | 0 kWh (1999) |
| **Grenada** | 0 kWh (1999) |
| **Guadeloupe** | 0 kWh (1999) |
| **Guam** | 0 kWh (1999) |
| **Guatemala** | 210 million kWh (1999) |
| **Guernsey** | NA kWh |
| **Guinea** | 0 kWh (1999) |
| **Guinea-Bissau** | 0 kWh (1999) |
| **Guyana** | 0 kWh (1999) |
| **Haiti** | 0 kWh (1999) |
| **Holy See (Vatican City)** | NA kWh; note - electricity supplied by Italy |
| **Honduras** | 145 million kWh (1999) |
| **Hong Kong** | 7.05 billion kWh (1999) |
| **Hungary** | 3.406 billion kWh (1999) |
| **Iceland** | 0 kWh (1999) |
| **India** | 1.49 billion kWh (1999) |
| **Indonesia** | 0 kWh (1999) |
| **Iran** | 0 kWh (1999) |
| **Iraq** | 0 kWh (1999) |
| **Ireland** | 290 million kWh (1999) |
| **Israel** | 4 million kWh (1999) |
| **Italy** | 42.539 billion kWh (1999) |
| **Jamaica** | 0 kWh (1999) |
| **Japan** | 0 kWh (1999) |
| **Jersey** | NA kWh |
| | *note:*  electricity supplied by France |
| **Jordan** | 407 million kWh (1999) |
| **Kazakhstan** | 3.077 billion kWh (1999) |
| **Kenya** | 146 million kWh (1999) |
| **Kiribati** | 0 kWh (1999) |
| **Korea, North** | 0 kWh (1999) |
| **Korea, South** | 0 kWh (1999) |
| **Kuwait** | 0 kWh (1999) |
| **Kyrgyzstan** | 184 million kWh (1999) |
| **Laos** | 142 million kWh (1999) |
| **Latvia** | 1 billion kWh (1999) |
| **Lebanon** | 654 million kWh (1999) |
| **Lesotho** | 55 million kWh |
| | *note:*  electricity supplied by South Africa (1999) |
| **Liberia** | 0 kWh (1999) |
| **Libya** | 0 kWh (1999) |
| **Liechtenstein** | NA kWh |
| **Lithuania** | 400 million kWh (1999) |
| **Luxembourg** | 6.201 billion kWh (1999) |
| **Macau** | 165 million kWh (1999) |
| **Macedonia, The Former Yugoslav Republic of** | 75 million kWh (1999) |
| **Madagascar** | 0 kWh (1999) |
| **Malawi** | 0 kWh (1999) |
| **Malaysia** | 11 million kWh (1999) |
| **Maldives** | 0 kWh (1999) |
| **Mali** | 0 kWh (1999) |
| **Malta** | 0 kWh (1999) |
| **Martinique** | 0 kWh (1999) |
| **Mauritania** | 0 kWh (1999) |
| **Mauritius** | 0 kWh (1999) |
| **Mexico** | 1.047 billion kWh (1999) |
| **Moldova** | 1.916 billion kWh (1999) |
| **Monaco** | NA kWh |
| | *note:*  electricity supplied by France (1999) |
| **Mongolia** | 363 million kWh (1999) |
| **Montserrat** | 0 kWh (1999) |
| **Morocco** | 705 million kWh (1999) |
| **Mozambique** | 68 million kWh (1999) |
| **Namibia** | 890 million kWh |
| | *note:*  supplied by South Africa (1999) |
| **Nauru** | 0 kWh (1999) |
| **Nepal** | 210 million kWh (1999) |
| **Netherlands** | 22.407 billion kWh (1999) |
| **Netherlands Antilles** | 0 kWh (1999) |
| **New Caledonia** | 0 kWh (1999) |
| **New Zealand** | 0 kWh (1999) |
| **Nicaragua** | 100 million kWh (1999) |
| **Niger** | 215 million kWh (1999) |
| **Nigeria** | 0 kWh (1999) |
| **Niue** | 0 kWh (1999) |
| **Norway** | 6.467 billion kWh (1999) |
| **Oman** | 0 kWh (1999) |
| **Pakistan** | 0 kWh (1999) |
| **Panama** | 40 million kWh (1999) |
| **Papua New Guinea** | 0 kWh (1999) |
| **Paraguay** | 0 kWh (1999) |
| **Peru** | 1 million kWh (1999) |
| **Philippines** | 0 kWh (1999) |
| **Poland** | 3.491 billion kWh (1999) |
| **Portugal** | 3.628 billion kWh (1999) |
| **Puerto Rico** | 0 kWh (1999) |
| **Qatar** | 0 kWh (1999) |
| **Reunion** | 0 kWh (1999) |
| **Romania** | 1.1 billion kWh (1999) |
| **Russia** | 6 billion kWh (1999) |
| **Rwanda** | 70 million kWh (1999) |
| **Saint Helena** | 0 kWh (1999) |
| **Saint Kitts and Nevis** | 0 kWh (1999) |
| **Saint Lucia** | 0 kWh (1999) |
| **Saint Pierre and Miquelon** | 0 kWh (1999) |
| **Saint Vincent and the Grenadines** | 0 kWh (1999) |
| **Samoa** | 0 kWh (1999) |
| **San Marino** | NA kWh |
| | *note:*  electricity supplied by Italy |
| **Sao Tome and Principe** | 0 kWh (1999) |
| **Saudi Arabia** | 0 kWh (1999) |
| **Senegal** | 0 kWh (1999) |
| **Seychelles** | 0 kWh (1999) |
| **Sierra Leone** | 0 kWh (1999) |
| **Singapore** | 0 kWh (1999) |
| **Slovakia** | 1.4 billion kWh (1999) |
| **Slovenia** | 645 million kWh (1999) |
| **Solomon Islands** | 0 kWh (1999) |
| **Somalia** | 0 kWh (1999) |
| **South Africa** | 2.457 billion kWh (1999) |
| **Spain** | 11.945 billion kWh (1999) |
| **Sri Lanka** | 0 kWh (1999) |
| **Sudan** | 0 kWh (1999) |
| **Suriname** | 0 kWh (1999) |
| **Swaziland** | 701 million kWh |
| | *note:*  supplied by South Africa (1999) |
| **Sweden** | 8.35 billion kWh (1999) |
| **Switzerland** | 21.723 billion kWh (1999) |
| **Syria** | 0 kWh (1999) |
| **Tajikistan** | 4.1 billion kWh (1999) |
| **Tanzania** | 43 million kWh (1999) |
| **Thailand** | 1.02 billion kWh (1999) |
| **Togo** | 426 million kWh |
| | *note:*  electricity supplied by Ghana (1999) |
| **Tonga** | 0 kWh (1999) |
| **Trinidad and Tobago** | 0 kWh (1999) |
| **Tunisia** | 165 million kWh (1999) |
| **Turkey** | 3.35 billion kWh (2000 est.) |
| **Turkmenistan** | 1.1 billion kWh (1999) |
| **Turks and Caicos Islands** | 0 kWh (1999) |
| **Uganda** | 1 million kWh (1999) |
| **Ukraine** | 2.2 billion kWh (1999) |
| **United Arab Emirates** | 0 kWh (1999) |
| **United Kingdom** | 14.5 billion kWh (1999) |
| **United States** | 43 billion kWh (1999) |
| **Uruguay** | 800 million kWh (1999) |
| **Uzbekistan** | 7.5 billion kWh (1999) |
| **Vanuatu** | 0 kWh (1999) |
| **Venezuela** | 0 kWh (1999) |
| **Vietnam** | 0 kWh (1999) |
