CIA - The World Factbook -- Field Listing - Electricity - imports

| Country | Electricity - imports (kWh) |
| --- | --- |
| **Afghanistan** | 230 million kWh (2007 est.) |
| **Albania** | 2.8 billion kWh (2007 est.) |
| **Algeria** | 382 million kWh (2006 est.) |
| **American Samoa** | 0 kWh (2007 est.) |
| **Andorra** | NA kWh; note - most electricity supplied by Spain and France; Andorra generates a small amount of hydropower |
| **Angola** | 0 kWh (2007 est.) |
| **Antigua and Barbuda** | 0 kWh (2007 est.) |
| **Argentina** | 10.27 billion kWh (2007 est.) |
| **Armenia** | 400.6 million kWh; note - imports an unknown quantity from Iran (2007 est.) |
| **Aruba** | 0 kWh (2007 est.) |
| **Australia** | 0 kWh (2007 est.) |
| **Austria** | 22.13 billion kWh (2007 est.) |
| **Azerbaijan** | 500 million kWh (2007 est.) |
| **Bahamas, The** | 0 kWh (2007 est.) |
| **Bahrain** | 0 kWh (2007 est.) |
| **Bangladesh** | 0 kWh (2007 est.) |
| **Barbados** | 0 kWh (2007 est.) |
| **Belarus** | 10.15 billion kWh (2006 est.) |
| **Belgium** | 15.78 billion kWh (2007 est.) |
| **Belize** | 0 kWh (2007 est.) |
| **Benin** | 590 million kWh (2006 est.) |
| **Bermuda** | 0 kWh (2007 est.) |
| **Bhutan** | 11 million kWh (2007 est.) |
| **Bolivia** | 0 kWh (2007 est.) |
| **Bosnia and Herzegovina** | 3.015 billion kWh (2006 est.) |
| **Botswana** | 1.959 billion kWh (2007 est.) |
| **Brazil** | 40.47 billion kWh; note - supplied by Paraguay (2007 est.) |
| **British Virgin Islands** | 0 kWh (2007 est.) |
| **Brunei** | 0 kWh (2007 est.) |
| **Bulgaria** | 3.054 billion kWh (2007 est.) |
| **Burkina Faso** | 0 kWh (2007 est.) |
| **Burma** | 0 kWh (2007 est.) |
| **Burundi** | 40 million kWh; note - supplied by the Democratic Republic of the Congo (2007 est.) |
| **Cambodia** | 110 million kWh (2006 est.) |
| **Cameroon** | 0 kWh (2007 est.) |
| **Canada** | 19.66 billion kWh (2007 est.) |
| **Cape Verde** | 0 kWh (2007 est.) |
| **Cayman Islands** | 0 kWh (2007 est.) |
| **Central African Republic** | 0 kWh (2007 est.) |
| **Chad** | 0 kWh (2007 est.) |
| **Chile** | 1.628 billion kWh (2007 est.) |
| **China** | 4.771 billion kWh (2007 est.) |
| **Colombia** | 39.4 million kWh (2007 est.) |
| **Comoros** | 0 kWh (2007 est.) |
| **Congo, Democratic Republic of the** | 6 million kWh (2006 est.) |
| **Congo, Republic of the** | 411 million kWh (2006 est.) |
| **Cook Islands** | 0 kWh (2007 est.) |
| **Costa Rica** | 203.2 million kWh (2007 est.) |
| **Cote d'Ivoire** | 0 kWh (2007 est.) |
| **Croatia** | 8.374 billion kWh (2006 est.) |
| **Cuba** | 0 kWh (2007 est.) |
| **Cyprus** | 0 kWh (2007 est.) |
| **Czech Republic** | 10.2 billion kWh (2007 est.) |
| **Denmark** | 10.43 billion kWh (2007 est.) |
| **Djibouti** | 0 kWh (2007 est.) |
| **Dominica** | 0 kWh (2007 est.) |
| **Dominican Republic** | 0 kWh (2007 est.) |
| **Ecuador** | 861 million kWh (2006 est.) |
| **Egypt** | 208 million kWh (2006 est.) |
| **El Salvador** | 11.08 million kWh (2007 est.) |
| **Equatorial Guinea** | 0 kWh (2007 est.) |
| **Eritrea** | 0 kWh (2007 est.) |
| **Estonia** | 400 million kWh (2007 est.) |
| **Ethiopia** | 0 kWh (2007 est.) |
| **European Union** | NA kWh |
| **Falkland Islands (Islas Malvinas)** | 0 kWh (2007 est.) |
| **Faroe Islands** | 0 kWh (2007 est.) |
| **Fiji** | 0 kWh (2007 est.) |
| **Finland** | 15.42 billion kWh (2007 est.) |
| **France** | 10.78 billion kWh (2007 est.) |
| **French Polynesia** | 0 kWh (2007 est.) |
| **Gabon** | 0 kWh (2007 est.) |
