CIA - The World Factbook 2000 -- Electricity - imports

| Country | Electricity - imports |
| --- | --- |
| **Afghanistan** | 110 million kWh (1998) |
| **Albania** | 500 million kWh (1998) |
| **Algeria** | 312 million kWh (1998) |
| **American Samoa** | 0 kWh (1998) |
| **Andorra** | NA kWh; note - imports electricity from Spain and France |
| **Angola** | 0 kWh (1998) |
| **Anguilla** | NA kWh |
| **Antigua and Barbuda** | 0 kWh (1998) |
| **Argentina** | 5.85 billion kWh (1998) |
| **Armenia** | 0 kWh (1998) |
| **Aruba** | 0 kWh (1998) |
| **Australia** | 0 kWh (1998) |
| **Austria** | 10.25 billion kWh (1998) |
| **Azerbaijan** | 1.2 billion kWh (1998) |
| **Bahamas, The** | 0 kWh (1998) |
| **Bahrain** | 0 kWh (1998) |
| **Bangladesh** | 0 kWh (1999) |
| **Barbados** | 0 kWh (1998) |
| **Belarus** | 10.6 billion kWh (1998) |
| **Belgium** | 7.75 billion kWh (1998) |
| **Belize** | 0 kWh (1998) |
| **Benin** | 270 million kWh (1998) |
| **Bermuda** | 0 kWh (1998) |
| **Bhutan** | 21 million kWh (1998) |
| **Bolivia** | 20 million kWh (1998) |
| **Bosnia and Herzegovina** | 0 kWh (1998) |
| **Botswana** | 689 million kWh (1998) |
| **Brazil** | 41.5 billion kWh |
| | *note:* imports electricity from Paraguay (1998) |
| **British Virgin Islands** | 0 kWh (1998) |
| **Brunei** | 0 kWh (1998) |
| **Bulgaria** | 1.76 billion kWh (1998) |
| **Burkina Faso** | 0 kWh (1998) |
| **Burma** | 0 kWh (1998) |
| **Burundi** | 35 million kWh |
| | *note:* imports some electricity from Democratic Republic of the Congo (1998) |
| **Cambodia** | 0 kWh (1998) |
| **Cameroon** | 0 kWh (1998) |
| **Canada** | 11.725 billion kWh (1998) |
| **Cape Verde** | 0 kWh (1998) |
| **Cayman Islands** | 0 kWh (1998) |
| **Central African Republic** | 0 kWh (1998) |
| **Chad** | 0 kWh (1998) |
| **Chile** | 0 kWh (1998) |
| **China** | 89 million kWh (1998) |
| **Christmas Island** | NA kWh |
| **Cocos (Keeling) Islands** | NA kWh |
| **Colombia** | 94 million kWh (1998) |
| **Comoros** | 0 kWh (1998) |
| **Congo, Democratic Republic of the** | 300 million kWh (1998) |
| **Congo, Republic of the** | 120 million kWh (1998) |
| **Cook Islands** | 0 kWh (1998) |
| **Costa Rica** | 4 million kWh (1998) |
| **Cote d'Ivoire** | 40 million kWh (1998) |
| **Croatia** | 5 billion kWh (1998) |
| **Cuba** | 0 kWh (1998) |
| **Cyprus** | 0 kWh (1998) |
| **Czech Republic** | 8.37 billion kWh (1998) |
| **Denmark** | 2.68 billion kWh (1998) |
| **Djibouti** | 0 kWh (1998) |
| **Dominica** | 0 kWh (1998) |
| **Dominican Republic** | 0 kWh (1998) |
| **Ecuador** | 0 kWh (1998) |
| **Egypt** | 0 kWh (1998) |
| **El Salvador** | 65 million kWh (1999) |
| **Equatorial Guinea** | 0 kWh (1998) |
| **Eritrea** | 0 kWh (1997) |
| **Estonia** | 150 million kWh (1998) |
| **Ethiopia** | 0 kWh (1998) |
| **Falkland Islands (Islas Malvinas)** | 0 kWh (1998) |
| **Faroe Islands** | 0 kWh (1998) |
| **Fiji** | 0 kWh (1998) |
| **Finland** | 9.55 billion kWh (1998) |
| **France** | 3.95 billion kWh (1998) |
| **French Guiana** | 0 kWh (1998) |
| **French Polynesia** | 0 kWh (1998) |
| **Gabon** | 0 kWh (1998) |
| **Gambia, The** | 0 kWh (1998) |
| **Gaza Strip** | NA kWh; note - electricity supplied by Israel |
| **Georgia** | 350 million kWh (1998) |
| **Germany** | 38.56 billion kWh (1998) |
| **Ghana** | 65 million kWh (1998) |
| **Gibraltar** | 0 kWh (1998) |
| **Greece** | 2.46 billion kWh (1998) |
| **Greenland** | 0 kWh (1998) |
| **Grenada** | 0 kWh (1998) |
| **Guadeloupe** | 0 kWh (1998) |
| **Guam** | 0 kWh (1998) |
| **Guatemala** | 51 million kWh (1998) |
| **Guernsey** | NA kWh |
| **Guinea** | 0 kWh (1998) |
| **Guinea-Bissau** | 0 kWh (1998) |
| **Guyana** | 0 kWh (1998) |
| **Haiti** | 0 kWh (1998) |
| **Holy See (Vatican City)** | NA kWh; note - electricity supplied by Italy |
| **Honduras** | 57 million kWh (1998) |
| **Hong Kong** | 7.76 billion kWh (1998) |
| **Hungary** | 3.97 billion kWh (1998) |
| **Iceland** | 0 kWh (1998) |
| **India** | 1.575 billion kWh (1998) |
| **Indonesia** | 0 kWh (1998) |
| **Iran** | 0 kWh (1998) |
| **Iraq** | 0 kWh (1998) |
| **Ireland** | 180 million kWh (1998) |
| **Israel** | 2 million kWh (1998) |
| **Italy** | 41.59 billion kWh (1998) |
| **Jamaica** | 0 kWh (1998) |
| **Japan** | 0 kWh (1998) |
| **Jersey** | 201 million kWh (from France) (1995) |
| **Jordan** | 450 million kWh (1998) |
| **Kazakhstan** | 3.374 billion kWh (1998) |
| **Kenya** | 144 million kWh (1998) |
| **Kiribati** | 0 kWh (1998) |
| **Korea, North** | 0 kWh (1998) |
| **Korea, South** | 0 kWh (1998) |
| **Kuwait** | 0 kWh (1998) |
| **Kyrgyzstan** | 850 million kWh (1998) |
| **Laos** | 50 million kWh (1998) |
| **Latvia** | 850 million kWh (1998) |
| **Lebanon** | 608 million kWh (1998) |
| **Lesotho** | 209 million kWh (1998) |
| **Liberia** | 0 kWh (1998) |
| **Libya** | 0 kWh (1998) |
| **Liechtenstein** | NA kWh |
| **Lithuania** | 340 million kWh (1998) |
| **Luxembourg** | 6.4 billion kWh (1998) |
| **Macau** | 175 million kWh (1998) |
| **Macedonia, The Former Yugoslav Republic of** | 0 kWh (1998) |
| **Madagascar** | 0 kWh (1998) |
| **Malawi** | 0 kWh (1998) |
| **Malaysia** | 83 million kWh (1998) |
| **Maldives** | 0 kWh (1998) |
| **Mali** | 0 kWh (1998) |
| **Malta** | 0 kWh (1998) |
| **Man, Isle of** | NA kWh |
| **Marshall Islands** | 0 kWh (1994) |
| **Martinique** | 0 kWh (1998) |
| **Mauritania** | 0 kWh (1998) |
| **Mauritius** | 0 kWh (1998) |
| **Mayotte** | NA kWh |
| **Mexico** | 1.047 billion kWh (1998) |
| **Micronesia, Federated States of** | NA kWh |
| **Moldova** | 1.8 billion kWh (1998) |
| **Monaco** | NA kWh |
| **Mongolia** | 342 million kWh (1998) |
| **Montserrat** | 0 kWh (1998) |
| **Morocco** | 124 million kWh (1998) |
| **Mozambique** | 385 million kWh (1998) |
| **Namibia** | 890 million kWh (1999) |
| | *note:* imports electricity from South Africa |
| **Nauru** | 0 kWh (1998) |
| **Nepal** | 196 million kWh (1998) |
| **Netherlands** | 12.2 billion kWh (1998) |
| **Netherlands Antilles** | 0 kWh (1998) |
| **New Caledonia** | 0 kWh (1998) |
| **New Zealand** | 0 kWh (1998) |
| **Nicaragua** | 95 million kWh (1998) |
| **Niger** | 196 million kWh (1998) |
| **Nigeria** | 0 kWh (1998) |
| **Niue** | 0 kWh (1998) |
| **Norfolk Island** | NA kWh |
| **Northern Mariana Islands** | NA kWh |
| **Norway** | 8 billion kWh (1998) |
| **Oman** | 0 kWh (1998) |
| **Pakistan** | 0 kWh (1998) |
| **Palau** | 0 kWh (1996) |
| **Panama** | 136 million kWh (1998) |
| **Papua New Guinea** | 0 kWh (1998) |
| **Paraguay** | 0 kWh (1998) |
| **Peru** | 2 million kWh (1998) |
| **Philippines** | 0 kWh (1998) |
| **Pitcairn Islands** | NA kWh |
| **Poland** | 4.6 billion kWh (1998) |
| **Portugal** | 4 billion kWh (1998) |
| **Puerto Rico** | 0 kWh (1998) |
| **Qatar** | 0 kWh (1998) |
| **Reunion** | 0 kWh (1998) |
| **Romania** | 1.269 billion kWh (1998) |
| **Russia** | 5.8 billion kWh (1998) |
| **Rwanda** | 20 million kWh (1998) |
| **Saint Helena** | 0 kWh (1998) |
| **Saint Kitts and Nevis** | 0 kWh (1998) |
| **Saint Lucia** | 0 kWh (1998) |
| **Saint Pierre and Miquelon** | 0 kWh (1998) |
| **Saint Vincent and the Grenadines** | 0 kWh (1998) |
| **Samoa** | 0 kWh (1998) |
| **San Marino** | NA kWh |
| | *note:* electricity supplied by Italy |
| **Sao Tome and Principe** | 0 kWh (1998) |
| **Saudi Arabia** | 0 kWh (1998) |
| **Senegal** | 0 kWh (1998) |
| **Serbia and Montenegro** | 40 million kWh (1998) |
| **Seychelles** | 0 kWh (1998) |
| **Sierra Leone** | 0 kWh (1998) |
| **Singapore** | 0 kWh (1998) |
| **Slovakia** | 840 million kWh (1999 est.) |
| **Slovenia** | 550 million kWh (1998) |
| **Solomon Islands** | 0 kWh (1998) |
| **Somalia** | 0 kWh (1998) |
| **South Africa** | 5 million kWh (1998) |
| **Spain** | 9 billion kWh (1998) |
| **Sri Lanka** | 0 kWh (1998) |
| **Sudan** | 0 kWh (1998) |
| **Suriname** | 0 kWh (1998) |
| **Svalbard** | NA kWh |
| **Swaziland** | 687 million kWh |
| | *note:* imports about 60% of its electricity from South Africa (1998) |
| **Sweden** | 6.1 billion kWh (1998) |
| **Switzerland** | 23.6 billion kWh (1998) |
| **Syria** | 0 kWh (1998) |
| **Tajikistan** | 3.55 billion kWh (1998) |
| **Tanzania** | 44 million kWh (1998) |
| **Thailand** | 700 million kWh (1998) |
| **Togo** | 350 million kWh (1998) |
| | *note:* imports electricity from Ghana |
| **Tokelau** | NA kWh |
| **Tonga** | 0 kWh (1998) |
| **Trinidad and Tobago** | 0 kWh (1998) |
| **Tunisia** | 165 million kWh (1998) |
| **Turkey** | 2.3 billion kWh (1999 est.) |
| **Turkmenistan** | 60 million kWh (1998) |
| **Turks and Caicos Islands** | 0 kWh (1998) |
| **Tuvalu** | 0 kWh (1995) |
| **Uganda** | 0 kWh (1998) |
| **Ukraine** | 4.15 billion kWh (1998) |
| **United Arab Emirates** | 0 kWh (1998) |
| **United Kingdom** | 12.6 billion kWh (1998) |
| **United States** | 39.513 billion kWh (1998) |
| **Uruguay** | 78 million kWh (1998) |
| **Uzbekistan** | 6 billion kWh (1998) |
| **Vanuatu** | 0 kWh (1998) |
| **Venezuela** | 0 kWh (1998) |
| **Vietnam** | 0 kWh (1998) |
| **Virgin Islands** | 0 kWh (1998) |
| **Wallis and Futuna** | NA kWh |
| **West Bank** | NA kWh |
| **Western Sahara** | 0 kWh (1998) |
| **Yemen** | 0 kWh (1998) |
| **Zambia** | 30 million kWh (1998) |
| **Zimbabwe** | 1.921 billion kWh (1998) |
| **Taiwan: | 0 kWh (1998)** | 



