CIA - The World Factbook -- Field Listing - Electricity - imports

| Country | Electricity - imports (kWh) |
| --- | --- |
| **Afghanistan** | 150 million kWh (2002) |
| **Albania** | 1.08 billion kWh (2004 est.) |
| **Algeria** | 150 million kWh (2002) |
| **American Samoa** | 0 kWh (2002) |
| **Andorra** | NA kWh; note - most electricity supplied by Spain and France; Andorra generates a small amount of hydropower |
| **Angola** | 0 kWh (2002) |
| **Antigua and Barbuda** | 0 kWh (2002) |
| **Argentina** | 8.775 billion kWh (2002) |
| **Armenia** | 463 million kWh; note - imports an unknown quantity from Iran (2002) |
| **Aruba** | 0 kWh (2002) |
| **Australia** | 0 kWh (2002) |
| **Austria** | 15.4 billion kWh (2002) |
| **Azerbaijan** | 1.558 billion kWh (2002) |
| **Bahamas, The** | 0 kWh (2002) |
| **Bahrain** | 0 kWh (2002) |
| **Bangladesh** | 0 kWh (2002) |
| **Barbados** | 0 kWh (2002) |
| **Belarus** | 3.2 billion kWh (2003) |
| **Belgium** | 16.7 billion kWh (2002) |
| **Belize** | 0 kWh (2002) |
| **Benin** | 300 million kWh (2002) |
| **Bermuda** | 0 kWh (2002) |
| **Bhutan** | 12 million kWh (2002) |
| **Bolivia** | 9 million kWh (2002) |
| **Bosnia and Herzegovina** | 2.271 billion kWh (2002) |
| **Botswana** | 1.025 billion kWh (2002) |
| **Brazil** | 36.58 billion kWh; note - supplied by Paraguay (2002) |
| **British Virgin Islands** | 0 kWh (2002) |
| **Brunei** | 0 kWh (2002) |
| **Bulgaria** | 960 million kWh (2002) |
| **Burkina Faso** | 0 kWh (2002) |
| **Burma** | 0 kWh (2004) |
| **Burundi** | 15 million kWh; note - supplied by the Democratic Republic of the Congo (2002) |
| **Cambodia** | 0 kWh (2002) |
| **Cameroon** | 0 kWh (2002) |
| **Canada** | 13 billion kWh (2002) |
| **Cape Verde** | 0 kWh (2002) |
| **Cayman Islands** | 0 kWh (2002) |
| **Central African Republic** | 0 kWh (2002) |
| **Chad** | 0 kWh (2002) |
| **Chile** | 1.813 billion kWh (2002) |
| **China** | 2.3 billion kWh (2002) |
| **Colombia** | 23 million kWh (2002) |
| **Comoros** | 0 kWh (2002) |
| **Congo, Democratic Republic of the** | 8 million kWh (2002) |
| **Congo, Republic of the** | 250 million kWh (2002) |
| **Cook Islands** | 0 kWh (2002) |
| **Costa Rica** | 59 million kWh (2002) |
| **Cote d'Ivoire** | 0 kWh (2002) |
| **Croatia** | 3.966 billion kWh (2002) |
| **Cuba** | 0 kWh (2002) |
| **Cyprus** | 0 kWh (2002) |
| **Czech Republic** | 9.5 billion kWh (2002) |
| **Denmark** | 8.9 billion kWh (2002) |
| **Djibouti** | 0 kWh (2002) |
| **Dominica** | 0 kWh (2002) |
| **Dominican Republic** | 0 kWh (2002) |
| **East Timor** | 0 kWh (2002) |
| **Ecuador** | 57 million kWh (2002) |
| **Egypt** | 0 kWh (2002) |
| **El Salvador** | 473 million kWh (2004) |
| **Equatorial Guinea** | 0 kWh (2002) |
| **Eritrea** | 0 kWh (2002) |
| **Estonia** | 200 million kWh (2002) |
| **Ethiopia** | 0 kWh (2002) |
| **European Union** | 268.5 billion kWh (2002 est.) |
| **Falkland Islands (Islas Malvinas)** | 0 kWh (2002) |
| **Faroe Islands** | 0 kWh (2002) |
| **Fiji** | 0 kWh (2002) |
| **Finland** | 13.5 billion kWh (2002) |
| **France** | 3 billion kWh (2002) |
| **French Guiana** | 0 kWh (2002) |
| **French Polynesia** | 0 kWh (2002) |
| **Gabon** | 0 kWh (2002) |
| **Gambia, The** | 0 kWh (2002) |
| **Gaza Strip** | NA kWh; note - electricity supplied by Israel (2001) |
| **Georgia** | 850 million kWh (2002) |
| **Germany** | 45.8 billion kWh (2003) |
| **Ghana** | 200 million kWh (2002) |
| **Gibraltar** | 0 kWh (2002) |
| **Greece** | 4.6 billion kWh (2002) |
| **Greenland** | 0 kWh (2002) |
| **Grenada** | 0 kWh (2002) |
| **Guadeloupe** | 0 kWh (2002) |
| **Guam** | 0 kWh (2002) |
| **Guatemala** | 55 million kWh (2002) |
| **Guernsey** | 0 kWh (2002) |
| **Guinea** | 0 kWh (2002) |
| **Guinea-Bissau** | 0 kWh (2002) |
| **Guyana** | 0 kWh (2002) |
| **Haiti** | 0 kWh (2002) |
