CIA - The World Factbook -- Field Listing - Electricity - imports

| Country | Electricity - imports (kWh) |
| --- | --- |
| **Afghanistan** | 200 million kWh (2003) |
| **Albania** | 1.08 billion kWh (2004 est.) |
| **Algeria** | 200 million kWh (2003 est.) |
| **American Samoa** | 0 kWh (2003) |
| **Andorra** | NA kWh; note - most electricity supplied by Spain and France; Andorra generates a small amount of hydropower |
| **Angola** | 0 kWh (2003) |
| **Antigua and Barbuda** | 0 kWh (2003) |
| **Argentina** | 1.561 billion kWh (2004) |
| **Armenia** | 463 million kWh; note - imports an unknown quantity from Iran (2003) |
| **Aruba** | 0 kWh (2003) |
| **Australia** | 0 kWh (2003) |
| **Austria** | 16.63 billion kWh (2004) |
| **Azerbaijan** | 2.35 billion kWh (2003) |
| **Bahamas, The** | 0 kWh (2003) |
| **Bahrain** | 0 kWh (2003) |
| **Bangladesh** | 0 kWh (2003) |
| **Barbados** | 0 kWh (2003) |
| **Belarus** | 7 billion kWh (2003) |
| **Belgium** | 14.7 billion kWh (2003) |
| **Belize** | 0 kWh (2003) |
| **Benin** | 474 million kWh (2003) |
| **Bermuda** | 0 kWh (2005) |
| **Bhutan** | 10 million kWh (2003) |
| **Bolivia** | 10 million kWh (2003) |
| **Bosnia and Herzegovina** | 2.271 billion kWh (2003) |
| **Botswana** | 1.39 billion kWh (2002) |
| **Brazil** | 37.4 billion kWh; note - supplied by Paraguay (2004) |
| **British Virgin Islands** | 0 kWh (2003) |
| **Brunei** | 0 kWh (2004) |
| **Bulgaria** | 1.3 billion kWh (2003) |
| **Burkina Faso** | 0 kWh (2003) |
| **Burma** | 0 kWh (2004) |
| **Burundi** | 10 million kWh; note - supplied by the Democratic Republic of the Congo (2003) |
| **Cambodia** | 0 kWh (2003) |
| **Cameroon** | 0 kWh (2003) |
| **Canada** | 33 billion kWh (2004) |
| **Cape Verde** | 0 kWh (2003) |
| **Cayman Islands** | 0 kWh (2003) |
| **Central African Republic** | 0 kWh (2003) |
| **Chad** | 0 kWh (2003) |
| **Chile** | 2 billion kWh (2003) |
| **China** | 1.546 billion kWh (2003) |
| **Colombia** | 48.4 million kWh (2003) |
| **Comoros** | 0 kWh (2003) |
| **Congo, Democratic Republic of the** | 10 million kWh (2003) |
| **Congo, Republic of the** | 300 million kWh (2003) |
| **Cook Islands** | 0 kWh (2003) |
| **Costa Rica** | 50 million kWh (2003) |
| **Cote d'Ivoire** | 0 kWh (2003) |
| **Croatia** | 5.99 billion kWh (2003) |
| **Cuba** | 0 kWh (2003) |
| **Cyprus** | 0 kWh (2003) |
| **Czech Republic** | 9.776 billion kWh (2004) |
| **Denmark** | 7 billion kWh (2003) |
| **Djibouti** | 0 kWh (2003) |
| **Dominica** | 0 kWh (2003) |
| **Dominican Republic** | 0 kWh (2003) |
| **East Timor** | 0 kWh (2003) |
| **Ecuador** | 140 million kWh (2003) |
| **Egypt** | 250 million kWh (2003) |
| **El Salvador** | 473 million kWh (2004) |
| **Equatorial Guinea** | 0 kWh (2003) |
| **Eritrea** | 0 kWh (2003) |
| **Estonia** | 347 million kWh (2004) |
| **Ethiopia** | 0 kWh (2003) |
| **European Union** | 281.2 billion kWh (2002 est.) |
| **Falkland Islands (Islas Malvinas)** | 0 kWh (2003) |
| **Faroe Islands** | 0 kWh (2003) |
| **Fiji** | 0 kWh (2003) |
| **Finland** | 11.9 billion kWh (2003) |
| **France** | 6.2 billion kWh (2003) |
| **French Guiana** | 0 kWh (2003) |
| **French Polynesia** | 0 kWh (2003) |
| **Gabon** | 0 kWh (2003) |
| **Gambia, The** | 0 kWh (2003) |
| **Gaza Strip** | NA kWh; note - some electricity supplied by an Israeli utility (2005) |
| **Georgia** | 1.2 billion kWh (2004) |
| **Germany** | 45.4 billion kWh (2003) |
| **Ghana** | 500 million kWh (2003) |
| **Gibraltar** | 0 kWh (2003) |
| **Greece** | 4.2 billion kWh (2002) |
| **Greenland** | 0 kWh (2003) |
| **Grenada** | 0 kWh (2003) |
| **Guadeloupe** | 0 kWh (2003) |
| **Guam** | 0 kWh (2003) |
| **Guatemala** | 35 million kWh (2003) |
| **Guernsey** | 0 kWh (2002) |
| **Guinea** | 0 kWh (2003) |
| **Guinea-Bissau** | 0 kWh (2003) |
| **Guyana** | 0 kWh (2003) |
| **Haiti** | 0 kWh (2003) |
| **Holy See (Vatican City)** | NA kWh; note - electricity supplied by Italy |
