CIA - The World Factbook -- Field Listing - Electricity - imports

| Country | Electricity - imports (kWh) |
| --- | --- |
| **Afghanistan** | 200 million kWh (2001) |
| **Albania** | 1.2 billion kWh (2001) |
| **Algeria** | 275 million kWh (2001) |
| **American Samoa** | 0 kWh (2001) |
| **Andorra** | NA kWh; note - most electricity supplied by Spain and France; Andorra generates a small amount of hydropower |
| **Angola** | 0 kWh (2001) |
| **Antigua and Barbuda** | 0 kWh (2001) |
| **Argentina** | 7.417 billion kWh (2001) |
| **Armenia** | 463 million kWh; note - imports an unknown quantity from Iran (2001) |
| **Aruba** | 0 kWh (2001) |
| **Australia** | 0 kWh (2001) |
| **Austria** | 14.47 billion kWh (2001) |
| **Azerbaijan** | 400 million kWh (2001) |
| **Bahamas, The** | 0 kWh (2001) |
| **Bahrain** | 0 kWh (2001) |
| **Bangladesh** | 0 kWh (2001) |
| **Barbados** | 0 kWh (2001) |
| **Belarus** | 4.3 billion kWh (2001) |
| **Belgium** | 15.82 billion kWh (2001) |
| **Belize** | 0 kWh (2001) |
| **Benin** | 376 million kWh (2001) |
| **Bermuda** | 0 kWh (2001) |
| **Bhutan** | 16 million kWh (2001) |
| **Bolivia** | 9 million kWh (2001) |
| **Bosnia and Herzegovina** | 1.405 billion kWh (2001) |
| **Botswana** | 1.183 billion kWh (2001) |
| **Brazil** | 37.19 billion kWh; note - supplied by Paraguay (2001) |
| **British Virgin Islands** | 0 kWh (2001) |
| **Brunei** | 0 kWh (2001) |
| **Bulgaria** | 830 million kWh (2001) |
| **Burkina Faso** | 0 kWh (2001) |
| **Burma** | 0 kWh (2001) |
| **Burundi** | 33 million kWh; note - supplied by the Democratic Republic of the Congo (2001) |
| **Cambodia** | 0 kWh (2001) |
| **Cameroon** | 0 kWh (2001) |
| **Canada** | 16.11 billion kWh (2001) |
| **Cape Verde** | 0 kWh (2001) |
| **Cayman Islands** | 0 kWh (2001) |
| **Central African Republic** | 0 kWh (2001) |
| **Chad** | 0 kWh (2001) |
| **Chile** | 1.386 billion kWh (2001) |
| **China** | 1.55 billion kWh (2001) |
| **Colombia** | 40 million kWh (2001) |
| **Comoros** | 0 kWh (2001) |
| **Congo, Democratic Republic of the** | 60 million kWh (2001) |
| **Congo, Republic of the** | 300 million kWh (2001) |
| **Cook Islands** | 0 kWh (2001) |
| **Costa Rica** | 128 million kWh (2001) |
| **Cote d'Ivoire** | 0 kWh (2001) |
| **Croatia** | 3.386 billion kWh (2001) |
| **Cuba** | 0 kWh (2001) |
| **Cyprus** | 0 kWh (2001) |
| **Czech Republic** | 9.38 billion kWh (2001) |
| **Denmark** | 8.199 billion kWh (2001) |
| **Djibouti** | 0 kWh (2001) |
| **Dominica** | 0 kWh (2001) |
| **Dominican Republic** | 0 kWh (2001) |
| **East Timor** | 0 kWh (2001) |
| **Ecuador** | 0 kWh (2001) |
| **Egypt** | 0 kWh (2001) |
