CIA - The World Factbook 2002 -- Field Listing - Electricity - imports

| Country | Electricity - imports ( kWh) |
| --- | --- |
| **Afghanistan** | 105 million kWh (2000) |
| **Albania** | 1.072 billion kWh (2000) |
| **Algeria** | 150 million kWh (2000) |
| **American Samoa** | 0 kWh (2000) |
| **Andorra** | NA kWh |
| | *note:* most electricity supplied by Spain and France; Andorra generates a small amount of hydropower |
| **Angola** | 0 kWh (2000) |
| **Antigua and Barbuda** | 0 kWh (2000) |
| **Argentina** | 7.5 billion kWh (2000) |
| **Armenia** | 300 million kWh |
| | *note:* imports an unknown quantity from Iran (2000) |
| **Aruba** | 0 kWh (2000) |
| **Australia** | 0 kWh (2000) |
| **Austria** | 13.809 billion kWh (2000) |
| **Azerbaijan** | 1.25 billion kWh (2000) |
| **Bahamas, The** | 0 kWh (2000) |
| **Bahrain** | 0 kWh (2000) |
| **Bangladesh** | 0 kWh (2000) |
| **Barbados** | 0 kWh (2000) |
| **Belarus** | 4.15 billion kWh (2000) |
| **Belgium** | 11.645 billion kWh (2000) |
| **Belize** | 0 kWh (2000) |
| **Benin** | 300 million kWh (2000) |
| **Bermuda** | 0 kWh (2000) |
| **Bhutan** | 21 million kWh (2000) |
| **Bolivia** | 11 million kWh (2000) |
| **Bosnia and Herzegovina** | 350 million kWh (2000) |
| **Botswana** | 986 million kWh (2000) |
| **Brazil** | 42.3 billion kWh |
| | *note:* supplied by Paraguay (2000) |
| **British Virgin Islands** | 0 kWh (1999) |
| **Brunei** | 0 kWh (2000) |
| **Bulgaria** | 1.5 billion kWh (2000) |
| **Burkina Faso** | 0 kWh (2000) |
| **Burma** | 0 kWh (2000) |
| **Burundi** | 29 million kWh |
| | *note:* supplied by the Democratic Republic of the Congo (2000) |
| **Cambodia** | 0 kWh (2000) |
| **Cameroon** | 0 kWh (2000) |
| **Canada** | 12.685 billion kWh (2000) |
| **Cape Verde** | 0 kWh (2000) |
| **Cayman Islands** | 0 kWh (2000) |
| **Central African Republic** | 0 kWh (2000) |
| **Chad** | 0 kWh (2000) |
| **Chile** | 1.09 billion kWh (2000) |
| **China** | 400 million kWh (2000) |
