CIA - The World Factbook -- Field Listing - Judicial branch

| Country | Judicial branch |
| --- | --- |
| **Afghanistan** | the constitution establishes a nine-member Stera Mahkama or Supreme Court (its nine justices are appointed for 10-year terms by the president with approval of the Wolesi Jirga) and subordinate High Courts and Appeals Courts; there is also a minister of justice; a separate Afghan Independent Human Rights Commission established by the Bonn Agreement is charged with investigating human rights abuses and war crimes |
| **Albania** | Constitutional Court, Supreme Court (chairman is elected by the People's Assembly for a four-year term), and multiple appeals and district courts |
| **Algeria** | Supreme Court |
| **American Samoa** | High Court (chief justice and associate justices are appointed by the US Secretary of the Interior) |
| **Andorra** | Tribunal of Judges or Tribunal de Batlles; Tribunal of the Courts or Tribunal de Corts; Supreme Court of Justice of Andorra or Tribunal Superior de Justicia d'Andorra; Supreme Council of Justice or Consell Superior de la Justicia; Fiscal Ministry or Ministeri Fiscal; Constitutional Tribunal or Tribunal Constitucional |
| **Angola** | Supreme Court and separate provincial courts (judges are appointed by the president) |
| **Anguilla** | High Court (judge provided by Eastern Caribbean Supreme Court) |
| **Antigua and Barbuda** | Eastern Caribbean Supreme Court (based in Saint Lucia; one judge of the Supreme Court is a resident of the islands and presides over the Court of Summary Jurisdiction); member Caribbean Court of Justice |
| **Argentina** | Supreme Court or Corte Suprema (the nine Supreme Court judges are appointed by the president with approval by the Senate) |
| | *note:* the Supreme Court currently has two unfilled vacancies, and the Argentine Congress is considering a bill to reduce the number of Supreme Court judges to five |
| **Armenia** | Constitutional Court; Court of Cassation (Appeals Court) |
| **Aruba** | Common Court of Justice of Aruba (judges are appointed by the monarch) |
| **Australia** | High Court (the chief justice and six other justices are appointed by the governor general) |
| **Austria** | Supreme Judicial Court or Oberster Gerichtshof; Administrative Court or Verwaltungsgerichtshof; Constitutional Court or Verfassungsgerichtshof |
| **Azerbaijan** | Supreme Court |
| **Bahamas, The** | Privy Council (London); Courts of Appeal; Supreme (lower) Court; magistrates courts |
| **Bahrain** | High Civil Appeals Court |
| **Bangladesh** | Supreme Court (the chief justices and other judges are appointed by the president) |
| **Barbados** | Supreme Court of Judicature (judges are appointed by the Service Commissions for the Judicial and Legal Services); Caribbean Court of Justice is the highest court of appeal |
| **Belarus** | Supreme Court (judges are appointed by the president); Constitutional Court (half of the judges appointed by the president and half appointed by the Chamber of Representatives) |
| **Belgium** | Supreme Court of Justice or Hof van Cassatie (in Dutch) or Cour de Cassation (in French) (judges are appointed for life by the government; candidacies have to be submitted by the High Justice Council) |
| **Belize** | Supreme Court (the chief justice is appointed by the governor general on the advice of the prime minister) |
| **Benin** | Constitutional Court or Cour Constitutionnelle; Supreme Court or Cour Supreme; High Court of Justice |
| **Bermuda** | Supreme Court; Court of Appeal; Magistrate Courts |
