CIA - The World Factbook -- Field Listing :: Judicial branch   

This entry contains the name(s) of the highest court(s) and a brief description of the selection process for members.

| Country | Judicial branch |
| --- | --- |
| **Afghanistan** | *highest courts:* Supreme Court or Stera Mahkama; consists of 9 judges |
| | *judge selection & term of office:* justices appointed by the president with the endorsement of the Wolesi Jirga; justices serve non-renewable 10-year terms |
| | *subordinate courts:* Cassation and sharia |
| **Akrotiri** | The Court headed by a resident judge and senior judges from the UK as needed; note - the laws of the Sovereign Base Areas are kept as close as possible to the laws of the Republic of Cyprus; concerned with non-military offenses by any person within Akrotiri and Dhekalia |
| **Albania** | Constitutional Court consists of 9 members appointed by the president with the consent of the Assembly who serve 9-year terms (chairman is elected by the People's Assembly for a four-year term); the High Court members appointed by the president with the consent of the Assembly for a 9-year term; note - there are also courts of appeal and courts of first instance |
| **Algeria** | Supreme Court (or High Court) regulates activities of courts and tribunals; Council of State regulates body of activities of the administrative jurisdictions; Tribunal of Conflicts settles conflicts between the Supreme Court and the Tribunal of Conflicts |
| **American Samoa** | High Court (chief justice and associate justices are appointed by the US Secretary of the Interior); note - the High Court (or Supreme Court) is the highest court in America Samoa; there is no U.S. federal court there |
| **Andorra** | *higher judicial bodies:* Supreme Council of Justice or Consell Superior de la Justicia (coprinces appoint the members); oversees and administers the entire justice system; Supreme Court of Justice of Andorra or Tribunal Superior de Justicia d'Andorra (5 members) |
| | *three lower courts:* Tribunal of Judges or Tribunal de Batlles; Tribunal of the Courts or Tribunal de Corts; Constitutional Tribunal or Tribunal Constitucional (coprinces appoint the members) |
| | *note:* all judges elected for a 6-year term renewable term |
| **Angola** | Constitutional Court or Tribunal Constitucional; Supreme Court or Tribunal Supremo; Court of Auditions or Tribunal de Contas; Supreme Military Court or Supremo Tribunal Militar; judges for all courts appointed by the president |
| **Anguilla** | High Court (judge provided by Eastern Caribbean Supreme Court) |
| **Antigua and Barbuda** | Eastern Caribbean Supreme Court consisting of a High Court of Justice and a Court of Appeal (based in Saint Lucia; two judges of the Supreme Court are residents of the islands and preside over the Court of Summary Jurisdiction); Magistrates' Courts; member of the Caribbean Court of Justice |
| **Argentina** | Supreme Court or Corte Suprema (the Supreme Court judges are appointed by the president with approval of the Senate) |
| | *note:* the Supreme Court has seven judges; the Argentine Congress in 2006 passed a bill to gradually reduce the number of Supreme Court judges to five |
| **Armenia** | Constitutional Court; Court of Cassation (Appeals Court) |
| **Aruba** | Common Court of Justice, Joint High Court of Justice (judges appointed by the monarch) |
| **Australia** | High Court (the chief justice and six other justices are appointed by the governor general acting on the advice of the government) |
| **Austria** | Supreme Judicial Court or Oberster Gerichtshof; Administrative Court or Verwaltungsgerichtshof; Constitutional Court or Verfassungsgerichtshof |
| **Azerbaijan** | Constitutional Court the president proposes judges of all the courts to the Parliament which appoints them; Supreme Court; Economic Court |
| **Bahamas, The** | Privy Council in London; Courts of Appeal; Supreme (lower) Court; Magistrates' Courts |
| **Bahrain** | High Civil Appeals Court |
| **Bangladesh** | Supreme Court (the chief justices and other judges are appointed by the president) |
| **Barbados** | Supreme Court of Judicature consists of a High Court and a Court of Appeal (judges are appointed by the Service Commissions for the Judicial and Legal Services); Caribbean Court of Justice or CCJ is the highest court of appeal; based in Port of Spain, Trinidad and Tobago |
| **Belarus** | Supreme Court (judges are appointed by the president); Constitutional Court (half of the judges appointed by the president and half appointed by the Chamber of Representatives) |
| **Belgium** | Constitutional Court (12 judges, 6 Dutch-speaking and 6 French-speaking, appointed by the King); Supreme Court of Justice or Hof van Cassatie (in Dutch) or Cour de Cassation (in French) (judges are appointed for life by the government; candidacies have to be submitted by the High Justice Council) |
| **Belize** | Supreme Court (the chief justice is appointed by the governor general on the advice of the prime minister); Court of Appeal; Privy Council in the UK; member of the Caribbean Court of Justice (CCJ); Summary Jurisdiction Courts (criminal) and District Courts (civil jurisdiction) |
| **Benin** | Constitutional Court or Cour Constitutionnelle (7 members; 4 appointed by the National Assembly, 3 appointed by the President; appointed for a 5-year term for one term); Supreme Court or Cour Supreme (President of the Supreme Court appointed by the President for a 5-year term); High Court of Justice (composed of members of the Constitutional Court and 6 members appointed by the National Assembly) |
| **Bermuda** | Supreme Court (Chief Justice and other justices appointed by the governor; remain in office until they reach 65 years of age); Court of Appeal (President of the Court of Appeal and other justices appointed by the governor for a specific period laid out in their respective instruments of appointment); Magistrate Courts |
| **Bhutan** | Supreme Court of Appeal (the monarch); High Court (judges appointed by the monarch); note - the draft constitution establishes a Supreme Court that will serve as chief court of appeal |
| **Bolivia** | Supreme Court or Tribunal Supremo de Justicia (judges elected by popular vote from list of candidates pre-selected by Assembly for six-year terms); Plurinational Constitutional Tribunal (seven primary or titulares and seven alternate or suplente magistrates elected by popular vote from list of candidates pre-selected by Assembly for six-year terms; to rule on constitutional issues (at least two candidates must be indigenous)); Agro-Environmental Court (judges elected by popular vote from list of candidates pre-selected by Assembly for six-year terms; to run on agro-environmental issues); Council of the Judiciary (five judges elected by popular vote from list of candidates pre-selected by Assembly for six-year terms; to rule on ethical and administrative issues in the judiciary); Plurinational Electoral Organ (seven members elected by the Assembly and the president-one member must be of indigenous origin-to six-year terms); provincial and local courts (to try minor cases); District Courts (one in each department) |
| **Bosnia and Herzegovina** | *BiH Constitutional Court (consists of nine members:* four members are selected by the Bosniak/Croat Federation's House of Representatives, two members by the Republika Srpska's National Assembly, and three non-Bosnian members by the president of the European Court of Human Rights); BiH State Court (consists of 44 national judges and seven international judges and has three divisions - Administrative, Appellate and Criminal - having jurisdiction over cases related to state-level law and cases initiated in the entities that question BiH's sovereignty, political independence, or national security or with economic crimes that have serious repercussions to BiH's economy, beyond that of an entity or Brcko District); a War Crimes Chamber opened in March 2005 |
| | *note:* the entities each have a Constitutional Court; each entity also has a number of lower courts; there are 10 cantonal courts in the Federation, plus a number of municipal courts; the Republika Srpska has five district courts and a number of municipal courts |
| **Botswana** | High Court; Court of Appeal; Magistrates' Courts (one in each district) |
| **Brazil** | Supreme Federal Tribunal or STF (11 ministers are appointed for life by the president and confirmed by the Senate); Superior Tribunal of Justice or STJ; Superior Electoral Tribunal or TSE; Regional Federal Tribunals (judges are appointed for life); note - though appointed "for life," judges, like all federal employees, have a mandatory retirement age of 70 |
| **British Virgin Islands** | Eastern Caribbean Supreme Court, consisting of the High Court of Justice and the Court of Appeal (one judge of the Supreme Court is a resident of the islands and presides over the High Court); Magistrate's Court; Juvenile Court; Court of Summary Jurisdiction |
| **Brunei** | Supreme Court - chief justice and judges are sworn in by monarch for three-year terms; Judicial Committee of Privy Council in London is final court of appeal for civil cases; Sharia courts deal with Islamic laws (2006) |
| **Bulgaria** | independent judiciary comprised of judges, prosecutors and investigating magistrates who are appointed, promoted, demoted, and dismissed by a 25-member Supreme Judicial Council (consists of the chairmen of the two Supreme Courts, the Chief Prosecutor, and 22 members, half of whom are elected by the National Assembly and the other half by the bodies of the judiciary for a 5-year term in office); three levels of case review; 182 courts of which two Supreme Courts act as the last instance on civil and criminal cases (the Supreme Court of Cassation) and appeals of government decisions (the Supreme Administrative Court) |
| **Burkina Faso** | Supreme Court of Appeals or Cour de Cassation; Council of State or Conseil d'Etat; Court of Accounts or la Cour des Comptes; Constitutional Council or Conseil Constitutionnel |
| **Burma** | remnants of the British-era legal system are in place, but there is no guarantee of a fair public trial; the judiciary is not independent of the executive; the 2011 constitution calls for a Supreme Court, a Courts-Martial, and a Constitutional Tribunal of the Union |
| **Burundi** | Supreme Court or Cour Supreme; Constitutional Court; High Court of Justice (composed of the Supreme Court and the Constitutional Court) |
| **Cambodia** | Supreme Council of the Magistracy (provided for in the constitution and formed in December 1997); Supreme Court (and lower courts) exercises judicial authority |
| **Cameroon** | Supreme Court (judges are appointed by the president); High Court of Justice (consists of nine judges and six substitute judges; elected by the National Assembly) |
| **Canada** | Supreme Court of Canada (judges are appointed by the governor general on the recommendation of the prime minister); Federal Court of Canada; Federal Court of Appeal; Tax Court of Canada; Provincial/Territorial Courts (these are named variously Court of Appeal, Court of Queen's Bench, Superior Court, Supreme Court, and Court of Justice) |
| **Cape Verde** | Supreme Tribunal of Justice or Supremo Tribunal de Justia; Court of Audit; Military Courts; Fiscal and Customs Courts |
| **Cayman Islands** | Grand Court; Cayman Islands Court of Appeal; Summary Court |
| **Central African Republic** | Supreme Court or Cour Supreme; Constitutional Court (three judges appointed by the president, three by the president of the National Assembly, and three by fellow judges); Court of Appeal; Criminal Courts; Inferior Courts |
| **Chad** | Supreme Court; Constitutional Council; High Court of Justice; Court of Appeal; Criminal Courts; Magistrate Courts |
