CIA - The World Factbook 2000 -- Judicial branch

| Country | Judicial branch |
| --- | --- |
| **Afghanistan** | non-functioning as of March 1995, although there are local Shari'a (Islamic law) courts throughout the country |
| **Albania** | Supreme Court, chairman of the Supreme Court is elected by the People's Assembly for a four-year term |
| **Algeria** | Supreme Court (Cour Supreme) |
| **American Samoa** | High Court (chief justice and associate justices are appointed by the US Secretary of the Interior) |
| **Andorra** | Tribunal of Judges or Tribunal de Batlles; Tribunal of the Courts or Tribunal de Corts; Supreme Court of Justice of Andorra or Tribunal Superior de Justicia d'Andorra; Supreme Council of Justice or Consell Superior de la Justicia; Fiscal Ministry or Ministeri Fiscal; Constitutional Tribunal or Tribunal Constitucional |
| **Angola** | Supreme Court or Tribunal da Relacao, judges of the Supreme Court are appointed by the president |
| **Anguilla** | High Court (judge provided by Eastern Caribbean Supreme Court) |
| **Antigua and Barbuda** | Eastern Caribbean Supreme Court (based in Saint Lucia) (one judge of the Supreme Court is a resident of the islands and presides over the Court of Summary Jurisdiction) |
| **Argentina** | Supreme Court (Corte Suprema), the nine Supreme Court judges are appointed by the president with approval of the Senate |
| **Armenia** | Supreme Court; Constitutional Court |
| **Aruba** | Joint High Court of Justice (judges are appointed by the monarch) |
| **Australia** | High Court, the Chief Justice and six other justices are appointed by the governor general |
| **Austria** | Supreme Judicial Court or Oberster Gerichtshof; Administrative Court or Verwaltungsgerichtshof; Constitutional Court or Verfassungsgerichtshof |
| **Azerbaijan** | Supreme Court |
| **Bahamas, The** | Supreme Court; Court of Appeal; magistrate's courts |
| **Bahrain** | High Civil Appeals Court |
| **Bangladesh** | Supreme Court, the Chief Justices and other judges are appointed by the president |
| **Barbados** | Supreme Court of Judicature (judges are appointed by the Service Commissions for the Judicial and Legal Service) |
| **Belarus** | Supreme Court, judges are appointed by the president; Constitutional Court, half of the judges appointed by the president and half appointed by the Chamber of Representatives |
| **Belgium** | Supreme Court of Justice or Hof van Cassatie in Dutch, Cour de Cassation in French, judges are appointed for life by the Belgian monarch |
| **Belize** | Supreme Court, the chief justice is appointed by the governor general on advice of the prime minister |
| **Benin** | Constitutional Court or Cour Constitutionnelle, Supreme Court or Cour Supreme, High Court of Justice |
| **Bermuda** | Supreme Court |
| **Bhutan** | the Supreme Court of Appeal is the monarch; High Court, judges appointed by the monarch |
| **Bolivia** | Supreme Court (Corte Suprema), judges appointed for 10-year terms by National Congress |
| **Bosnia and Herzegovina** | *Constitutional Court, consists of nine members:* four members are selected by the Bosniak/Croat Federation's House of Representatives, two members by the Republika Srpska's National Assembly, and three non-Bosnian members by the president of the European Court of Human Rights |
| **Botswana** | High Court; Court of Appeal |
| **Brazil** | Supreme Federal Tribunal, 11 judges are appointed for life by the president and confirmed by the Senate |
