CIA - The World Factbook --  Suffrage   

This entry gives the age at enfranchisement and whether the right to vote is universal or restricted.

| Rank | country | Suffrage | Date of Information |
| --- | --- | --- | --- |
| 1 | Solomon Islands | 21.00 | NA |
| 2 | Tonga | 21.00 | NA |
| 3 | Tokelau | 21.00 | NA |
| 4 | Singapore | 21.00 | NA |
| 5 | Saudi Arabia | 21.00 | NA |
| 6 | Malaysia | 21.00 | NA |
| 7 | Samoa | 21.00 | NA |
| 8 | Fiji | 21.00 | NA |
| 9 | Lebanon | 21.00 | NA |
| 10 | Oman | 21.00 | NA |
| 11 | Japan | 20.00 | NA |
| 12 | Nauru | 20.00 | NA |
| 13 | Cameroon | 20.00 | NA |
| 14 | Taiwan | 20.00 | NA |
| 15 | Bahrain | 20.00 | NA |
| 16 | Korea, South | 19.00 | NA |
| 17 | Aruba | 18.00 | NA |
| 18 | Antigua and Barbuda | 18.00 | NA |
| 19 | Afghanistan | 18.00 | NA |
| 20 | Algeria | 18.00 | NA |
| 21 | Azerbaijan | 18.00 | NA |
| 22 | Albania | 18.00 | NA |
| 23 | Armenia | 18.00 | NA |
| 24 | Andorra | 18.00 | NA |
| 25 | Angola | 18.00 | NA |
| 26 | American Samoa | 18.00 | NA |
| 27 | Australia | 18.00 | NA |
| 28 | Anguilla | 18.00 | NA |
| 29 | Barbados | 18.00 | NA |
| 30 | Botswana | 18.00 | NA |
| 31 | Bermuda | 18.00 | NA |
| 32 | Belgium | 18.00 | NA |
| 33 | Bahamas, The | 18.00 | NA |
| 34 | Bangladesh | 18.00 | NA |
| 35 | Belize | 18.00 | NA |
| 36 | Bosnia and Herzegovina | 18.00 | NA |
| 37 | Bolivia | 18.00 | NA |
| 38 | Burma | 18.00 | NA |
| 39 | Benin | 18.00 | NA |
| 40 | Belarus | 18.00 | NA |
| 41 | Bhutan | 18.00 | NA |
| 42 | Bulgaria | 18.00 | NA |
| 43 | Canada | 18.00 | NA |
| 44 | Cambodia | 18.00 | NA |
| 45 | Chad | 18.00 | NA |
