CIA - The World Factbook --  Suffrage   

This entry gives the age at enfranchisement and whether the right to vote is universal or restricted.

| Rank | country | Suffrage | Date of Information |
| --- | --- | --- | --- |
| 1 | Bolivia | 21.00 | NA |
| 2 | Solomon Islands | 21.00 | NA |
| 3 | Fiji | 21.00 | NA |
| 4 | Central African Republic | 21.00 | NA |
| 5 | Gabon | 21.00 | NA |
| 6 | Oman | 21.00 | NA |
| 7 | Malaysia | 21.00 | NA |
| 8 | Saudi Arabia | 21.00 | NA |
| 9 | Tokelau | 21.00 | NA |
| 10 | Samoa | 21.00 | NA |
| 11 | Tonga | 21.00 | NA |
| 12 | Singapore | 21.00 | NA |
| 13 | Maldives | 21.00 | NA |
| 14 | Lebanon | 21.00 | NA |
| 15 | Bahrain | 20.00 | NA |
| 16 | Nauru | 20.00 | NA |
| 17 | Japan | 20.00 | NA |
| 18 | Taiwan | 20.00 | NA |
| 19 | Cameroon | 20.00 | NA |
| 20 | Korea, South | 19.00 | NA |
| 21 | Aruba | 18.00 | NA |
| 22 | Antigua and Barbuda | 18.00 | NA |
| 23 | Afghanistan | 18.00 | NA |
| 24 | Algeria | 18.00 | NA |
| 25 | Azerbaijan | 18.00 | NA |
| 26 | Albania | 18.00 | NA |
| 27 | Armenia | 18.00 | NA |
| 28 | Barbados | 18.00 | NA |
| 29 | Burma | 18.00 | NA |
| 30 | Bolivia | 18.00 | NA |
| 31 | Bosnia and Herzegovina | 18.00 | NA |
| 32 | Belize | 18.00 | NA |
| 33 | Bangladesh | 18.00 | NA |
| 34 | Bahamas, The | 18.00 | NA |
| 35 | Belgium | 18.00 | NA |
| 36 | Bermuda | 18.00 | NA |
| 37 | Botswana | 18.00 | NA |
| 38 | Northern Mariana Islands | 18.00 | NA |
| 39 | Colombia | 18.00 | NA |
| 40 | Comoros | 18.00 | NA |
| 41 | Cocos (Keeling) Islands | 18.00 | NA |
| 42 | Cayman Islands | 18.00 | NA |
| 43 | Chile | 18.00 | NA |
| 44 | China | 18.00 | NA |
| 45 | Congo, Democratic Republic of the | 18.00 | NA |
| 46 | Congo, Republic of the | 18.00 | NA |
| 47 | Czech Republic | 18.00 | NA |
| 48 | Ethiopia | 18.00 | NA |
| 49 | El Salvador | 18.00 | NA |
| 50 | Eritrea | 18.00 | NA |
| 51 | Estonia | 18.00 | NA |
| 52 | Equatorial Guinea | 18.00 | NA |
| 53 | Ireland | 18.00 | NA |
| 54 | Egypt | 18.00 | NA |
| 55 | Ecuador | 18.00 | NA |
| 56 | Guyana | 18.00 | NA |
| 57 | Guinea | 18.00 | NA |
| 58 | Guatemala | 18.00 | NA |
| 59 | Greece | 18.00 | NA |
| 60 | Germany | 18.00 | NA |
| 61 | Greenland | 18.00 | NA |
| 62 | Grenada | 18.00 | NA |
| 63 | Gibraltar | 18.00 | NA |
| 64 | Ghana | 18.00 | NA |
| 65 | Libya | 18.00 | NA |
| 66 | Luxembourg | 18.00 | NA |
| 67 | Lesotho | 18.00 | NA |
| 68 | Liechtenstein | 18.00 | NA |
| 69 | Slovakia | 18.00 | NA |
| 70 | Liberia | 18.00 | NA |
| 71 | Lithuania | 18.00 | NA |
| 72 | Latvia | 18.00 | NA |
| 73 | Kiribati | 18.00 | NA |
| 74 | Mozambique | 18.00 | NA |
| 75 | Mexico | 18.00 | NA |
| 76 | Malta | 18.00 | NA |
| 77 | Mauritania | 18.00 | NA |
| 78 | Mauritius | 18.00 | NA |
| 79 | Morocco | 18.00 | NA |
| 80 | Monaco | 18.00 | NA |
| 81 | Mali | 18.00 | NA |
| 82 | Macedonia | 18.00 | NA |
| 83 | Zimbabwe | 18.00 | NA |
| 84 | Zambia | 18.00 | NA |
| 85 | Yemen | 18.00 | NA |
| 86 | Swaziland | 18.00 | NA |
| 87 | Wallis and Futuna | 18.00 | NA |
| 88 | Namibia | 18.00 | NA |
| 89 | Virgin Islands | 18.00 | NA |
| 90 | Vietnam | 18.00 | NA |
| 91 | British Virgin Islands | 18.00 | NA |
| 92 | Venezuela | 18.00 | NA |
| 93 | Saint Vincent and the Grenadines | 18.00 | NA |
| 94 | Uzbekistan | 18.00 | NA |
| 95 | Uruguay | 18.00 | NA |
| 96 | United States | 18.00 | NA |
| 97 | Ukraine | 18.00 | NA |
| 98 | United Kingdom | 18.00 | NA |
| 99 | Uganda | 18.00 | NA |
| 100 | Tanzania | 18.00 | NA |
| 101 | Turkmenistan | 18.00 | NA |
| 102 | Tuvalu | 18.00 | NA |
| 103 | Turkey | 18.00 | NA |
| 104 | Tunisia | 18.00 | NA |
| 105 | Sao Tome and Principe | 18.00 | NA |
| 106 | Togo | 18.00 | NA |
| 107 | Turks and Caicos Islands | 18.00 | NA |
| 108 | Tajikistan | 18.00 | NA |
| 109 | Thailand | 18.00 | NA |
| 110 | Trinidad and Tobago | 18.00 | NA |
| 111 | Switzerland | 18.00 | NA |
| 112 | Syria | 18.00 | NA |
| 113 | Sweden | 18.00 | NA |
| 114 | Saint Lucia | 18.00 | NA |
| 115 | Spain | 18.00 | NA |
| 116 | Somalia | 18.00 | NA |
| 117 | San Marino | 18.00 | NA |
| 118 | Sierra Leone | 18.00 | NA |
| 119 | Slovenia | 18.00 | NA |
| 120 | Senegal | 18.00 | NA |
| 121 | South Africa | 18.00 | NA |
| 122 | Saint Kitts and Nevis | 18.00 | NA |
| 123 | Saint Pierre and Miquelon | 18.00 | NA |
| 124 | Rwanda | 18.00 | NA |
| 125 | Russia | 18.00 | NA |
| 126 | Puerto Rico | 18.00 | NA |
| 127 | Philippines | 18.00 | NA |
| 128 | Romania | 18.00 | NA |
| 129 | Saint Martin | 18.00 | NA |
| 130 | Marshall Islands | 18.00 | NA |
| 131 | Serbia | 18.00 | NA |
| 132 | Qatar | 18.00 | NA |
| 133 | Guinea-Bissau | 18.00 | NA |
| 134 | Palau | 18.00 | NA |
| 135 | Papua New Guinea | 18.00 | NA |
| 136 | Portugal | 18.00 | NA |
| 137 | Panama | 18.00 | NA |
| 138 | Poland | 18.00 | NA |
| 139 | Pakistan | 18.00 | NA |
| 140 | Peru | 18.00 | NA |
| 141 | Pitcairn Islands | 18.00 | NA |
| 142 | Paraguay | 18.00 | NA |
| 143 | New Zealand | 18.00 | NA |
| 144 | Netherlands Antilles | 18.00 | NA |
| 145 | Suriname | 18.00 | NA |
| 146 | Nepal | 18.00 | NA |
| 147 | Norway | 18.00 | NA |
| 148 | Netherlands | 18.00 | NA |
| 149 | Nigeria | 18.00 | NA |
| 150 | Vanuatu | 18.00 | NA |
| 151 | Niger | 18.00 | NA |
| 152 | Norfolk Island | 18.00 | NA |
| 153 | Niue | 18.00 | NA |
| 154 | New Caledonia | 18.00 | NA |
| 155 | Montenegro | 18.00 | NA |
| 156 | Malawi | 18.00 | NA |
| 157 | Montserrat | 18.00 | NA |
| 158 | Mongolia | 18.00 | NA |
