CIA - The World Factbook --  Stock of narrow money   

This entry, also known as "M1," comprises the total quantity of currency in circulation (notes and coins) plus demand deposits denominated in the national currency held by nonbank financial institutions, state and local governments, nonfinancial public enterprises, and the private sector of the economy, measured at a specific point in time. National currency units have been converted to US dollars at the closing exchange rate for the date of the information. Because of exchange rate movements, changes in money stocks measured in national currency units may vary significantly from those shown in US dollars, and caution is urged when making comparisons over time in US dollars. Narrow money consists of more liquid assets than broad money and the assets generally function as a "medium of exchange" for an economy.

| Rank | country | Stock of narrow money | Date of Information |
| --- | --- | --- | --- |
| 1 | European Union | $ 6,205,000,000,000 | 31 December 2011 |
| 2 | Japan | $ 6,176,000,000,000 | 31 December 2012 est. |
| 3 | China | $ 4,907,000,000,000 | 31 December 2012 est. |
| 4 | United States | $ 2,311,000,000,000 | 31 December 2012 est. |
| 5 | Germany | $ 2,025,000,000,000 | 31 December 2012 est. |
| 6 | Italy | $ 1,162,000,000,000 | 31 December 2012 est. |
| 7 | France | $ 939,100,000,000 | 31 December 2012 est. |
| 8 | Spain | $ 785,200,000,000 | 31 December 2012 est. |
| 9 | Canada | $ 648,800,000,000 | 31 December 2012 est. |
| 10 | Australia | $ 534,800,000,000 | 31 December 2012 est. |
| 11 | Switzerland | $ 534,400,000,000 | 31 December 2012 est. |
| 12 | Russia | $ 452,800,000,000 | 31 December 2012 est. |
| 13 | Taiwan | $ 426,200,000,000 | 31 December 2012 est. |
| 14 | Korea, South | $ 392,000,000,000 | 31 December 2012 est. |
| 15 | Netherlands | $ 389,900,000,000 | 31 December 2012 est. |
| 16 | India | $ 317,400,000,000 | 31 December 2012 est. |
| 17 | Sweden | $ 260,100,000,000 | 31 December 2012 est. |
| 18 | Saudi Arabia | $ 236,600,000,000 | 31 December 2012 est. |
| 19 | Austria | $ 204,500,000,000 | 31 December 2012 est. |
| 20 | Belgium | $ 185,700,000,000 | 31 December 2012 est. |
| 21 | Hong Kong | $ 177,700,000,000 | 31 December 2012 est. |
| 22 | Mexico | $ 175,200,000,000 | 31 December 2012 est. |
| 23 | Venezuela | $ 162,700,000,000 | 31 December 2012 est. |
| 24 | Brazil | $ 159,100,000,000 | 31 December 2012 est. |
| 25 | Poland | $ 156,400,000,000 | 31 December 2012 est. |
| 26 | Norway | $ 152,100,000,000 | 31 December 2012 est. |
| 27 | Denmark | $ 150,400,000,000 | 31 December 2012 est. |
| 28 | Finland | $ 126,500,000,000 | 31 December 2012 est. |
| 29 | Czech Republic | $ 122,600,000,000 | 31 December 2012 est. |
| 30 | Ireland | $ 122,300,000,000 | 31 December 2012 est. |
| 31 | South Africa | $ 122,000,000,000 | 31 December 2012 est. |
| 32 | Greece | $ 116,200,000,000 | 31 December 2012 est. |
| 33 | Singapore | $ 115,000,000,000 | 31 December 2012 est. |
| 34 | United Kingdom | $ 101,800,000,000 | 31 December 2012 est. |
| 35 | Algeria | $ 98,360,000,000 | 31 December 2012 est. |
| 36 | Malaysia | $ 93,890,000,000 | 31 December 2012 est. |
| 37 | Luxembourg | $ 89,870,000,000 | 31 December 2012 est. |
| 38 | Portugal | $ 88,920,000,000 | 31 December 2012 est. |
| 39 | Indonesia | $ 87,040,000,000 | 31 December 2012 est. |
| 40 | Turkey | $ 85,230,000,000 | 31 December 2012 est. |
| 41 | United Arab Emirates | $ 81,460,000,000 | 31 December 2012 est. |
| 42 | Morocco | $ 71,510,000,000 | 31 December 2012 est. |
| 43 | Argentina | $ 65,630,000,000 | 31 December 2012 est. |
| 44 | Pakistan | $ 62,290,000,000 | 31 December 2012 est. |
