CIA - The World Factbook --  Stock of narrow money   

This entry, also known as "M1," comprises the total quantity of currency in circulation (notes and coins) plus demand deposits denominated in the national currency held by nonbank financial institutions, state and local governments, nonfinancial public enterprises, and the private sector of the economy, measured at a specific point in time. National currency units have been converted to US dollars at the closing exchange rate for the date of the information. Because of exchange rate movements, changes in money stocks measured in national currency units may vary significantly from those shown in US dollars, and caution is urged when making comparisons over time in US dollars. Narrow money consists of more liquid assets than broad money and the assets generally function as a "medium of exchange" for an economy.

| Rank | country | Stock of narrow money | Date of Information |
| --- | --- | --- | --- |
| 1 | Japan | $ 6,735,000,000,000 | 31 December 2012 est. |
| 2 | European Union | $ 6,205,000,000,000 | 31 December 2011 |
| 3 | China | $ 4,910,000,000,000 | 31 December 2012 est. |
| 4 | United States | $ 2,318,000,000,000 | 31 December 2012 est. |
| 5 | Germany | $ 1,853,000,000,000 | 31 December 2012 est. |
| 6 | Italy | $ 1,137,000,000,000 | 31 December 2012 est. |
| 7 | France | $ 928,500,000,000 | 31 December 2012 est. |
| 8 | Spain | $ 775,200,000,000 | 31 December 2012 est. |
| 9 | Canada | $ 702,300,000,000 | 31 December 2012 est. |
| 10 | Australia | $ 544,000,000,000 | 31 December 2012 est. |
| 11 | Switzerland | $ 484,400,000,000 | 31 December 2012 est. |
| 12 | Taiwan | $ 412,300,000,000 | 31 December 2012 est. |
| 13 | Netherlands | $ 375,800,000,000 | 31 December 2012 est. |
| 14 | Korea, South | $ 369,600,000,000 | 31 December 2011 est. |
| 15 | Russia | $ 347,000,000,000 | 31 December 2012 est. |
| 16 | India | $ 342,300,000,000 | 31 December 2012 est. |
| 17 | Sweden | $ 243,000,000,000 | 31 December 2012 est. |
| 18 | Saudi Arabia | $ 231,300,000,000 | 31 December 2012 est. |
| 19 | Austria | $ 194,800,000,000 | 31 December 2012 est. |
| 20 | Mexico | $ 180,700,000,000 | 31 December 2012 est. |
| 21 | Venezuela | $ 175,700,000,000 | 31 December 2012 est. |
| 22 | Belgium | $ 168,400,000,000 | 31 December 2012 est. |
| 23 | Brazil | $ 158,300,000,000 | 31 December 2012 est. |
| 24 | Poland | $ 152,800,000,000 | 31 December 2012 est. |
| 25 | Norway | $ 149,400,000,000 | 31 December 2012 est. |
| 26 | Hong Kong | $ 143,800,000,000 | 31 December 2011 est. |
| 27 | Denmark | $ 134,200,000,000 | 31 December 2012 est. |
| 28 | Singapore | $ 120,700,000,000 | 31 December 2012 est. |
| 29 | Greece | $ 120,000,000,000 | 31 December 2012 est. |
| 30 | Ireland | $ 118,500,000,000 | 31 December 2012 est. |
| 31 | Finland | $ 117,000,000,000 | 31 December 2012 est. |
| 32 | South Africa | $ 117,000,000,000 | 31 December 2012 est. |
| 33 | Czech Republic | $ 114,000,000,000 | 31 December 2012 est. |
| 34 | Algeria | $ 110,100,000,000 | 31 December 2012 est. |
| 35 | United Kingdom | $ 100,900,000,000 | 31 December 2012 est. |
| 36 | Malaysia | $ 96,680,000,000 | 31 December 2012 est. |
| 37 | Indonesia | $ 90,240,000,000 | 31 December 2012 est. |
| 38 | Portugal | $ 86,550,000,000 | 31 December 2012 est. |
| 39 | Turkey | $ 83,290,000,000 | 31 December 2012 est. |
| 40 | Luxembourg | $ 81,550,000,000 | 31 December 2012 est. |
| 41 | United Arab Emirates | $ 80,530,000,000 | 31 December 2012 est. |
| 42 | Morocco | $ 70,350,000,000 | 31 December 2012 est. |
| 43 | Iraq | $ 62,190,000,000 | 31 December 2012 est. |
| 44 | Pakistan | $ 60,680,000,000 | 31 December 2012 est. |
| 45 | Argentina | $ 60,660,000,000 | 31 December 2012 est. |
| 46 | Iran | $ 58,770,000,000 | 31 December 2012 est. |
| 47 | Thailand | $ 49,330,000,000 | 31 December 2012 est. |
| 48 | Egypt | $ 47,730,000,000 | 31 December 2012 est. |
| 49 | Colombia | $ 41,900,000,000 | 31 December 2012 est. |
| 50 | Chile | $ 41,650,000,000 | 31 December 2012 est. |
| 51 | Nigeria | $ 40,660,000,000 | 31 December 2012 est. |
| 52 | Libya | $ 38,210,000,000 | 31 December 2012 est. |
| 53 | Ukraine | $ 38,050,000,000 | 31 December 2012 est. |
| 54 | Vietnam | $ 37,050,000,000 | 31 December 2012 est. |
| 55 | Philippines | $ 36,670,000,000 | 31 December 2012 est. |
| 56 | Slovakia | $ 35,310,000,000 | 31 December 2012 est. |
| 57 | Hungary | $ 30,630,000,000 | 31 December 2012 est. |
