CIA - The World Factbook --  Stock of narrow money   

This entry, also know as "M1," comprises the total quantity of currency in circulation (notes and coins) plus demand deposits denominated in the national currency held by nonbank financial institutions, state and local governments, nonfinancial public enterprises, and the private sector of the economy, measured at a specific point in time. National currency units have been converted to US dollars at the closing exchange rate for the date of the information. Because of exchange rate movements, changes in money stocks measured in national currency units may vary significantly from those shown in US dollars, and caution is urged when making comparisons over time in US dollars. Narrow money consists of more liquid assets than broad money and the assets generally function as a "medium of exchange" for an economy.

| Rank | country | Stock of narrow money | Date of Information |
| --- | --- | --- | --- |
| 1 | World | $ 22,400,000,000,000 | NA |
| 2 | European Union | $ 5,542,000,000,000 | NA |
| 3 | Japan | $ 5,541,000,000,000 | NA |
| 4 | China | $ 3,838,000,000,000 | NA |
| 5 | United States | $ 1,740,000,000,000 | NA |
| 6 | Germany | $ 1,627,000,000,000 | NA |
| 7 | Italy | $ 1,234,000,000,000 | NA |
| 8 | France | $ 858,600,000,000 | NA |
| 9 | Spain | $ 849,200,000,000 | NA |
| 10 | Canada | $ 560,800,000,000 | NA |
| 11 | Switzerland | $ 384,200,000,000 | NA |
| 12 | Netherlands | $ 368,100,000,000 | NA |
| 13 | Australia | $ 347,100,000,000 | NA |
| 14 | Taiwan | $ 331,700,000,000 | NA |
| 15 | India | $ 328,400,000,000 | NA |
| 16 | Russia | $ 269,100,000,000 | NA |
| 17 | Sweden | $ 225,000,000,000 | NA |
| 18 | Austria | $ 173,400,000,000 | NA |
| 19 | Belgium | $ 172,900,000,000 | NA |
| 20 | Saudi Arabia | $ 166,900,000,000 | NA |
| 21 | Brazil | $ 165,800,000,000 | NA |
| 22 | Greece | $ 152,800,000,000 | NA |
| 23 | Denmark | $ 148,100,000,000 | NA |
| 24 | Poland | $ 138,700,000,000 | NA |
| 25 | Mexico | $ 135,700,000,000 | NA |
| 26 | Ireland | $ 127,700,000,000 | NA |
| 27 | Norway | $ 122,200,000,000 | NA |
| 28 | Luxembourg | $ 120,800,000,000 | NA |
| 29 | Finland | $ 108,000,000,000 | NA |
| 30 | Korea, South | $ 101,900,000,000 | NA |
| 31 | Portugal | $ 98,230,000,000 | NA |
| 32 | Czech Republic | $ 96,820,000,000 | NA |
| 33 | United Kingdom | $ 88,620,000,000 | NA |
| 34 | Hong Kong | $ 84,880,000,000 | NA |
| 35 | Singapore | $ 80,500,000,000 | NA |
| 36 | Algeria | $ 79,070,000,000 | NA |
| 37 | Venezuela | $ 69,360,000,000 | NA |
| 38 | Malaysia | $ 69,030,000,000 | NA |
| 39 | United Arab Emirates | $ 68,760,000,000 | NA |
| 40 | Morocco | $ 67,330,000,000 | NA |
| 41 | South Africa | $ 65,870,000,000 | NA |
| 42 | Indonesia | $ 65,470,000,000 | NA |
| 43 | Pakistan | $ 59,750,000,000 | NA |
| 44 | Turkey | $ 57,020,000,000 | NA |
| 45 | Iran | $ 50,370,000,000 | NA |
| 46 | Argentina | $ 41,660,000,000 | NA |
| 47 | Nigeria | $ 40,410,000,000 | NA |
| 48 | Thailand | $ 38,000,000,000 | NA |
| 49 | Egypt | $ 37,800,000,000 | NA |
| 50 | Iraq | $ 35,690,000,000 | NA |
| 51 | Ukraine | $ 34,970,000,000 | NA |
| 52 | Slovakia | $ 34,370,000,000 | NA |
| 53 | Vietnam | $ 33,760,000,000 | NA |
| 54 | Colombia | $ 31,830,000,000 | NA |
| 55 | Philippines | $ 30,090,000,000 | NA |
| 56 | Libya | $ 29,850,000,000 | NA |
| 57 | Chile | $ 29,810,000,000 | NA |
| 58 | Hungary | $ 28,670,000,000 | NA |
| 59 | Israel | $ 27,580,000,000 | NA |
| 60 | Romania | $ 24,390,000,000 | NA |
| 61 | New Zealand | $ 24,150,000,000 | NA |
| 62 | Syria | $ 21,600,000,000 | NA |
| 63 | Kazakhstan | $ 20,910,000,000 | NA |
| 64 | Peru | $ 20,530,000,000 | NA |
| 65 | Kuwait | $ 18,120,000,000 | NA |
| 66 | Qatar | $ 15,980,000,000 | NA |
| 67 | Bangladesh | $ 13,980,000,000 | NA |
| 68 | Bulgaria | $ 12,700,000,000 | NA |
| 69 | Cuba | $ 11,570,000,000 | NA |
| 70 | Tunisia | $ 11,490,000,000 | NA |
| 71 | Slovenia | $ 10,470,000,000 | NA |
| 72 | Jordan | $ 9,386,000,000 | NA |
| 73 | Lithuania | $ 8,917,000,000 | NA |
| 74 | Angola | $ 8,740,000,000 | NA |
| 75 | Croatia | $ 8,720,000,000 | NA |
| 76 | Sudan | $ 7,713,000,000 | NA |
| 77 | Azerbaijan | $ 7,340,000,000 | NA |
| 78 | Oman | $ 7,257,000,000 | NA |
| 79 | Guatemala | $ 6,600,000,000 | NA |
| 80 | Bahrain | $ 6,372,000,000 | NA |
| 81 | Kenya | $ 6,333,000,000 | NA |
| 82 | Ghana | $ 6,260,000,000 | NA |
| 83 | Ecuador | $ 6,198,000,000 | NA |
| 84 | Latvia | $ 5,769,000,000 | NA |
| 85 | Estonia | $ 5,345,000,000 | NA |
