CIA - The World Factbook --  Stock of narrow money   

This entry, also known as "M1," comprises the total quantity of currency in circulation (notes and coins) plus demand deposits denominated in the national currency held by nonbank financial institutions, state and local governments, nonfinancial public enterprises, and the private sector of the economy, measured at a specific point in time. National currency units have been converted to US dollars at the closing exchange rate for the date of the information. Because of exchange rate movements, changes in money stocks measured in national currency units may vary significantly from those shown in US dollars, and caution is urged when making comparisons over time in US dollars. Narrow money consists of more liquid assets than broad money and the assets generally function as a "medium of exchange" for an economy.

| Rank | country | Stock of narrow money | Date of Information |
| --- | --- | --- | --- |
| 1 | Japan | $ 6,047,000,000,000 | 31 December 2010 est. |
| 2 | European Union | $ 5,542,000,000,000 | 31 December 2010 |
| 3 | China | $ 4,026,000,000,000 | 31 December 2010 est. |
| 4 | United States | $ 1,866,000,000,000 | 30 June 2011 est. |
| 5 | Germany | $ 1,747,000,000,000 | 31 December 2010 est. |
| 6 | Italy | $ 1,205,000,000,000 | 31 December 2010 est. |
| 7 | France | $ 887,300,000,000 | 31 December 2010 est. |
| 8 | Spain | $ 811,200,000,000 | 31 December 2010 est. |
| 9 | Canada | $ 585,500,000,000 | 31 December 2010 est. |
| 10 | Switzerland | $ 452,600,000,000 | 31 December 2010 est. |
| 11 | Australia | $ 421,800,000,000 | 31 December 2010 est. |
| 12 | Taiwan | $ 377,300,000,000 | 31 December 2010 est. |
| 13 | Korea, South | $ 377,000,000,000 | 31 December 2010 est. |
| 14 | Netherlands | $ 375,500,000,000 | 31 December 2010 est. |
| 15 | India | $ 340,100,000,000 | 31 December 2010 est. |
| 16 | Russia | $ 268,700,000,000 | 31 December 2010 est. |
| 17 | Sweden | $ 235,600,000,000 | 31 December 2010 est. |
| 18 | Belgium | $ 175,300,000,000 | 31 December 2010 est. |
| 19 | Austria | $ 172,100,000,000 | 31 December 2010 est. |
| 20 | Brazil | $ 169,200,000,000 | 31 December 2010 est. |
| 21 | Saudi Arabia | $ 166,800,000,000 | 31 December 2010 est. |
| 22 | Poland | $ 151,500,000,000 | 31 December 2010 est. |
| 23 | Greece | $ 151,100,000,000 | 31 December 2010 est. |
| 24 | Mexico | $ 148,400,000,000 | 31 December 2010 est. |
| 25 | Denmark | $ 146,800,000,000 | 31 December 2010 est. |
| 26 | Norway | $ 134,600,000,000 | 31 December 2010 est. |
| 27 | Ireland | $ 131,900,000,000 | 31 December 2010 est. |
| 28 | South Africa | $ 131,000,000,000 | 31 December 2010 est. |
| 29 | Finland | $ 113,000,000,000 | 31 December 2010 est. |
| 30 | Czech Republic | $ 107,800,000,000 | 31 December 2010 est. |
| 31 | Portugal | $ 95,900,000,000 | 31 December 2010 est. |
| 32 | Luxembourg | $ 90,850,000,000 | 31 December 2010 est. |
| 33 | United Kingdom | $ 88,880,000,000 | 31 December 2010 est. |
| 34 | Singapore | $ 87,350,000,000 | 31 December 2010 est. |
| 35 | Hong Kong | $ 82,180,000,000 | 31 December 2010 est. |
| 36 | Algeria | $ 75,240,000,000 | 31 December 2010 est. |
| 37 | Malaysia | $ 72,770,000,000 | 31 December 2010 est. |
| 38 | Venezuela | $ 70,570,000,000 | 31 December 2010 est. |
| 39 | Indonesia | $ 67,340,000,000 | 31 December 2010 est. |
| 40 | Morocco | $ 66,090,000,000 | 31 December 2010 est. |
| 41 | United Arab Emirates | $ 63,430,000,000 | 31 December 2010 est. |
| 42 | Turkey | $ 58,270,000,000 | 31 December 2010 est. |
| 43 | Argentina | $ 56,320,000,000 | 31 December 2010 est. |
| 44 | Pakistan | $ 53,080,000,000 | 31 December 2010 est. |
| 45 | Oman | $ 53,080,000,000 | 31 December 2010 est. |
| 46 | Iran | $ 50,150,000,000 | 31 December 2010 est. |
| 47 | Iraq | $ 44,120,000,000 | 31 December 2010 est. |
| 48 | Thailand | $ 43,200,000,000 | 31 December 2010 est. |
| 49 | Egypt | $ 38,500,000,000 | 31 December 2010 est. |
| 50 | Ukraine | $ 36,410,000,000 | 31 December 2010 est. |
| 51 | Slovakia | $ 35,410,000,000 | 31 December 2010 est. |
| 52 | Nigeria | $ 34,650,000,000 | 31 December 2010 est. |
| 53 | Chile | $ 34,390,000,000 | 31 December 2010 est. |
| 54 | Colombia | $ 32,420,000,000 | 31 December 2010 est. |
| 55 | Vietnam | $ 32,080,000,000 | 31 December 2010 est. |
| 56 | Libya | $ 31,950,000,000 | 31 December 2010 est. |
| 57 | Hungary | $ 31,800,000,000 | 31 December 2010 est. |
| 58 | Israel | $ 31,240,000,000 | 31 December 2010 est. |
| 59 | Philippines | $ 29,080,000,000 | 31 December 2010 est. |
| 60 | New Zealand | $ 28,110,000,000 | 31 December 2010 est. |
| 61 | Romania | $ 25,470,000,000 | 31 December 2010 est. |
| 62 | Syria | $ 24,280,000,000 | 31 December 2010 est. |
