CIA - The World Factbook --  STOCK OF NARROW MONEY

"Stock of money compares ""M1"" which is the total quantity of currency in circulation (notes and coins) plus demand deposits denominated in the national currency, held by nonbank financial institutions, state and local governments, nonfinancial public enterprises, and the private sector of the economy. The national currency units have been converted to US dollars at the closing exchange rate on the date of the information."

| Rank | Country | STOCK OF NARROW MONEY | Date of Information |
| --- | --- | --- | --- |
| 1 | China | $7,001,000,000,000 | 31 December 2016 est. |
| 2 | European Union | $6,613,000,000,000 | 31 December 2015 est. |
| 3 | Japan | $5,651,000,000,000 | 31 December 2016 est. |
| 4 | United States | $3,250,000,000,000 | 31 December 2016 est. |
| 5 | Germany | $2,016,000,000,000 | 31 December 2016 est. |
| 6 | France | $1,139,000,000,000 | 31 December 2016 est. |
| 7 | Italy | $1,101,000,000,000 | 31 December 2016 est. |
| 8 | Spain | $841,600,000,000 | 31 December 2016 est. |
| 9 | Korea, South | $658,700,000,000 | 31 December 2016 est. |
| 10 | Canada | $637,300,000,000 | 31 December 2016 est. |
| 11 | Switzerland | $555,700,000,000 | 31 December 2016 est. |
| 12 | Taiwan | $501,200,000,000 | 31 December 2016 est. |
| 13 | Netherlands | $411,900,000,000 | 31 December 2016 est. |
| 14 | Saudi Arabia | $305,200,000,000 | 31 December 2016 est. |
| 15 | India | $294,400,000,000 | 31 December 2016 est. |
| 16 | Hong Kong | $285,500,000,000 | 31 December 2016 est. |
| 17 | Sweden | $273,500,000,000 | 31 December 2016 est. |
| 18 | Australia | $243,100,000,000 | 31 December 2016 est. |
| 19 | Luxembourg | $229,200,000,000 | 31 December 2016 est. |
| 20 | Norway | $214,000,000,000 | 31 December 2016 est. |
| 21 | Austria | $214,000,000,000 | 31 December 2016 est. |
| 22 | Belgium | $198,000,000,000 | 31 December 2016 est. |
| 23 | Russia | $195,900,000,000 | 31 December 2016 est. |
| 24 | Poland | $195,100,000,000 | 31 December 2016 est. |
| 25 | Mexico | $186,800,000,000 | 31 December 2016 est. |
| 26 | Venezuela | $163,300,000,000 | 31 December 2016 est. |
| 27 | Denmark | $159,300,000,000 | 31 December 2016 est. |
| 28 | Ireland | $156,200,000,000 | 31 December 2016 est. |
| 29 | Czechia | $133,500,000,000 | 31 December 2016 est. |
| 30 | United Arab Emirates | $129,000,000,000 | 31 December 2016 est. |
| 31 | Finland | $124,000,000,000 | 31 December 2016 est. |
| 32 | Singapore | $119,400,000,000 | 31 December 2016 est. |
| 33 | South Africa | $117,300,000,000 | 31 December 2016 est. |
| 34 | Turkey | $108,700,000,000 | 31 December 2016 est. |
| 35 | Brazil | $106,700,000,000 | 31 December 2016 est. |
| 36 | Pakistan | $103,500,000,000 | 31 December 2016 est. |
| 37 | United Kingdom | $96,150,000,000 | 31 December 2016 est. |
| 38 | Indonesia | $92,110,000,000 | 31 December 2016 est. |
| 39 | Greece | $86,530,000,000 | 31 December 2016 est. |
| 40 | Algeria | $85,110,000,000 | 31 December 2016 est. |
| 41 | Malaysia | $84,900,000,000 | 31 December 2016 est. |
| 42 | Portugal | $81,150,000,000 | 31 December 2016 est. |
| 43 | Israel | $79,580,000,000 | 31 December 2016 est. |
| 44 | Morocco | $74,700,000,000 | 31 December 2016 est. |
| 45 | Vietnam | $73,480,000,000 | 31 December 2016 est. |
| 46 | Libya | $62,570,000,000 | 31 December 2016 est. |
| 47 | Philippines | $61,620,000,000 | 31 December 2016 est. |
| 48 | Iraq | $59,840,000,000 | 31 December 2016 est. |
| 49 | Argentina | $59,000,000,000 | 31 December 2016 est. |
| 50 | Hungary | $55,640,000,000 | 31 December 2016 est. |
| 51 | Thailand | $52,030,000,000 | 31 December 2016 est. |
| 52 | Iran | $47,590,000,000 | 31 December 2016 est. |
| 53 | Slovakia | $45,630,000,000 | 31 December 2016 est. |
| 54 | Chile | $44,010,000,000 | 31 December 2016 est. |
| 55 | New Zealand | $42,010,000,000 | 31 December 2016 est. |
| 56 | Romania | $41,820,000,000 | 31 December 2016 est. |
| 57 | Nigeria | $37,450,000,000 | 31 December 2016 est. |
| 58 | Qatar | $35,260,000,000 | 31 December 2016 est. |
| 59 | Egypt | $34,510,000,000 | 31 December 2016 est. |
| 60 | Colombia | $34,010,000,000 | 31 December 2016 est. |
| 61 | Kuwait | $31,870,000,000 | 31 December 2016 est. |
| 62 | Peru | $31,080,000,000 | 31 December 2016 est. |
| 63 | Bangladesh | $25,940,000,000 | 31 December 2016 est. |
| 64 | Angola | $23,170,000,000 | 31 December 2016 est. |
| 65 | Bulgaria | $22,000,000,000 | 31 December 2016 est. |
| 66 | Cuba | $21,920,000,000 | 31 December 2016 est. |
| 67 | Lithuania | $20,930,000,000 | 31 December 2016 est. |
| 68 | Ukraine | $19,490,000,000 | 31 December 2016 est. |
| 69 | Slovenia | $16,540,000,000 | 31 December 2016 est. |
| 70 | Burma | $15,840,000,000 | 31 December 2016 est. |
| 71 | Jordan | $14,630,000,000 | 31 December 2016 est. |
| 72 | Malta | $14,560,000,000 | 31 December 2016 est. |
| 73 | Ethiopia | $14,560,000,000 | 31 December 2016 est. |
| 74 | Kazakhstan | $13,810,000,000 | 31 December 2016 est. |
| 75 | Oman | $12,950,000,000 | 31 December 2016 est. |
