CIA - The World Factbook --  STOCK OF NARROW MONEY

"Stock of money compares ""M1"" which is the total quantity of currency in circulation (notes and coins) plus demand deposits denominated in the national currency, held by nonbank financial institutions, state and local governments, nonfinancial public enterprises, and the private sector of the economy. The national currency units have been converted to US dollars at the closing exchange rate on the date of the information."

| Rank | Country | STOCK OF NARROW MONEY | Date of Information |
| --- | --- | --- | --- |
| 1 | European Union | $7,165,000,000,000 | 31 December 2013 |
| 2 | China | $6,176,000,000,000 | 31 December 2015 est. |
| 3 | Japan | $5,131,000,000,000 | 31 December 2015 est. |
| 4 | United States | $3,022,000,000,000 | 31 December 2015 est. |
| 5 | Germany | $1,923,000,000,000 | 31 December 2015 est. |
| 6 | France | $1,079,000,000,000 | 31 December 2015 est. |
| 7 | Italy | $1,026,000,000,000 | 31 December 2015 est. |
| 8 | Spain | $745,000,000,000 | 31 December 2015 est. |
| 9 | Korea, South | $604,200,000,000 | 31 December 2015 est. |
| 10 | Canada | $568,800,000,000 | 31 December 2015 est. |
| 11 | Switzerland | $508,200,000,000 | 31 December 2015 est. |
| 12 | Taiwan | $462,500,000,000 | 31 December 2015 est. |
| 13 | Netherlands | $405,700,000,000 | 31 December 2015 est. |
| 14 | India | $370,500,000,000 | 31 December 2015 est. |
| 15 | Saudi Arabia | $305,500,000,000 | 31 December 2015 est. |
| 16 | Venezuela | $273,800,000,000 | 31 December 2015 est. |
| 17 | Sweden | $271,000,000,000 | 31 December 2015 est. |
| 18 | Hong Kong | $254,300,000,000 | 31 December 2015 est. |
| 19 | Australia | $223,200,000,000 | 31 December 2015 est. |
| 20 | Luxembourg | $218,400,000,000 | 31 December 2015 est. |
| 21 | Norway | $200,300,000,000 | 31 December 2015 est. |
| 22 | Mexico | $194,800,000,000 | 31 December 2015 est. |
| 23 | Austria | $193,900,000,000 | 31 December 2015 est. |
| 24 | Belgium | $181,500,000,000 | 31 December 2015 est. |
| 25 | Poland | $177,400,000,000 | 31 December 2015 est. |
| 26 | Denmark | $151,900,000,000 | 31 December 2015 est. |
| 27 | Russia | $151,500,000,000 | 31 December 2015 est. |
| 28 | Ireland | $140,900,000,000 | 31 December 2015 est. |
| 29 | Czechia | $124,900,000,000 | 31 December 2015 est. |
| 30 | United Arab Emirates | $124,400,000,000 | 31 December 2015 est. |
| 31 | Finland | $121,400,000,000 | 31 December 2015 est. |
| 32 | Singapore | $113,500,000,000 | 31 December 2015 est. |
| 33 | Turkey | $107,100,000,000 | 31 December 2015 est. |
| 34 | United Kingdom | $106,700,000,000 | 31 December 2015 est. |
| 35 | South Africa | $91,720,000,000 | 31 December 2015 est. |
| 36 | Pakistan | $89,300,000,000 | 31 December 2015 est. |
| 37 | Greece | $86,690,000,000 | 31 December 2015 est. |
| 38 | Algeria | $86,430,000,000 | 31 December 2015 est. |
| 39 | Brazil | $85,640,000,000 | 31 December 2015 est. |
| 40 | Malaysia | $83,970,000,000 | 31 December 2015 est. |
| 41 | Indonesia | $76,500,000,000 | 31 December 2015 est. |
| 42 | Portugal | $72,290,000,000 | 31 December 2015 est. |
| 43 | Morocco | $71,580,000,000 | 31 December 2015 est. |
| 44 | Egypt | $66,490,000,000 | 31 December 2015 est. |
| 45 | Israel | $63,410,000,000 | 31 December 2015 est. |
