CIA - The World Factbook --  Stock of narrow money   

"Stock of money compares ""M1"" which is the total quantity of currency in circulation (notes and coins) plus demand deposits denominated in the national currency, held by nonbank financial institutions, state and local governments, nonfinancial public enterprises, and the private sector of the economy. The national currency units have been converted to US dollars at the closing exchange rate on the date of the information."

| Rank | country | Stock of narrow money | Date of Information |
| --- | --- | --- | --- |
| 1 | European Union | $ 6,736,000,000,000 | 31 December 2013 |
| 2 | Japan | $ 5,604,000,000,000 | 31 December 2013 est. |
| 3 | China | $ 5,532,000,000,000 | 31 December 2013 est. |
| 4 | United States | $ 2,612,000,000,000 | 31 December 2013 est. |
| 5 | Germany | $ 2,158,000,000,000 | 31 December 2013 est. |
| 6 | Italy | $ 1,138,000,000,000 | 31 December 2013 est. |
| 7 | France | $ 810,100,000,000 | 31 December 2013 est. |
| 8 | Spain | $ 777,300,000,000 | 31 December 2013 est. |
| 9 | Canada | $ 699,100,000,000 | 31 December 2013 est. |
| 10 | Australia | $ 526,500,000,000 | 31 December 2013 est. |
| 11 | Switzerland | $ 525,900,000,000 | 31 December 2013 est. |
| 12 | Korea, South | $ 465,200,000,000 | 31 December 2013 est. |
| 13 | Russia | $ 452,800,000,000 | 31 December 2012 est. |
| 14 | Taiwan | $ 450,100,000,000 | 31 December 2013 est. |
| 15 | Netherlands | $ 401,100,000,000 | 31 December 2013 est. |
| 16 | India | $ 303,100,000,000 | 31 December 2013 est. |
| 17 | Saudi Arabia | $ 263,800,000,000 | 31 December 2013 est. |
| 18 | Sweden | $ 254,300,000,000 | 31 December 2013 est. |
| 19 | Austria | $ 204,500,000,000 | 31 December 2013 est. |
| 20 | Hong Kong | $ 193,700,000,000 | 31 December 2013 est. |
| 21 | Belgium | $ 185,100,000,000 | 31 December 2013 est. |
| 22 | Venezuela | $ 181,400,000,000 | 31 December 2013 est. |
| 23 | Mexico | $ 174,200,000,000 | 31 December 2012 est. |
| 24 | Poland | $ 162,000,000,000 | 31 December 2013 est. |
| 25 | Brazil | $ 157,600,000,000 | 31 December 2013 est. |
| 26 | Denmark | $ 147,600,000,000 | 31 December 2013 est. |
| 27 | Norway | $ 146,300,000,000 | 31 December 2013 est. |
| 28 | Finland | $ 130,800,000,000 | 31 December 2013 est. |
| 29 | Czech Republic | $ 124,100,000,000 | 30 September 2013 est. |
| 30 | Singapore | $ 123,500,000,000 | 31 December 2013 est. |
| 31 | Ireland | $ 121,300,000,000 | 31 December 2013 est. |
| 32 | Greece | $ 112,100,000,000 | 31 December 2013 est. |
| 33 | United Kingdom | $ 111,600,000,000 | 28 February 2014 est. |
| 34 | South Africa | $ 110,200,000,000 | 31 December 2013 est. |
| 35 | Malaysia | $ 97,030,000,000 | 31 December 2013 est. |
| 36 | Algeria | $ 92,910,000,000 | 31 December 2013 est. |
| 37 | Portugal | $ 86,570,000,000 | 31 December 2013 est. |
| 38 | Luxembourg | $ 84,910,000,000 | 31 December 2013 est. |
| 39 | Indonesia | $ 82,990,000,000 | 31 December 2013 est. |
| 40 | Turkey | $ 80,720,000,000 | 31 December 2013 est. |
| 41 | Morocco | $ 75,710,000,000 | 31 December 2013 est. |
| 42 | Pakistan | $ 71,960,000,000 | 31 December 2013 est. |
| 43 | Argentina | $ 70,250,000,000 | 31 December 2013 est. |
| 44 | Iraq | $ 62,330,000,000 | 31 December 2013 est. |
| 45 | Thailand | $ 50,180,000,000 | 31 December 2013 est. |
| 46 | Egypt | $ 47,800,000,000 | 31 December 2013 est. |
| 47 | Libya | $ 47,250,000,000 | 31 December 2013 est. |
| 48 | Nigeria | $ 46,480,000,000 | 31 December 2013 est. |
| 49 | Vietnam | $ 43,990,000,000 | 31 December 2013 est. |
| 50 | Philippines | $ 43,670,000,000 | 31 December 2013 est. |
| 51 | Colombia | $ 42,280,000,000 | 31 December 2013 est. |
| 52 | Chile | $ 41,610,000,000 | 31 December 2013 est. |
| 53 | Ukraine | $ 39,940,000,000 | 31 December 2013 est. |
| 54 | Slovakia | $ 38,480,000,000 | 31 December 2013 est. |
| 55 | Israel | $ 37,090,000,000 | 31 December 2013 est. |
| 56 | Hungary | $ 34,750,000,000 | 31 December 2013 est. |
| 57 | Peru | $ 32,200,000,000 | 31 December 2013 est. |
| 58 | Kuwait | $ 31,680,000,000 | 31 December 2013 est. |
| 59 | Romania | $ 30,820,000,000 | 31 December 2013 est. |
| 60 | New Zealand | $ 30,030,000,000 | 31 December 2013 est. |
| 61 | Qatar | $ 29,980,000,000 | 31 December 2013 est. |
| 62 | Iran | $ 26,300,000,000 | 31 December 2013 est. |
| 63 | Kazakhstan | $ 24,510,000,000 | 31 December 2013 est. |
| 64 | Zimbabwe | $ 23,030,000,000 | 31 December 2013 est. |
| 65 | Bulgaria | $ 17,550,000,000 | 31 December 2013 est. |
| 66 | Azerbaijan | $ 17,170,000,000 | 31 December 2013 est. |
| 67 | Bangladesh | $ 17,110,000,000 | 31 December 2013 est. |
