CIA - The World Factbook -- Field Listing - Political parties and leaders

| Country | Political parties and leaders |
| --- | --- |
| **Afghanistan** | NA; note - political parties in Afghanistan are in flux and many prominent players have plans to create new parties; the Transitional Islamic State of Afghanistan (TISA) is headed by President Hamid KARZAI; the TISA is a coalition government formed of leaders from across the Afghan political spectrum; there are also several political factions not holding positions in the Transitional government that are forming new groups and parties in the hopes of participating in 2004 elections |
| **Albania** | Agrarian Party of Albania or PASH [Lufter XHUVELI]; Christian Democratic Party or PDK [Zef BUSHATI]; Communist Party of Albania or PKSH [Hysni MILLOSHI]; Democratic Alliance or PAD [Nerltan CEKA]; Democratic Party or PD [Sali BERISHA]; Legality Movement Party or PLL [Guri DUROLLARI]; National Front Party (Balli Kombetar) or PBK [Abaz ERMENJI]; Party of National Unity or PUK [Idajet BEQUIRI]; Republican Party or PR [Fatmir MEDIU]; Social Democracy or DS [Paskal MILO]; Social Democratic Party or PSD [Skender GJINUSHI]; Socialist Party or PS (formerly the Albanian Party of Labor) [Fatos NANO]; Union for Human Rights Party or PBDNJ [Vasil MELO] |
| **Algeria** | Algerian National Front or FNA [Moussa TOUATI]; Democratic National Rally or RND [Ahmed OUYAHIA, chairman]; Islamic Salvation Front or FIS (outlawed April 1992) [Ali BELHADJ and Dr. Abassi MADANI, Rabeh KEBIR (self-exile in Germany)]; Society of Peace Movement or MSP [Boujerra SOLTANI]; National Entente Movement or MEN [Ali BOUKHAZNA]; National Liberation Front or FLN [Ali BENFLIS, secretary general]; National Reform Movement or MRN [Abdellah DJABALLAH]; National Renewal Party or PRA [leader NA]; Progressive Republican Party [Khadir DRISS]; Rally for Culture and Democracy or RCD [Said SAADI, secretary general]; Renaissance Movement or EnNahda Movement [Lahbib ADAMI]; Social Liberal Party or PSL [Ahmed KHELIL]; Socialist Forces Front or FFS [Hocine Ait AHMED, secretary general (self-exile in Switzerland)]; Union for Democracy and Liberty [Mouley BOUKHALAFA]; Workers Party or PT [Louisa HANOUN] |
| | *note:* a law banning political parties based on religion was enacted in March 1997 |
| **American Samoa** | Democratic Party [leader NA]; Republican Party [leader NA] |
| **Andorra** | Democratic Party or PD (formerly part of National Democratic Group or AND) [Ladislau BARO SOLO]; Liberal Party of Andorra or PLA [Marc FORNE MOLNE] (used to be Liberal Union or UL); Liberal Union or UL [Francesc CERQUEDA]; National Democratic Group or AND [Ladislau BARO SOLO]; National Democratic Initiative or IDN [Vicenc MATEU ZAMORA]; New Democracy or ND [Jaume BARTOMEU CASSANY]; Social Democratic Party or PSD (formerly part of National Democratic Group of AND) [leader NA]; Union of the People of Ordino (Unio Parroquial d'Ordino) or UPO [Simo DURO COMA] |
| | *note:* there are two other small parties |
| **Angola** | Liberal Democratic Party or PLD [Analia de Victoria PEREIRA]; National Front for the Liberation of Angola or FNLA [disputed leadership: Lucas NGONDA, Holden ROBERTO]; National Union for the Total Independence of Angola or UNITA [interim leader: PAULO Lukamba "Gato"], largest opposition party has engaged in years of armed resistance; Popular Movement for the Liberation of Angola or MPLA [Jose Eduardo DOS SANTOS], ruling party in power since 1975; Social Renewal Party or PRS [disputed leadership: Eduardo KUANGANA, Antonio MUACHICUNGO] |
| | *note:* about a dozen minor parties participated in the 1992 elections but only won a few seats and have little influence in the National Assembly |
| **Anguilla** | Anguilla United Party or AUP [Hubert HUGHES]; The United Front or UF [Osbourne FLEMING, Victor BANKS], a coalition of the Anguilla Democratic Party or ADP and the Anguilla National Alliance or ANA |
