CIA - The World Factbook -- Field Listing :: Political parties and leaders   

This entry includes a listing of significant political organizations and their leaders.

| Country | Political parties and leaders |
| --- | --- |
| **Afghanistan** | Afghanistan's Islamic Mission Organization [Abdul Rasoul SAYYAF]; Afghanistan's Welfare Party [Meer Asef ZAEEFI]; Afghan Social Democratic Party [Anwarul Haq AHAD]; Islamic Movement of Afghanistan [Sayed Hussain ANWARI]; Islamic Party of Afghanistan [Mohammad Khalid FAROOQI, Abdul Hadi ARGHANDIWAL]; Islamic Society of Afghanistan [Ustad RABBANI]; Islamic Unity of the Nation of Afghanistan Party [Qurban Ali URFANI]; Islamic Unity Party of Afghanistan [Mohammad Karim KHALILI]; Islamic Unity Party of the People of Afghanistan [Haji Mohammad MOHAQQEQ]; Law and Justice Party [Hanif ATMAR]; National Islamic Movement of Afghanistan [Pir Sayed Ahmad GAILANEE]; National Islamic Movement of Afghanistan [Sayed NOORULLAH]; National Solidarity Movement of Afghanistan [Pir Sayed Eshaq GAILANEE]; National Linkage Party of Afghanistan [Sayed Mansoor NADERY]; United Islamic Party of Afghanistan [Ustad Mohammad AKBARI]; note - includes only political parties approved by the Ministry of Justice |
| **Albania** | Democratic Party or PD [Sali BERISHA]; New Democracy Party or PDR [Genc POLLO]; Party for Justice and Integration or PDI [Shpetim IDRIZ]; Republican Party or PR [Fatmir MEDIU]; Social Democracy Party or PDS [Paskel MILO]; Social Democratic Party or PSD [Skender GJINUSHI]; Socialist Movement for Integration or LSI [Ilir META]; Socialist Party or PS [Edi RAMA]; Unity for Human Rights Party or PBDNJ [Vangjel DULE] |
| **Algeria** | Ahd 54 [Ali Fauzi REBAINE]; Algerian National Front or FNA [Moussa TOUATI]; Movement of the Society of Peace or MSP [Boudjerra SOLTANI]; National Democratic Rally (Rassemblement National Democratique) or RND [Ahmed OUYAHIA]; National Liberation Front or FLN [Abdelaziz BELKHADEM, secretary general]; National Reform Movement or Islah [Ahmed ABDESLAM] (formerly MRN); Rally for Culture and Democracy or RCD [Said SADI]; Renaissance Movement or EnNahda Movement [Fatah RABEI]; Socialist Forces Front or FFS [Hocine AIT AHMED]; Workers Party or PT [Louisa HANOUNE] |
| | *note:* a law banning political parties based on religion was enacted in March 1997 |
| **American Samoa** | Democratic Party [Oreta M. TOGAFAU]; Republican Party [Tautai A. F. FAALEVAO] |
| **Andorra** | *there are four political parties at the national level:* Andorra for Change or ApC [Eusebio NOMEN CALVET]; Democrats for Andorra or DA [Antoni MARTI PETIT], coalition including Liberal Party (PRA) and Reformist Coalition; Greens of Andorra [Isabel LOZANO MUNOZ]; Social Democratic Party or PS [Jaume BARTUMEU CASSANY]; note - there are also several smaller parties at the Parish level (one is Lauredian Union) |
| **Angola** | National Front for the Liberation of Angola or FNLA [Ngola KABANGU]; National Union for the Total Independence of Angola or UNITA [Isaias SAMAKUVA] (largest opposition party); New Democracy Electoral Union or ND [Quintino de MOREIRA]; Popular Movement for the Liberation of Angola or MPLA [Jose Eduardo DOS SANTOS] (ruling party in power since 1975); Social Renewal Party or PRS [Eduardo KUANGANA] |
| | *note:* nine other parties participated in the legislative election in September 2008 but won no seats |
| **Anguilla** | Anguilla Progressive Party or APP [Brent DAVIS]; Anguilla Strategic Alternative or ANSA [Edison BAIRD]; Anguilla United Front or AUF [Osbourne FLEMING, Victor BANKS] (a coalition of the Anguilla Democratic Party or ADP and the Anguilla National Alliance or ANA); Anguilla United Movement or AUM [Hubert HUGHES] |
| **Antigua and Barbuda** | Antigua Labor Party or ALP [Lester Bryant BIRD]; Barbuda People's Movement or BPM [Thomas H. FRANK]; Barbuda People's Movement for Change [Arthur NIBBS]; Barbudans for a Better Barbuda [Ordrick SAMUEL]; United Progressive Party or UPP [Baldwin SPENCER] (a coalition of three parties - Antigua Caribbean Liberation Movement or ACLM, Progressive Labor Movement or PLM, United National Democratic Party or UNDP) |
| **Argentina** | Civic and Social Accord or ACyS (a now-defunct center-left alliance that included the CC, UCR, and Socialist parties-created ahead of the 2009 legislative elections); Civic Coalition or CC (a broad coalition loosely affiliated with Elisa CARRIO); Dissident Peronists or PJ Disidente (a sector of the Justicialist Party opposed to the Kirchners); Front for Victory or FpV (a broad coalition, including elements of the UCR and numerous provincial parties) [Cristina FERNANDEZ DE KIRCHNER]; Justicialist Party or PJ [Daniel SCIOLI]; Radical Civic Union or UCR [Ernesto SANZ]; Republican Proposal or PRO [Mauricio MACRI] (including Federal Recreate Movement or RECREAR [Esteban BULLRICH]; Socialist Party or PS [Ruben GIUSTINIANI]; Union For All [Patricia BULLRICH] (associated with the Civic Coalition); numerous provincial parties |
