CIA - The World Factbook -- Field Listing - Political parties and leaders

| Country | Political parties and leaders |
| --- | --- |
| **Afghanistan** | *note - includes only political parties approved by the Ministry of Justice:* Afghan Millat [Anwarul Haq AHADI]; De Afghanistan De Solay Ghorzang Gond [Shahnawaz TANAI]; De Afghanistan De Solay Mili Islami Gond [Shah Mahmood Polal ZAI]; Harakat-e-Islami Afghanistan [Mohammad Asif MOHSINEE]; Hezb-e-Aarman-e-Mardum-e-Afghanistan [Iihaj Saraj-u-din ZAFAREE]; Hezb-e-Aazadee Afghanistan [Abdul MALIK]; Hezb-e-Adalat-e-Islami Afghanistan [Mohammad Kabeer MARZBAN]; Hezb-e-Afghanistan-e-Wahid [Mohammad Wasil RAHEEMEE]; Hezb-e-Afghan Watan Islami Gond [leader NA]; Hezb-e-Congra-e-Mili Afghanistan [Latif PEDRAM]; Hezb-e-Falah-e-Mardum-e-Afghanistan [Mohammad ZAREEF]; Hezb-e-Libral-e-Aazadee Khwa-e-Mardum-e-Afghanistan [Ajmal SOHAIL]; Hezb-e-Hambastagee Mili Jawanan-e-Afghanistan [Mohammad Jamil KARZAI]; Hezb-e-Hamnbatagee-e-Afghanistan [Abdul Khaleq NEMAT]; Hezb-e-Harakat-e-Mili Wahdat-e-Afghanistan [Mohammad Nadir AATASH]; Hezb-e-Harak-e-Islami Mardum-e-Afghanistan [Ilhaj Said Hssain ANWARY]; Hezb-e-Ifazat Az Uqoq-e-Bashar Wa Inkishaf-e-Afghanistan [Baryalai NASRATEE]; Hezb-e-Istiqlal-e-Afghanistan [Dr. Gh. Farooq NIJZRABEE]; Hezb-e-Jamhoree Khwahan [Sibghatullah SANJAR]; Hezb-e-Kar Wa Tawsiha-e-Afghanistan [Zulfiar OMID]; Hezb-e-Mili Afghanistan [Abdul Rasheed AARYAN]; Hezb-e-Mili Wahdat-e-Aqwam-e-Islami Afghanistan [Mohammad Shah KHOGYANEE]; Hezb-e-Nuhzhat-e-Mili Afghanistan [Ahmad Wali MASOUD]; Hezb-e-Paiwand-e-Mili Afghanistan [Said Mansoor NADIRI]; Hezb-e-Rastakhaiz-e-Islami Mardum-e-Afghanistan [Said ZAHIR]; Hezb-e-Refah-e-Mardum-e-Afghanistan [Mia Gul WASEEQ]; Hezb-e-Risalat-e-Mardum-e-Afghanistan [Noor Aqa ROEEN]; Hezb-e-Sahadat-e-Mardum-e-Afghanistan [Mohammad Zubair PAIROZ]; Hezb-e-Sahadat-e-Mili Wa Islami Afghanistan [Mohammad Usman SALIGZADA]; Hezb-e-Sulh-e-Mili Islami Aqwam-e-Afghanistan [Abdul Qahir SHARYATEE]; Hezb-e-Sulh Wa Wahdat-e-Mili Afghanistan [Abdul Qadir IMAMEE]; Hezb-e-Tafahum-e-Wa Democracy Afghanistan [Ahamad SHAHEEN]; Hezb-e-Wahdat-e-Islami Afghanistan [Mohammad Karim KHALILI]; Hezb-e-Wahdat-e-Islami Mardum-e-Afghanistan [Ustad Mohammad MOHAQQEQ]; Hezb-e-Wahdat-e-Mili Afghanistan [Abdul Rasheed Jalili]; Jamahat-ul-Dahwat ilal Qurhan-wa-Sunat-ul-Afghanistan [Mawlawee Samiullah NAJEEBEE]; Jombesh-e Milli [Abdul Rashid DOSTAM]; Mahaz-e-Mili Islami Afghanistan [Said Ahmad GAILANEE]; Majmah-e-Mili Fahaleen-e-Sulh-e-Afghanistan [Shams ul Haq Noor SHAMS]; Nuhzat-e-Aazadee Wa democracy Afghanistan [Abdul Raqeeb Jawid KUHISTANEE]; Nuhzat-e-Hambastagee Mili Afghanistan [Peer Said Ishaq GAILANEE]; Sazman-e-Islami Afghanistan-e-Jawan [Siad Jawad HUSSAINEE]; Tahreek Wahdat-e-Mili [Sultan Mahmood DHAZI] (30 Sep 2004) |
| **Albania** | Agrarian Environmentalist Party or PAA [Lufter XHUVELI]; Christian Democratic Party or PDK [Nikolle LESI]; Communist Party of Albania or PKSH [Hysni MILLOSHI]; Democratic Alliance Party or PAD [Neritan CEKA]; Democratic Party or PD [Sali BERISHA]; Legality Movement Party or PLL [Ekrem SPAHIU]; Liberal Union Party or PBL [Arjan STAROVA]; National Front Party (Balli Kombetar) or PBK [Adriatik ALIMADHI]; New Democratic Party or PDR [Genc POLLO]; Party of National Unity or PUK [Idajet BEQIRI]; Renewed Democratic Party or PDR [Dashamir SHEHI]; Republican Party or PR [Fatmir MEDIU]; Social Democracy Party or PDS [Paskal MILO]; Social Democratic Party or PSD [Skender GJINUSHI]; Socialist Movement for Integration or LSI [Ilir META]; Socialist Party or PS (formerly the Albanian Party of Labor) [Fatos NANO]; Union for Human Rights Party or PBDNJ [Vangjel DULE] |
| **Algeria** | Algerian National Front or FNA [Moussa TOUATI]; Democratic National Rally or RND [Ahmed OUYAHIA, chairman]; Islamic Salvation Front or FIS (outlawed April 1992) [Ali BELHADJ and Dr. Abassi MADANI, Rabeh KEBIR (self-exiled in Germany)]; National Entente Movement or MEN [Ali BOUKHAZNA]; National Liberation Front or FLN [Abdelaziz BELKHADEM, secretary general (also serves as Foreign Minister)]; National Reform Movement or Islah (formerly MRN) [Abdellah DJABALLAH]; National Renewal Party or PRA [Yacine TERKMANE]; Progressive Republican Party [Khadir DRISS]; Rally for Culture and Democracy or RCD [Said SAADI, secretary general]; Renaissance Movement or EnNahda Movement [Fatah RABEI]; Socialist Forces Front or FFS [Hocine Ait AHMED, secretary general (self-exiled in Switzerland)]; Social Liberal Party or PSL [Ahmed KHELIL]; Society of Peace Movement or MSP [Boujerra SOLTANI]; Workers Party or PT [Louisa HANOUN] |
| | *note:* a law banning political parties based on religion was enacted in March 1997 |
| **American Samoa** | Democratic Party [Oreta M. TOGAFAU]; Republican Party [Tautai A. F. FAALEVAO] |
| **Andorra** | Andorran Democratic Center Party or CDA (formerly Democratic Party or PD) [leader NA]; Liberal Party of Andorra or PLA (formerly Liberal Union or UL) [Albert PINTAT]; Social Democratic Party or PS (formerly part of National Democratic Group or AND) [Mariona GONZALEZ REOLIT] |
| **Angola** | Liberal Democratic Party or PLD [Analia de Victoria PEREIRA]; National Front for the Liberation of Angola or FNLA [disputed leadership: Lucas NGONDA, Holden ROBERTO]; National Union for the Total Independence of Angola or UNITA [Isaias SAMAKUVA], largest opposition party has engaged in years of armed resistance; Popular Movement for the Liberation of Angola or MPLA [Jose Eduardo DOS SANTOS], ruling party in power since 1975; Social Renewal Party or PRS [disputed leadership: Eduardo KUANGANA, Antonio MUACHICUNGO] |
| | *note:* about a dozen minor parties participated in the 1992 elections but only won a few seats and have little influence in the National Assembly |
| **Anguilla** | Anguilla United Movement or AUM [Hubert HUGHES]; The Anguilla United Front or AUF [Osbourne FLEMING, Victor BANKS], a coalition of the Anguilla Democratic Party or ADP and the Anguilla National Alliance or ANA; Anguilla Progressive Party or APP [Roy ROGERS]; Anguilla Strategic Alternative or ANSA [Edison BAIRD] |
