CIA - The World Factbook -- Field Listing - Political parties and leaders

| Country | Political parties and leaders |
| --- | --- |
| **Afghanistan** | Afghanistan Peoples' Treaty Party (Hizb-e-Wolesi Tarhun Afghanistan) [Sayyed Amir TAHSEEN]; Afghanistan's Islamic Mission Organization (Tanzim Daawat-e-Islami-e-Afghanistan) [Abdul Rasoul SAYYAF]; Afghanistan's Islamic Nation Party (Hezb-e-Umat-e-Islam-e-Afghanistan) [Toran Noor Aqa Ahmad ZAI]; Afghanistan's National Islamic Party (Hezb-e-Mili Islami-e-Afghanistan) [Rohullah LOUDIN]; Afghanistan's Welfare Party (Hezb-e-Refah-e-Afghanistan) [Meer Asef ZAEEFI]; Afghan Social Democratic Party (Hezb-e-Afghan Melat) [Anwarul Haq AHADI]; Afghan Society for the Call to the Koran and Sunna (Hezb-e-Jamahat-ul-Dawat ilal Quran-wa-Sunat-e-Afghanistan) [Mawlawee Samiullah NAJEEBEE]; Comprehensive Movement of Democracy and Development of Afghanistan Party (Hizb-e-Nahzat Faragir Democracy wa Taraqi-e-Afghanistan) [Sher Mohammad BAZGAR]; Democratic Party of Afghanistan (Hezb-e-Democracy Afghanistan) [Tawos ARAB]; Democratic Party of Afghanistan (Hezb-e-Domcrat-e-Afghanistan) [Abdul Kabir RANJBAR]; Elites People of Afghanistan Party (Hezb-e-Nakhbagan-e-Mardom-e-Afghanistan) [Abdul Hamid JAWAD]; Freedom and Democracy Movement of Afghanistan (Hezb-e-Nahzat-e-Aazadee Wa Democracy-e-Afghanistan) [Abdul Raqib Jawid KOHISTANEE]; Freedom Party of Afghanistan (Hezb-e-Azadee-e-Afghanistan) [Ilaj Abdul MALEK]; Freedom Party of Afghanistan (Hezb-e-Isteqlal-e-Afghanistan) [Dr. Ghulam Farooq NEJRABEE]; Hizullah-e-Afghanistan [Qari Ahmad ALI]; Human Rights Protection and Development Party of Afghanistan (Hezb-e-Ifazat Az Uqooq-e-Bashar Wa Inkishaf-e-Afghanistan) [Baryalai NASRATI]; Islamic Justice Party of Afghanistan (Hezb-e-Adalat-e-Islami Afghanistan) [Mohammad Kabir MARZBAN]; Islamic Movement of Afghanistan (Hezb-e Harakat-e-Islami-e-Afghanistan) [Mohammad Ali JAWID]; Islamic Movement of Afghanistan Party (Hizb-e-Nahzat-e-Melli Islami Afghanistan) [Mohammad Mukhtar MUFLEH]; Islamic Party of Afghanistan (Hizb-e-Islami Afghanistan) [Mohammad Khalid FAROOQI]; Islamic Party of the Afghan Land (De Afghan Watan Islami Gond) [Mohammad Hassan FEROZKHEL]; Islamic People's Movement of Afghanistan (Hezb-e-Harakat-e-Islami Mardom-e-Afghanistan) [Ilhaj Said Hussain ANWARY]; Islamic Society of Afghanistan (Hezb-e Jamihat-e-Islami) [Ustad RABBANI]; Islamic Unity of the Nation of Afghanistan Party (Hezb-e-Wahdat-e-Islami-e-Melat-e-Afghanistan) [Qurban Ali URFANI]; Islamic Unity Party of Afghanistan (Hezb-e-Wahdat-e-Islami-e-Afghanistan) [Mohammad Karim KHALILI]; Islamic Unity Party of the People of Afghanistan (Hezb-e-Wahdat-e-Islami Mardom-e-Afghanistan) [Ustad Mohammad MOHAQQEQ]; Labor and Progress of Afghanistan Party (Hezb-e-Kar Wa Tawsiha-e-Afghanistan) [Zulfiqar OMID]; Muslim People of Afghanistan Party (Hezb-e-Mardom-e-Mosalman-e-Afghanistan) [Besmellah JOYAN]; Muslim Unity Movement Party of Afghanistan (Hezb-e-Tahreek Wahdat-ul-Musimeen Afghanistan) [Wazir Mohammad WAHDAT]; National and Islamic Sovereignty Movement Party of Afghanistan (Hizb-e-Eqtedar-e-Melli wa Islami Afghanistan) [Ahmad Shah Ahmadzai]; National Congress Party of Afghanistan (Hezb-e-Kangra-e-Mili-e-Afghanistan) [Abdul Latif PEDRAM]; National Country Party (Hezb-e-Mili Heward) [GHULAM MOHAMMAD]; National Development Party of Afghanistan (Hezb-e-Taraqee Mili Afghanistan) [Dr. Aref BAKTASH]; National Freedom Seekers Party (Hezb-e-Aazaadi Khwahan Maihan) [Abdul Hadi DABEER]; National Independence Party of Afghanistan (Hezb-e Esteqlal-e-Mili Afghanistan) [Taj Mohammad WARDAK]; National Islamic Fighters Party of Afghanistan (De Afghanistan De Mili Mubarizeeno Islami Gond) [Amanat NINGARHAREE]; National Islamic Front of Afghanistan (Mahaz-e-Mili Islami Afghanistan) [Pir Sayed Ahmad GAILANEE]; National Islamic Moderation Party of Afghanistan (Hezb-e-Eatedal-e-Mili Islami-e-Afghanistan) [Qara Bik Eized YAAR]; National Islamic Movement of Afghanistan (Hezb-e-Junbish Mili Islami-e-Afghanistan) [Sayed NOORULLAH]; National Islamic Unity Party of Afghanistan (Hezb-e-Wahdat-e-Mili Islami-e-Afghanistan) [Mohammad AKBAREE]; National Movement of Afghanistan (Nahzat-e-Mili Afghanistan) [Ahmad Wali MASOOUD]; National Party of Afghanistan (Hezb-e-Mili Afghanistan) [Abdul Rashid ARYAN]; National Patch of Afghanistan Party (Hezb-e Paiwand Mihahani Afghanistan) [Sayed Kamal SADAT]; National Peace Islamic Party of Afghanistan (De Afghanistan De Solay Mili Islami Gond) [Shah Mohammood Popal ZAI]; National Peace & Islamic Party of the Tribes of Afghanistan (Hezb-e-Sulh-e-Mili Islami Aqwam-e-Afghanistan) [Abdul Qaher SHARIATEE]; National Peace & Unity Party of Afghanistan (Hezb-e-Sulh Wa Wahdat-e-Mili-e-Afghanistan) [Abdul Qader IMAMI]; National Prosperity and Islamic Party of Afghanistan (Hezb-e-Sahadat-e-Mili Islami-e-Afghanistan) [Mohammad Osman SALEKZADA]; National Prosperity Party (Hezb-e-Refah-e-Mili Afghanistan) [Mohammad Hassan JAHFAREE]; National Solidarity Movement of Afghanistan (Hezb-e-Nahzat-e-Hambastagee Mili-e-Afghanistan) [Pir Sayed Eshaq GAILANEE]; National Solidarity Party of Afghanistan (Hezb-e-Paiwand Mili Afghanistan) [Sayed Mansoor NADREEI]; National Sovereignty Party (Hezb-e-Eqtedar-e-Mili) [Sayed Mustafa KAZEMI]; National Stability Party (Hezb-e-Subat-e-Mili Islami-e-Afghanistan) [Mohammad Same KHAROTI]; National Stance Party (Hizb-e-Melli Dareez) [Habibullah JANEBDAR]; National Tribal Unity Islamic Party of Afghanistan (Hezb-e-Mili Wahdat-e-Aqwam-e-Islami-e-Afghanistan) [Mohammad Shah KHOGYANI]; National Unity Movement (Hezb-e-Tahreek Wahdat-e-Mili-e-Afghanistan) [Sultan Mohammad GHAZI]; National Unity Movement of Afghanistan (Hezb-e-Harakat-e-Mili Wahdat-e-Afghanistan) [Mohammad Nadir AATASH]; National Unity Party of Afghanistan (Hezb-e-Wahdat-e-Mili Afghanistan) [Abdul Rashid JALILI]; New Afghanistan Party (Hezb-e-Afghanistan-e-Naween) [Mohammad Yunis QANUNI]; Peace and National Welfare Activists Society (Hezb-e-Majmeh Mili Faleen-Sulh-e-Afghanistan) [Shamsul Haq Noor SHAMS]; Peace Movement (De Afghanistan De Solay Ghorzang Gond) [Shahnawaz TANAI]; People's Aspirations Party of Afghanistan (Hezb-e-Aarman-e-Mardom-e-Afghanistan) [Ilhaj Saraj-u-din ZAFAREE]; People's Freedom Seekers Party of Afghanistan (Hezb-e-Aazadee Khwahan Mardom-e-Afghanistan) [Feda Mohammad EHSAS]; People's Liberal Freedom Seekers Party of Afghanistan (Hezb-e-Lebral-e-Aazadee Khwa-e-Afghanistan) [Ajmal SUHAIL]; People's Message Party of Afghanistan (Hezb-e-Resalat-e-Mardom-e-Afghanistan) [Noor Aqa WAINEE]; People's Movement of the National Unity of Afghanistan (De Afghanistan De Mili Wahdat Wolesi Tahreek) [Abdul Hakim NOORZAI]; People's Party of Afghanistan (Hezb-e-Mardom-e-Afghanistan) [Ahmad Shah ASAR]; People's Prosperity Party of Afghanistan (Hezb-e-Falah-e-Mardom-e-Afghanistan) [Ustad Mohammad ZAREEF]; People's Sovereignty Movement of Afghanistan (Nahzat-e-Hakemyat-e-Mardom-e-Afghanistan) [Hayatullah SUBHANEE]; People's Uprising Party of Afghanistan (Hezb-e-Rastakhaiz-e-Mardom-e-Afghanistan) [Sayed Zahir Qayed Omul BELADI]; People's Welfare Party of Afghanistan (Hezb-e-Refah-e-Mardom-e-Afghanistan) [Mia Gul WASIQ]; People's Welfare Party of Afghanistan (Hezb-e-Sahadat-e-Mardom-e-Afghanistan) [Mohammad Zubair PAIROZ]; Progressive Democratic Party of Afghanistan (Hezb-e-Taraqee Democrat Afghanistan) [Wali ARYA]; Republican Party (Hezb-e-Jamhoree Khwahane-Afghanistan) [Sebghatullah SANJAR]; Solidarity Party of Afghanistan (Hezb-e-Hambastagee-e-Afghanistan) [Abdul Khaleq NEMAT]; The Afghanistan's Mujahid Nation's Islamic Unity Movement (Da Afghanistan Mujahid Woles Yaowaali Islami Tahreek) [Saeedullah SAEED]; The People of Afghanistan's Democratic Movement (Hezb-e-Junbish Democracy Mardom-e-Afghanistan) [Sharif NAZARI]; Tribes Solidarity Party of Afghanistan (Hezb-e Hambastagee Mili Aqwam-e-Afghanistan) [Mohammad Zarif NASERI]; Understanding and Democracy Party of Afghanistan (Hezb-e-Tafahum Wa Democracy-e-Afghanistan) [Ahamad SHAHEEN]; United Afghanistan Party (Hezb-e-Afghanistan-e-Wahid) [Mohammad Wasil RAHIMEE]; United Islamic Party of Afghanistan (Hizb-e-Mutahed Islami Afghanistan) [Wahidullah SABAWOON]; Young Afghanistan's Islamic Organization (Hezb-e-Islami-e-Afghanistan-e-Jawan) [Sayed Jawad HUSSINEE]; Youth Solidarity Party of Afghanistan (Hezb-e-Hambastagee Mili Jawanan-e-Afghanistan) [Mohammad Jamil KARZAI]; note - includes only political parties approved by the Ministry of Justice |
| **Albania** | Agrarian Environmentalist Party or PAA [Lufter XHUVELI]; Christian Democratic Party or PDK [Nard NDOKA]; Communist Party of Albania or PKSH [Hysni MILLOSHI]; Democratic Alliance Party or AD [Neritan CEKA]; Democratic Party or PD [Sali BERISHA]; Legality Movement Party or PLL [Ekrem SPAHIU]; Liberal Union Party or BLD [Arjan STAROVA]; National Front Party (Balli Kombetar) or PBK [Adriatik ALIMADHI]; New Democratic Party or PDR [Genc POLLO]; Party of National Unity or PUK [Idajet BEQIRI]; Renewed Democratic Party or PDRN [Dashamir SHEHI]; Republican Party or PR [Fatmir MEDIU]; Social Democracy Party of Albania or PDSSh [Paskal MILO]; Social Democratic Party or PSD [Skender GJINUSHI]; Socialist Movement for Integration or LSI [Ilir META]; Socialist Party or PS [Edi RAMA]; Union for Human Rights Party or PBDNj [Vangjel DULE] |
| **Algeria** | Ahd 54 [Ali Fauzi REBAINE]; Algerian National Front or FNA [Moussa TOUATI]; National Democratic Rally (Rassemblement National Democratique) or RND [Ahmed OUYAHIA]; Islamic Salvation Front or FIS (outlawed April 1992) [Ali BELHADJ, Dr. Abassi MADANI, Rabeh KEBIR]; National Entente Movement or MEN [Ali BOUKHAZNA]; National Liberation Front or FLN [Abdelaziz BELKHADEM, secretary general]; National Reform Movement or Islah (formerly MRN) [Abdellah DJABALLAH]; National Renewal Party or PRA [Mohamed BENSMAIL]; Rally for Culture and Democracy or RCD [Said SADI]; Renaissance Movement or EnNahda Movement [Fatah RABEI]; Socialist Forces Front or FFS [Hocine Ait AHMED]; Social Liberal Party or PSL [Ahmed KHELIL]; Society of Peace Movement or MSP [Boudjerra SOLTANI]; Workers Party or PT [Louisa HANOUNE] |
| | *note:* a law banning political parties based on religion was enacted in March 1997 |
| **American Samoa** | Democratic Party [Oreta M. TOGAFAU]; Republican Party [Tautai A. F. FAALEVAO] |
| **Andorra** | Andorran Democratic Center Party or CDA (formerly Democratic Party or PD); Century 21 or S21 [Enric TARRADO]; Liberal Party of Andorra or PLA [Albert PINTAT SANTOLARIA] (formerly Liberal Union or UL); Social Democratic Party or PS [Jaume BARTUMEU CASSANY] (formerly part of National Democratic Group or AND) |
| **Angola** | Liberal Democratic Party or PLD [Analia de Victoria PEREIRA]; National Front for the Liberation of Angola or FNLA [Holden ROBERTO]; National Union for the Total Independence of Angola or UNITA (largest opposition party) [Isaias SAMAKUVA]; Popular Movement for the Liberation of Angola or MPLA (ruling party in power since 1975) [Jose Eduardo DOS SANTOS]; Social Renewal Party or PRS [Antonio MUACHICUNGO] |
| | *note:* about a dozen minor parties participated in the 1992 elections but only won a few seats; they and the other 115 smaller parties have little influence in the National Assembly |
| **Anguilla** | Anguilla United Movement or AUM [Hubert HUGHES]; The Anguilla United Front or AUF [Osbourne FLEMING, Victor BANKS] (a coalition of the Anguilla Democratic Party or ADP and the Anguilla National Alliance or ANA); Anguilla Progressive Party or APP [Roy ROGERS]; Anguilla Strategic Alternative or ANSA [Edison BAIRD] |
