CIA -- The World Factbook -- Political parties and leaders

| Country | Political parties and leaders |
| --- | --- |
| **Afghanistan** | Taliban (Religious Students Movement) [Mullah Mohammad OMAR]; United National Islamic Front for the Salvation of Afghanistan or UNIFSA [Burhanuddin RABBANI, chairman; Gen. Abdul Rashid DOSTAM, vice chairman; Ahmad Shah MASOOD, military commander; Mohammed Yunis QANUNI, spokesman]; note - made up of 13 parties opposed to the Taliban including Harakat-i-Islami Afghanistan (Islamic Movement of Afghanistan), Hizb-i-Islami (Islamic Party), Hizb-i-Wahdat-i-Islami (Islamic Unity Party), Jumaat-i-Islami Afghanistan (Islamic Afghan Society), Jumbish-i-Milli (National Front), Mahaz-i-Milli-i-Islami (National Islamic Front) |
| **Albania** | Albanian National Front (Balli Kombetar) or PBK [Abaz ERMENJI]; Albanian Republican Party or PR [Fatmir MEDIU]; Albanian Socialist Party or PS (formerly the Albania Workers Party) [Fatos NANO, chairman]; Christian Democratic Party or PDK [Zef BUSHATI]; Democratic Alliance or PAD [Neritan CEKA]; Democratic Party or PD [Sali BERISHA]; Group of Reformist Democrats [Leonard NDOKA]; Liberal Union Party [Teodor LACO]; note - Teodor LACO of the Liberal Union Party was leader of the Social Democratic Union of Albania or PBSD; Movement of Legality Party or PLL [Nderim KUPI]; OMONIA [Vagjelis DULES]; Party of National Unity or PUK [Idajet BEQUIRI]; Social Democratic Party or PSD [Skender GJINUSHI]; Unity for Human Rights Party or PBDNJ [Vasil MELO, chairman] |
| **Algeria** | Democratic National Rally or RND [Ahmed OUYAHIA, chairman]; Islamic Salvation Front or FIS (outlawed April 1992) [Ali BELHADJ and Dr. Abassi MADANI (imprisoned), Rabeh KEBIR (self-exile in Germany)]; Movement of a Peaceful Society or MSP [Mahfoud NAHNAH, chairman]; National Liberation Front or FLN [Boualem BENHAMOUDA, secretary general]; Progressive Republican Party [Khadir DRISS]; Rally for Culture and Democracy or RCD [Said SAADI, secretary general]; Renaissance Movement or EnNahda Movement [Lahbib ADAMI]; Social Liberal Party or PSL [Ahmed KHELIL]; Socialist Forces Front or FFS [Hocine Ait AHMED, secretary general (self-exile in Switzerland)]; Union for Democracy and Liberty [Mouley BOUKHALAFA]; Workers Party or PT [Louisa HANOUN] |
| | *note:*  a party law banning political parties based on religion was enacted in March 1997 |
| **American Samoa** | Democratic Party [leader NA]; Republican Party [leader NA] |
| **Andorra** | Liberal Union or UL [Marc Forne MOLNE] (renamed Liberal Party of Andorra or PLA); National Democratic Group or AND [Ladislau BARO SOLA]; National Democratic Initiative or IDN [Vincenc MATEU Zamora]; New Democracy or ND [Jaume BARTOMEU Cassany]; Union of the People of Ordino (Unio Parroquial d'Ordino) or UPO [Simo DURO Coma] |
| | *note:*  there are two other small parties |
| **Angola** | Liberal Democratic Party or PLD [Analia de Victoria PEREIRA]; National Front for the Liberation of Angola or FNLA [disputed leadership: Lucas NGONDA, Holden ROBERTO]; National Union for the Total Independence of Angola or UNITA [Jonas SAVIMBI], largest opposition party has engaged in years of armed resistance; Popular Movement for the Liberation of Angola or MPLA [Jose Eduardo DOS SANTOS] ruling party in power since 1975; Social Renewal Party or PRS [disputed leadership: Eduardo KUANGANA, Antonio MUACHICUNGO]; UNITA-Renovada [Eugenio NGOLO "Manuvakola", leader] |
| | *note:*  about a dozen minor parties participated in the 1992 elections but won few seats and have little influence in the National Assembly |
| **Anguilla** | Anguilla United Movement or AUM [Hubert HUGHES]; The United Front or UF [Osbourne FLEMMING, Victor BANKS], a coalition of the Anguilla Democratic Party or ADP and the Anguilla National Alliance or ANA |
| **Antigua and Barbuda** | Antigua Labor Party or ALP [Lester Bryant BIRD]; Barbuda People's Movement or BPM [Thomas H. FRANK]; United Progressive Party or UPP [Baldwin SPENCER] (a coalition of three opposition parties - United National Democratic Party or UNDP, Antigua Caribbean Liberation Movement or ACLM, and Progressive Labor Movement or PLM) |
| **Argentina** | Action for the Republic or AR [Domingo CAVALLO]; Front for a Country in Solidarity or Frepaso (a four-party coalition) [Carlos ALVAREZ]; Justicialist Party or PJ [Carlos Saul MENEM] (Peronist umbrella political organization); Radical Civic Union or UCR [Raul ALFONSIN]; several provincial parties |
