CIA - The World Factbook -- Field Listing - Military service age and obligation

| Country | Military service age and obligation (years of age) |
| --- | --- |
| **Afghanistan** | 22 years of age; inductees are contracted into service for a 4-year term (2005) |
| **Albania** | 19 years of age (2004) |
| **Algeria** | 19-30 years of age for compulsory military service; conscript service obligation - 18 months (6 months basic training, 12 months civil projects) (2006) |
| **Angola** | 17 years of age for compulsory military service; conscript service obligation - 2 years plus time for training (2001) |
| **Antigua and Barbuda** | 18 years of age (est.); no conscript military service (2001) |
| **Argentina** | 18 years of age for voluntary military service; no conscription (2001) |
| **Armenia** | 18-27 years of age for compulsory military service; 18 years of age for voluntary military service; 2-year conscript service obligation (2006) |
| **Australia** | 16 years of age for voluntary service; women allowed to serve in Army combat units in non-combat support roles (2001) |
| **Austria** | 18-35 years of age for compulsory military service; 16 years of age for male or female voluntary service; service obligation 7 months of training, followed by an 8-year reserve obligation (2006) |
| **Azerbaijan** | men between 18 and 35 are liable for military service; 18 years of age for voluntary military service; length of military service is 18 months and 12 months for university graduates (2006) |
| **Bahamas, The** | 18 years of age (est.); no conscription (2001) |
| **Bahrain** | 18 years of age for voluntary military service (2001) |
| **Bangladesh** | 18 years of age for voluntary military service; no conscription (2005) |
| **Barbados** | 18 years of age for voluntary military service; volunteers at earlier age with parental consent; no conscription (2001) |
| **Belarus** | 18-27 years of age for compulsory military service; conscript service obligation - 18 months (2005) |
| **Belgium** | 16 years of age for voluntary military service; women comprise approx. 7% of the Belgian armed forces (2001) |
| **Belize** | 18 years of age for voluntary military service; laws allow for conscription only if volunteers are insufficient; conscription has never been implemented; volunteers typically outnumber available positions by 3:1 (2001) |
| **Benin** | 21 years of age for compulsory and voluntary military service; in practice, volunteers may be taken at the age of 18; both sexes are eligible for military service; conscript tour of duty - 18 months (2006) |
| **Bermuda** | 18-23 years of age; eligible men required to register for conscription as needed into the Bermuda Regiment, which is largely voluntary; term of service 39 months (2007) |
| **Bhutan** | 18 years of age for voluntary military service; no conscription (2001) |
| **Bolivia** | 18 years of age for voluntary military service; when annual number of volunteers falls short of goal, compulsory recruitment is effected, including conscription of boys as young as 14; one estimate holds that 40% of the armed forces are under the age of 18, with 50% of those under the age of 16; conscript tour of duty - 12 months (2004) |
| **Bosnia and Herzegovina** | 17 years of age for voluntary military service in the Federation and in the Republika Srpska; conscription abolished January 2006; 4-month service obligation (2006) |
| **Botswana** | 18 is the apparent age of voluntary military service; the official qualifications for determining minimum age are unknown (2001) |
| **Brazil** | 21-45 years of age for compulsory military service; conscript service obligation - 9 to 12 months; 17-45 years of age for voluntary service; an increasing percentage of the ranks are "long-service" volunteer professionals; women were allowed to serve in the armed forces beginning in early 1980s when the Brazilian Army became the first army in South America to accept women into career ranks; women serve in Navy and Air Force only in Women's Reserve Corps (2001) |
| **Brunei** | 18 years of age (est.) for voluntary military service; non-Malays are ineligible to serve (2007) |
| **Bulgaria** | 18-27 years of age for compulsory and voluntary military service; conscript service obligation - 9 months; as of May 2006, 67% of the Bulgarian Army comprised of professional soldiers; conscription into the Army to end as of 1 January 2008; Air and Air Defense Forces and Naval Forces became fully professional at the end of 2006; Bulgarian Armed Forces encountered difficulties meeting conscript quotas in April 2007 (2007) |
| **Burkina Faso** | 18 years of age for compulsory military service; 20 years of age for voluntary military service (2001) |
| **Burma** | 18 years of age for voluntary military service for both sexes; forced conscription of children, although officially prohibited, reportedly continues (2007) |
| **Burundi** | 16 years of age for compulsory and voluntary military service (2001) |
| **Cambodia** | conscription law of October 2006 requires all males between 18-30 to register for military service; 18-month service obligation (2006) |
| **Cameroon** | 18 years of age for voluntary military service; no conscription; the government makes periodic calls for volunteers (2006) |
| **Canada** | 16-34 years of age for voluntary military service; women comprise approximately 11% of Canada's armed forces (2006) |
| **Cape Verde** | 18 years of age (est.) for selective compulsory military service; 14-month conscript service obligation (2006) |
| **Central African Republic** | 18 years of age for compulsory and voluntary military service; 2-year conscript service obligation (2006) |
| **Chad** | 20 years of age for conscripts, with 3-year service obligation; 18 years of age for volunteers; no minimum age restriction for volunteers with consent from a guardian; women are subject to 1 year of compulsory military or civic service at age of 21 (2004) |
| **Chile** | 18-45 years of age for voluntary military service; service obligation - 12 months for Army, 22 months for Navy and Air Force (2006) |
| **China** | 18-22 years of age for selective compulsory military service, with 24-month service obligation; no minimum age for voluntary service (all officers are volunteers); 18-19 years of age for women high school graduates who meet requirements for specific military jobs (2007) |
| **Colombia** | 18-24 years of age for compulsory and voluntary military service; service obligation - 18 months (2004) |
| **Congo, Democratic Republic of the** | 18-45 years of age for military service |
| **Congo, Republic of the** | 18 years of age for voluntary military service; women allowed to serve (2006) |
| **Costa Rica** | 18 years of age (2004) |
| **Cote d'Ivoire** | 18 years of age for compulsory and voluntary military service; conscript service obligation - 18 months (2004) |
| **Croatia** | 18-27 years of age for compulsory military service; 16 years of age with consent for voluntary service; 6-month conscript service obligation; full conversion to professional military service by 2010 (2006) |
| **Cuba** | 17-28 years of age for compulsory military service; 2-year service obligation; both sexes subject to military service (2006) |
| **Cyprus** | *Greek Cypriot National Guard (GCNG):* 18-50 years of age for compulsory military service for all Greek Cypriot males; 17 years of age for voluntary service; females are not conscripted; age of military eligibility 17 to 50; length of normal service is 25 months with a minimum of 3 months (2006) |
| **Czech Republic** | 18-50 years of age for voluntary military service (2005) |
| **Denmark** | 18 years of age for compulsory and voluntary military service; conscripts serve an initial training period that varies from 4 to 12 months according to specialization; reservists are assigned to mobilization units following completion of their conscript service; women eligible to volunteer for military service (2004) |
| **Djibouti** | 18 years of age (est.); no conscription (2001) |
| **Dominican Republic** | 18 years of age for voluntary military service (2007) |
