CIA - The World Factbook -- Field Listing :: Military service age and obligation   

This entry gives the required ages for voluntary or conscript military service and the length of service obligation.

| Country | Military service age and obligation(years of age) |
| --- | --- |
| **Afghanistan** | 22 years of age; inductees are contracted into service for a 4-year term (2005) |
| **Albania** | 19 years of age (2004) |
| **Algeria** | 19-30 years of age for compulsory military service; conscript service obligation - 18 months (6 months basic training, 12 months civil projects) (2006) |
| **Angola** | 20-45 years of age for compulsory and 18-45 years for voluntary male military service; conscript service obligation - 2 years; 20-45 years of age for voluntary female service; Angolan citizenship required; the Marinha de Guerra Angola (Navy, MgA) is entirely staffed with volunteers (2011) |
| **Antigua and Barbuda** | 18 years of age for voluntary military service; no conscription (2010) |
| **Argentina** | 18-24 years of age for voluntary military service (18-21 requires parental consent); no conscription (2001) |
| **Armenia** | 18-27 years of age for voluntary or compulsory military service; 2-year conscript service obligation (2010) |
| **Australia** | 17 years of age for voluntary military service (with parental consent); no conscription; women allowed to serve in Army combat units in non-combat support roles (2010) |
| **Austria** | registration requirement at age 17; males under the age of 35 must complete basic military training (6 month duration); males 17 to 50 years old in the militia or inactive reserve are subject to compulsory military service (2011) |
| **Azerbaijan** | men between 18 and 35 are liable for military service; 18 years of age for voluntary military service; length of military service is 18 months and 12 months for university graduates (2006) |
| **Bahamas, The** | 18 years of age; no conscription (2010) |
| **Bahrain** | 17 years of age for voluntary military service; 15 years of age for NCOs, technicians, and cadets; no conscription (2010) |
| **Bangladesh** | 16 years of age for voluntary enlisted military service (Air Force); 17 years of age (Army and Navy); conscription is by law possible in times of emergency, but has never been implemented (2010) |
| **Barbados** | 18 years of age for voluntary military service (younger volunteers require parental consent); no conscription (2009) |
| **Belarus** | 18-27 years of age for compulsory military service; conscript service obligation - 12-18 months, depending on academic qualifications (2010) |
| **Belgium** | 18 years of age for voluntary military service; conscription suspended (2010) |
| **Belize** | 18 years of age for voluntary military service; law allows for conscription only if volunteers are insufficient; conscription has never been implemented; volunteers typically outnumber available positions by 3:1 (2008) |
| **Benin** | 18-35 years of age for selective compulsory and voluntary military service; a higher education diploma is required; both sexes are eligible for military service; conscript tour of duty - 18 months (2011) |
| **Bermuda** | 18-30 years of age for voluntary or compulsory enlistment in the Bermuda Regiment; males must register at age 18; term of service is 38 months (2009) |
| **Bhutan** | 18 years of age for voluntary military service; no conscription (2010) |
| **Bolivia** | 18-49 years of age for 12-month compulsory male and female military service; when annual number of volunteers falls short of goal, compulsory recruitment is effected, including conscription of boys as young as 14; 15-19 years of age for voluntary premilitary service, provides exemption from further military service (2011) |
| **Bosnia and Herzegovina** | 18 years of age for voluntary military service; conscription abolished in January 2006; 4-month service obligation; mandatory retirement at age 35 or after 15 years of service (2010) |
| **Botswana** | 18 is the apparent age of voluntary military service; official minimum age is unknown (2001) |
| **Brazil** | 21-45 years of age for compulsory military service; conscript service obligation - 9 to 12 months; 17-45 years of age for voluntary service; an increasing percentage of the ranks are "long-service" volunteer professionals; women were allowed to serve in the armed forces beginning in early 1980s when the Brazilian Army became the first army in South America to accept women into career ranks; women serve in Navy and Air Force only in Women's Reserve Corps (2001) |
| **Brunei** | 18 years of age (est.) for voluntary military service; non-Malays are ineligible to serve (2007) |
| **Bulgaria** | 18-27 years of age for voluntary military service; conscription ended in January 2008; service obligation 6-9 months (2010) |
| **Burkina Faso** | 18 years of age for voluntary military service; women may serve in supporting roles (2011) |
| **Burma** | 18-35 years of age (men) and 18-27 years of age (women) for compulsory military service; service obligation 2 years; male (ages 18-45) and female (ages 18-35) professionals (including doctors, engineers, mechanics) serve up to 3 years; service terms may be extended to 5 years in an officially declared emergency; forced conscription of children, although officially prohibited, reportedly continues (2011) |
| **Burundi** | military service is voluntary; the armed forces law of 31 December 2004 does not specify a minimum age for enlistment, but the government claims that no one younger than 18 is being recruited; mandatory retirement age 45 (enlisted), 50 (NCOs), and 55 (officers) (2011) |
| **Cambodia** | conscription law of October 2006 requires all males between 18-30 to register for military service; 18-month service obligation (2006) |
| **Cameroon** | 18-23 years of age for male and female voluntary military service; no conscription; high school graduation required; service obligation 4 years; the government periodically calls for volunteers (2011) |
| **Canada** | 17 years of age for voluntary male and female military service (with parental consent); 16 years of age for reserve and military college applicants; Canadian citizenship or permanent residence status required; maximum 34 years of age; service obligation 3-9 years (2008) |
| **Cape Verde** | 18 years of age (est.) for selective compulsory military service; 14-month conscript service obligation (2006) |
| **Central African Republic** | 18 years of age for selective military service; 2-year conscript service obligation (2011) |
| **Chad** | 20 years of age for conscripts, with 3-year service obligation; 18 years of age for volunteers; no minimum age restriction for volunteers with consent from a parent or guardian; women are subject to 1 year of compulsory military or civic service at age of 21 (2004) |
| **Chile** | 18-45 years of age for voluntary male and female military service, although the right to compulsory recruitment is retained; service obligation - 12 months for Army, 22 months for Navy and Air Force (2008) |
| **China** | 18-24 years of age for selective compulsory military service, with a 2 year service obligation; no minimum age for voluntary service (all officers are volunteers); 18-19 years of age for women high school graduates who meet requirements for specific military jobs; a recent military decision allows women in combat roles; the first class of women warship commanders was in training in 2011 (2011) |
| **Colombia** | 18-24 years of age for compulsory and voluntary military service; service obligation - 18 months (2004) |
| **Comoros** | 18 years of age for 2-year voluntary military service; no conscription; women first inducted into the Army in 2004 (2011) |
| **Congo, Democratic Republic of the** | 18-45 years of age for voluntary military service (2009) |
| **Congo, Republic of the** | 18 years of age for voluntary military service; women allowed to serve (2011) |
| **Cote d'Ivoire** | 18-25 years of age for compulsory and voluntary male and female military service; voluntary recruitment of former rebels into the new national army is restricted to ages 22-29 (2011) |
| **Croatia** | 18-27 years of age for voluntary military service; 16 years of age with parental consent; 6-month service obligation; conscription abolished 1 January 2008 (2010) |
