Field Listing :: Military service age and obligation :: The World Factbook

This entry gives the required ages for voluntary or conscript military service and the length of service obligation.

| Country | Military service age and obligation |
| --- | --- |
| **Afghanistan** | 18 is the legal minimum age for voluntary military service; no conscription (2017) |
| **Albania** | 19 is the legal minimum age for voluntary military service; 18 is the legal minimum age in case of general/partial compulsory mobilization (2012) |
| **Algeria** | 18 is the legal minimum age for voluntary military service; 19-30 years of age for compulsory service; conscript service obligation reduced from 18 to 12 months in 2014 (2019) |
| **Angola** | 20-45 years of age for compulsory male and 18-45 years for voluntary male military service (registration at age 18 is mandatory); 20-45 years of age for voluntary female service; 2-year conscript service obligation; Angolan citizenship required; the Navy (MGA) is entirely staffed with volunteers (2019) |
| **Antigua and Barbuda** | 18 years of age for voluntary military service; no conscription; Governor-General has powers to call up men for national service and set the age at which they could be called up (2012) |
| **Argentina** | 18-24 years of age for voluntary military service (18-21 requires parental consent); no conscription; if the number of volunteers fails to meet the quota of recruits for a particular year, Congress can authorize the conscription of citizens turning 18 that year for a period not exceeding one year (2012) |
| **Armenia** | 18-27 years of age for voluntary or compulsory military service; 2-year conscript service obligation, which can be served as an officer upon deferment for university studies if enrolled in officer-producing program; 17 year olds are eligible to become cadets at military higher education institutes, where they are classified as military personnel (2019) |
| **Australia** | 17 years of age for voluntary military service (with parental consent); no conscription; women allowed to serve in most combat roles (2018) |
| **Austria** | registration requirement at age 17, the legal minimum age for voluntary military service; 18 is the legal minimum age for compulsory military service (6 months), or optionally, alternative civil/community service (9 months); males 18 to 50 years old in the militia or inactive reserve are subject to compulsory service; in a January 2012 referendum, a majority of Austrians voted in favor of retaining the system of compulsory military service (with the option of alternative/non-military service) instead of switching to a professional army system (2015) |
| **Azerbaijan** | 18-35 years of age for compulsory military service; service obligation 18 months or 12 months for university graduates; 17 years of age for voluntary service; 17 year olds are considered to be on active service at cadet military schools (2012) |
| **Bahamas, The** | 18 years of age for voluntary male and female service; no conscription (2012) |
| **Bahrain** | 18 years of age for voluntary military service; 15 years of age for NCOs, technicians, and cadets; no conscription (2019) |
| **Bangladesh** | *16-21 years of age for voluntary military service; Bangladeshi nationality and 10th grade education required; officers:* 17-21 years of age, Bangladeshi nationality, and 12th grade education required (2018) |
| **Barbados** | 18 years of age for voluntary military service, or earlier with parental consent; no conscription (2013) |
| **Belarus** | 18-27 years of age for compulsory military or alternative service; conscript service obligation is 12-18 months, depending on academic qualifications, and 24-36 months for alternative service, depending on academic qualifications; 17 year olds are eligible to become cadets at military higher education institutes, where they are classified as military personnel (2017) |
| **Belgium** | 18 years of age for male and female voluntary military service; conscription abolished in 1994 (2012) |
| **Belize** | 18 years of age for voluntary military service; laws allow for conscription only if volunteers are insufficient; conscription has never been implemented; volunteers typically outnumber available positions by 3:1; initial service obligation 12 years (2012) |
