CIA - The World Factbook -- Field Listing - Military service age and obligation

| Country | Military service age and obligation (years of age) |
| --- | --- |
| **Afghanistan** | 22 years of age; inductees are contracted into service for a 4-year term (2005) |
| **Albania** | 19 years of age (2004) |
| **Algeria** | 19-30 years of age for compulsory military service; conscript service obligation - 18 months (October 2003) |
| **Angola** | 17 years of age for compulsory military service; conscript service obligation - 2 years plus time for training (2001) |
| **Antigua and Barbuda** | 18 years of age (est.); no conscript military service (2001) |
| **Argentina** | 18 years of age for voluntary military service; no conscription (2001) |
| **Armenia** | 18-27 years of age for compulsory military service, conscript service obligation - 12 months; 18 years of age for voluntary military service (May 2004) |
| **Australia** | 16 years of age for voluntary service (2001) |
| **Austria** | 18 years of age for compulsory military service; 16 years of age for voluntary service; from 2007, at the earliest, compulsory military service obligation will be reduced from 8 months to 6 (June 2004) |
| **Azerbaijan** | 18 years of age for compulsory and voluntary military service; law passed December 2001 raises maximum conscription age from 28 to 35 (December 2001) |
| **Bahamas, The** | 18 years of age (est.); no conscription (2001) |
| **Bahrain** | 18 years of age for voluntary military service (2001) |
| **Bangladesh** | 18 years of age for voluntary military service; no conscription (2005) |
| **Barbados** | 18 years of age for voluntary military service; volunteers at earlier age with parental consent; no conscription (2001) |
| **Belarus** | 18-27 years of age for compulsory military service; conscript service obligation - 18 months (May 2004) |
| **Belgium** | 16 years of age for voluntary military service; women comprise some 7% of the Belgian armed forces (2001) |
| **Belize** | 18 years of age for voluntary military service; laws allow for conscription only if volunteers are insufficient; conscription has never been implemented; volunteers typically outnumber available positions by 3:1 (2001) |
| **Benin** | 21 years of age for compulsory and voluntary military service; in practice, volunteers may be taken at the age of 18; both sexes are eligible for military service; conscript tour of duty - 18 months (2004) |
| **Bhutan** | 18 years of age for voluntary military service; no conscription (2001) |
| **Bolivia** | 18 years of age for voluntary military service; when annual number of volunteers falls short of goal, compulsory recruitment is effected, including conscription of boys as young as 14; one estimate holds that 40% of the armed forces are under the age of 18, with 50% of those under the age of 16; conscript tour of duty - 12 months (2002) |
| **Bosnia and Herzegovina** | 18 years of age for compulsory military service in the Federation of Bosnia and Herzegovina; 16 years of age in times of war; 18 years of age for Republika Srpska; 17 years of age for voluntary military service in the Federation and in the Republika Srpska; by law, military obligations cover all healthy men between the ages of 18 and 60, and all women between the ages of 18 and 55; service obligation is 4 months (July 2004) |
| **Botswana** | 18 is the apparent age of voluntary military service; the official qualifications for determining minimum age are unknown (2001) |
| **Brazil** | 19 years of age for compulsory military service, conscript service obligation - 12 months; 17 years of age for voluntary service (2001) |
| **Brunei** | 18 years of age (est.) (2004) |
| **Bulgaria** | 18 years of age for compulsory and voluntary military service; conscript service obligation - 9 months (2004) |
| **Burkina Faso** | 18 years of age for compulsory military service; 20 years of age for voluntary military service (2001) |
| **Burma** | 18 years of age for voluntary military service for both sexes (May 2002) |
| **Burundi** | 16 years of age for compulsory and voluntary military service (2001) |
| **Cambodia** | 18-30 years of age for compulsory military service for all males; conscription law passed September 2004; service obligation is 18 months (September 2004) |
| **Cameroon** | 18 years of age for voluntary military service; no conscription (1999) |
| **Canada** | 16 years of age for voluntary military service; women comprise some 11% of Canada's armed forces (2001) |
| **Central African Republic** | 18 years of age for voluntary and compulsory military service; conscript service obligation is two years (2005) |
| **Chad** | 20 years of age for conscripts, with 3-year service obligation; 18 years of age for volunteers; no minimum age restriction for volunteers with consent from a guardian (2004) |
| **Chile** | 18 years of age for compulsory military service; all citizens 18-45 are obligated to perform military service; conscript service obligation - 12 months for Army, 24 months for Navy and Air Force (2004) |
| **China** | 18-22 years of age for compulsory military service, with 24-month service obligation; no minimum age for voluntary service; 17 years of age for women who meet requirements for specific military jobs (2004) |
| **Colombia** | 18 years of age for compulsory and voluntary military service; conscript service obligation - 24 months (2004) |
| **Congo, Republic of the** | 18 years of age for voluntary military service (2001) |
| **Costa Rica** | 18 years of age (2004) |
| **Cote d'Ivoire** | 18 years of age for compulsory and voluntary military service; conscript service obligation - 18 months (2004) |
| **Croatia** | 18 years of age for compulsory military service, with 6-month service obligation; 16 years of age with consent for voluntary service; Croatian Military Police planning to end conscription in 2005 (December 2004) |
| **Cuba** | 17 years of age; both sexes are eligible for military service (2004) |
| **Cyprus** | 18 years of age (2004) |
| **Czech Republic** | 18-50 years of age for voluntary military service; military service transformed into a fully professional, all-volunteer force no longer dependent on conscription beginning in January 2004 (2005) |
| **Denmark** | 18 years of age for compulsory and volunteer military service; conscripts serve an initial training period that varies from 4 to 12 months according to specialization; reservists are assigned to mobilization units following completion of their conscript service (2004) |
| **Djibouti** | 18 years of age (est.); no conscription (2001) |
| **Dominican Republic** | 18 years of age for voluntary military service (2001) |
| **East Timor** | 18 years of age for voluntary military service (2001) |
| **Ecuador** | 20 years of age for conscript military service; 12-month service obligation (2004) |
| **Egypt** | 18 years of age for conscript military service; 3-year service obligation (2001) |
| **El Salvador** | 18 years of age for compulsory military service, with 12-month service obligation; 16 years of age for volunteers (2002) |
| **Equatorial Guinea** | 18 years of age (est.) (2004) |
| **Eritrea** | 18 years of age for voluntary and compulsory military service; conscript service obligation - 16 months (2004) |
| **Estonia** | 18 years of age for compulsory military service, with 11-month service obligation; Estonia has committed to retaining conscription for men and women up to 2010; 17 years of age for volunteers (2004) |
| **Ethiopia** | 18 years of age for compulsory and voluntary military service (2001) |
| **Fiji** | 18 years of age for voluntary military service (2001) |
| **Finland** | 18 years of age for voluntary and compulsory military service (October 2004) |
| **France** | 17 years of age with consent for voluntary military service (2001) |
| **Gabon** | 18 years of age for compulsory and voluntary military service (2001) |
| **Gambia, The** | 18 years of age for voluntary military service; no conscription (2001) |
