Field Listing :: Military equipment inventories and acquisitions :: The World Factbook

This entry provides basic information on each country’s military equipment inventories, as well as how they acquire their equipment; it is intended to show broad trends in major military equipment holdings, such as tanks and other armored vehicles, air defense systems, artillery, naval ships, helicopters, and fixed-wing aircraft. Arms acquisition information is an overview of major arms suppliers over a specific period of time, including second-hand arms delivered as aid, with a focus on major weapons systems. It is based on the type and number of weapon systems ordered and delivered and the financial value of the deal. For some countries, general information on domestic defense industry capabilities is provided.

| Country | Military equipment inventories and acquisitions |
| --- | --- |
| **Afghanistan** | the Afghan Army and Air Force inventory is mostly a mix of Soviet-era and more modern US equipment; since 2010, the US is the leading supplier of arms to Afghanistan, followed by Russia (2020) |
| **Albania** | the Albanian military was previously equipped with mostly Soviet-era weapons that were sold or destroyed; its inventory now includes a mix of mostly donated and second-hand European and US equipment; since 2010, it has received equipment from France, Germany, Italy, and the US (2019 est.) |
| **Algeria** | the ANP's inventory includes mostly Russian-sourced equipment with smaller amounts from other suppliers, particularly China and Europe; since 2010, Russia is the leading supplier of armaments to Algeria, followed by China, Germany, and Italy (2020) |
| **Angola** | most Angolan Armed Forces weapons and equipment are of Russian, Soviet, or Warsaw Pact origin; Russia remains Angola's top supplier of military hardware, followed by Belarus and China (2019) |
| **Antigua and Barbuda** | the ABDF's equipment inventory is limited to small arms, light weapons, and soft-skin vehicles; the Coast Guard maintains ex-US patrol vessels and some smaller boats (2019 est.) |
| **Argentina** | the inventory of Argentina's armed forces is a mix of domestically-produced and mostly older imported weapons, largely from Europe and the US; since 2010, France and the US are the leading suppliers of equipment; Argentina has an indigenous defense industry that can produce air, land, and sea systems (2019 est.) |
| **Armenia** | the inventory of the Armenian Armed Forces (as well as the Nagorno-Karabakh Defense Army) includes mostly Russian and Soviet-era equipment; since 2010, almost all of Armenia's imported weapons have come from Russia (2019 ) |
| **Australia** | the Australian military's inventory includes a mix of domestically-produced and imported Western (mostly US-origin, particularly aircraft) weapons systems; since 2015, the US is the largest supplier of arms, followed by Spain; the Australian defense industry produces a variety of land and sea weapons platforms; the defense industry also participates in joint development and production ventures with other Western countries, including the US and Canada (2019 est.) |
| **Austria** | the Austrian military's inventory includes a mix of domestically-produced and imported weapons systems from European countries and the US; since 2010, Germany and Italy are the leading suppliers of armaments to Austria; the Austrian defense industry produces a range of armored vehicles (2019 est.) |
| **Azerbaijan** | the inventory of the Azerbaijan military includes mostly Russian and Soviet-era equipment; since 2010, Russia is the leading supplier of arms to Azerbaijan, followed by Israel and Turkey (2020) |
| **Bahamas, The** | most of the RBDF's major equipment inventory is supplied by the Netherlands (2019 est.) |
| **Bahrain** | the inventory of the Bahrain Defense force is comprised mostly of equipment acquired from the US along with a smaller quantity of material from European suppliers; since 2010, Turkey and the US are the leading suppliers of arms to Bahrain (2019 est.) |
| **Bangladesh** | the Bangladesh Defense Force inventory is comprised of mostly Chinese and Russian equipment; since 2010, China and Russia are the chief suppliers of arms to Bangladesh; Bangladesh is currently undertaking a significant defense modernization program, with a focus on naval acquisitions (2019) |
| **Barbados** | the RBDF's major equipment inventory - maritime patrol boats - is supplied by the Netherlands (2019 est.) |
| **Belarus** | the inventory of the Belarus Armed Forces is comprised of Russian-origin equipment; Belarus's defense industry manufactures some equipment, including vehicles, guided weapons, and electronic warfare systems (2019 est.) |
| **Belgium** | the Belgian Armed Forces have a mix of weapons systems from European countries, Israel, and the US; since 2010, France, Germany, and Switzerland are the leading suppliers of armaments; Belgium has an advanced, export-focused defense industry that focuses on components and subcontracting (2019 est.) |
| **Belize** | the BDF's inventory is limited and consists mostly of equipment from the UK and US (2019 est.) |
| **Benin** | the FAB is equipped with a mix of foreign-supplied weapons; historically, France and Russia (including the former Soviet Union) have been the chief suppliers of military hardware (2019 est.) |
| **Bhutan** | India has provided most of the Royal Bhutan Army's equipment, although the only recorded delivery of military equipment to Bhutan since 2010 was from France (2019 est.) |
| **Bolivia** | the Bolivian Armed Forces are equipped with a mix of mostly Brazilian, Chinese, European, and US equipment; since 2010, China and France are the leading suppliers of military hardware to Bolivia (2019 est.) |
| **Bosnia and Herzegovina** | the inventory for the Armed Forces of Bosnia and Herzegovina includes mainly Soviet-era weapons systems with a small mix of older European and US equipment (2019 est.) |
| **Botswana** | the BDF has a mix of foreign-supplied weapons and equipment, largely from European suppliers, as well as the US; since 2010, it has received limited quantities of equipment from Canada, France, Spain, Switzerland, Ukraine, and the US (2019 est.) |
| **Brazil** | the Brazilian military's inventory consists of a mix of domestically-produced and imported weapons, largely from Europe and the US; since 2010, France, Germany, the UK, and the US are the leading suppliers of military equipment to Brazil; Brazil's defense industry is capable of designing and manufacturing equipment for all three military services and for export; it also jointly produces equipment with other countries (2019 ) |
| **Brunei** | the Royal Brunei Armed Forces imports nearly all of its military equipment and weapons systems; the top suppliers since 2010 are France, Germany, and the US (2019 est.) |
| **Bulgaria** | the Bulgarian Armed Forces inventory consists primarily of Soviet-era equipment, although in recent years, Bulgaria has attempted to procure more modern weapons systems from Western countries; since 2010, it has acquired limited quantities of military equipment from France, Israel, Italy, Norway, and the US (2019 est.) |
| **Burkina Faso** | the FABF has a mix of foreign-supplied weapons; since 2010, it has received limited amounts of equipment from several countries, including donated second hand armaments; the leading suppliers are Brazil, Russia, and Turkey (2019 est.) |
| **Burma** | the Burmese Defense Service's inventory is comprised mostly of older Chinese and Russian/Soviet-era equipment with a smaller mix of more modern acquisitions; since 2010, China and Russia are the leading suppliers of military hardware to Burma; other suppliers include Belarus, India, Israel, and South Korea (2019 est.) |
| **Burundi** | the FDN is armed mostly with weapons from Russia and the former Soviet Union, with some Western equipment, largely from France; since 2010, the FDN has received small amounts of mostly second-hand equipment from China, South Africa, and the US (2019 ) |
| **Cabo Verde** | the FACV has a limited amount of mostly dated and second-hand equipment, largely from China, European countries, and the former Soviet Union; since 2010, it has received limited quantities of equipment (naval patrol craft and air craft) from the Netherlands and Portugal (2019 est.) |
| **Cambodia** | the Royal Cambodian Armed Forces are armed largely with older Chinese and Russian-origin equipment; it has received limited amounts of newer equipment since 2010 with China as the principal provider, followed by Ukraine (2019 est.) |
