CIA - The World Factbook --  Dependency ratios   

Dependency ratios are a measure of the age structure of a population. They relate the number of individuals that are likely to be economically "dependent" on the support of others. Dependency ratios contrast the ratio of youths (ages 0-14) and the elderly (ages 65+) to the number of those in the working-age group (ages 15-64). Changes in the dependency ratio provide an indication of potential social support requirements resulting from changes in population age structures. As fertility levels decline, the dependency ratio initially falls because the proportion of youths decreases while the proportion of the population of working age increases. As fertility levels continue to decline, dependency ratios eventually increase because the proportion of the population of working age starts to decline and the proportion of elderly persons continues to increase.
| total dependency ratio - The total dependency ratio is the ratio of combined youth population (ages 0-14) and elderly population (ages 65+) per 100 people of working age (ages 15-64). A high total dependency ratio indicates that the working-age population and the overall economy face a greater burden to support and provide social services for youth and elderly persons, who are often economically dependent. |
| youth dependency ratio - The youth dependency ratio is the ratio of the youth population (ages 0-14) per 100 people of working age (ages 15-64). A high youth dependency ratio indicates that a greater investment needs to be made in schooling and other services for children. |
| elderly dependency ratio - The elderly dependency ratio is the ratio of the elderly population (ages 65+) per 100 people of working age (ages 15-64). Increases in the elderly dependency ratio put added pressure on governments to fund pensions and healthcare. |
| potential support ratio - The potential support ratio is the number of working-age people (ages 15-64) per one elderly person (ages 65+). As a population ages, the potential support ratio tends to fall, meaning there are fewer potential workers to support the elderly. |
| Rank | country | Dependency ratios | Date of Information |
| --- | --- | --- | --- |
| 1 | United Arab Emirates | 201.70 | 2013 |
| 2 | Niger | 111.50 | 2013 |
| 3 | Niger | 105.90 | 2013 |
| 4 | Uganda | 103.30 | 2013 |
| 5 | Chad | 103.30 | 2013 |
| 6 | Mali | 100.70 | 2013 |
| 7 | Somalia | 100.10 | 2013 |
| 8 | Angola | 99.60 | 2013 |
| 9 | Chad | 98.40 | 2013 |
| 10 | Uganda | 98.40 | 2013 |
| 11 | Zambia | 97.00 | 2013 |
| 12 | Timor-Leste | 96.30 | 2013 |
| 13 | Afghanistan | 96.00 | 2013 |
| 14 | Mali | 95.10 | 2013 |
| 15 | Mozambique | 94.80 | 2013 |
| 16 | Angola | 94.80 | 2013 |
| 17 | Somalia | 94.40 | 2013 |
| 18 | Malawi | 94.10 | 2013 |
| 19 | Gambia, The | 93.50 | 2013 |
| 20 | Tanzania | 92.50 | 2013 |
| 21 | Burkina Faso | 92.30 | 2013 |
| 22 | Congo, Democratic Republic of the | 91.90 | 2013 |
| 23 | Zambia | 91.80 | 2013 |
| 24 | Afghanistan | 91.40 | 2013 |
| 25 | Timor-Leste | 89.90 | 2013 |
| 26 | Nigeria | 89.00 | 2013 |
| 27 | Gambia, The | 88.90 | 2013 |
| 28 | Burundi | 88.60 | 2013 |
| 29 | Mozambique | 88.40 | 2013 |
| 30 | Malawi | 87.90 | 2013 |
| 31 | Burkina Faso | 87.60 | 2013 |
| 32 | Senegal | 86.90 | 2013 |
| 33 | Congo, Democratic Republic of the | 86.40 | 2013 |
| 34 | Tanzania | 86.30 | 2013 |
