CIA - The World Factbook --  NATURAL GAS - PRODUCTION

Natural gas - production compares the total natural gas produced in cubic meters (cu m).

| Rank | Country | (CU M) | Date of Information |
| --- | --- | --- | --- |
| 1 | United States | 728,200,000,000 | 2014 est. |
| 2 | Russia | 578,700,000,000 | 2014 est. |
| 3 | Iran | 172,600,000,000 | 2014 est. |
| 4 | Qatar | 158,500,000,000 | 2013 est. |
| 5 | Canada | 151,200,000,000 | 2014 est. |
| 6 | European Union | 132,300,000,000 | 2014 est. |
| 7 | China | 121,500,000,000 | 2014 est. |
| 8 | Norway | 114,900,000,000 | 2015 est. |
| 9 | Saudi Arabia | 102,400,000,000 | 2014 est. |
| 10 | Turkmenistan | 84,800,000,000 | 2013 est. |
| 11 | Algeria | 79,650,000,000 | 2013 est. |
| 12 | Indonesia | 70,400,000,000 | 2013 est. |
| 13 | Netherlands | 70,250,000,000 | 2014 est. |
| 14 | Malaysia | 64,000,000,000 | 2013 est. |
| 15 | Australia | 62,720,000,000 | 2014 est. |
| 16 | Uzbekistan | 59,630,000,000 | 2013 est. |
| 17 | Egypt | 57,600,000,000 | 2013 est. |
| 18 | United Arab Emirates | 54,600,000,000 | 2013 est. |
| 19 | Mexico | 45,400,000,000 | 2014 est. |
| 20 | Trinidad and Tobago | 42,800,000,000 | 2013 est. |
| 21 | Thailand | 41,800,000,000 | 2013 est. |
| 22 | Pakistan | 38,550,000,000 | 2013 est. |
| 23 | United Kingdom | 38,520,000,000 | 2014 est. |
| 24 | Nigeria | 38,410,000,000 | 2013 est. |
| 25 | Argentina | 36,890,000,000 | 2013 est. |
| 26 | Oman | 31,920,000,000 | 2013 est. |
| 27 | India | 31,700,000,000 | 2014 est. |
| 28 | Bangladesh | 22,860,000,000 | 2013 est. |
| 29 | Venezuela | 21,880,000,000 | 2014 est. |
| 30 | Brazil | 21,080,000,000 | 2013 est. |
| 31 | Bolivia | 20,800,000,000 | 2013 est. |
| 32 | Kazakhstan | 20,400,000,000 | 2013 est. |
