CIA - The World Factbook --  ELECTRICITY - FROM OTHER RENEWABLE SOURCES

Electricity - from other renewable sources measures the capacity of plants that generate electricity by using renewable energy sources other than hydroelectric (including, for example, wind, waves, solar, and geothermal), expressed as a share of the country's total generating capacity.

| Rank | Country | (% OF TOTAL INSTALLED CAPACITY) | Date of Information |
| --- | --- | --- | --- |
| 1 | Denmark | 43.1 | 2012 est. |
| 2 | Germany | 41.2 | 2012 est. |
| 3 | Nicaragua | 35.4 | 2015 est. |
| 4 | Bulgaria | 32.9 | 2014 est. |
| 5 | Spain | 30.0 | 2014 est. |
| 6 | Portugal | 29.4 | 2013 est. |
| 7 | Belize | 25.8 | 2012 est. |
| 8 | Belgium | 25.7 | 2012 est. |
| 9 | Iceland | 25.1 | 2012 est. |
| 10 | Cabo Verde | 23.5 | 2012 est. |
| 11 | Italy | 23.4 | 2012 est. |
| 12 | Ireland | 23.0 | 2012 est. |
| 13 | European Union | 22.9 | 2012 est. |
| 14 | Sweden | 22.7 | 2012 est. |
| 15 | Dominica | 21.7 | 2012 est. |
| 16 | Romania | 19.6 | 2014 est. |
| 17 | Uganda | 19.2 | 2014 est. |
| 18 | New Zealand | 15.8 | 2012 est. |
| 19 | El Salvador | 15.5 | 2012 est. |
| 20 | Greece | 15.1 | 2012 est. |
| 21 | Czechia | 14.6 | 2012 est. |
| 22 | Netherlands | 14.5 | 2012 est. |
| 23 | Kenya | 13.8 | 2012 est. |
| 24 | Costa Rica | 13.3 | 2012 est. |
| 25 | Finland | 13.3 | 2012 est. |
| 26 | India | 12.4 | 26 February 2014 est. |
| 27 | United Kingdom | 12.2 | 2014 est. |
| 28 | Estonia | 12.0 | 2014 est. |
| 29 | France | 11.2 | 2012 est. |
| 30 | Slovakia | 11.2 | 2014 est. |
| 31 | Philippines | 11.1 | 2012 est. |
| 32 | Austria | 11.1 | 2014 est. |
| 33 | Vanuatu | 10.7 | 2012 est. |
| 34 | Brazil | 10.5 | 2012 est. |
| 35 | Honduras | 10.4 | 2012 est. |
| 36 | Falkland Islands (Islas Malvinas) | 10.0 | 2012 est. |
| 37 | Cambodia | 10.0 | 2013 est. |
| 38 | Cyprus | 10.0 | 2012 est. |
