CIA - The World Factbook -- Field Listing :: Electricity - exports   

This entry is the total exported electricity in kilowatt-hours.

| Country | Electricity - exports(kWh) |
| --- | --- |
| **Afghanistan** | 0 kWh (2009 est.) |
| **Albania** | 0 kWh (2009 est.) |
| **Algeria** | 323 million kWh (2008 est.) |
| **American Samoa** | 0 kWh (2009 est.) |
| **Andorra** | 9 million kWh (2009) |
| **Angola** | 0 kWh (2009 est.) |
| **Antigua and Barbuda** | 0 kWh (2009 est.) |
| **Argentina** | 3 billion kWh (2009 est.) |
| **Armenia** | 360 million kWh; note - exports an unknown quantity to Georgia; includes exports to Nagorno-Karabakh region in Azerbaijan (2008 est.) |
| **Aruba** | 0 kWh (2009 est.) |
| **Australia** | 0 kWh (2009 est.) |
| **Austria** | 18.76 billion kWh (2009 est.) |
| **Azerbaijan** | 812 million kWh (2008 est.) |
| **Bahamas, The** | 0 kWh (2009 est.) |
| **Bahrain** | 0 kWh (2009 est.) |
| **Bangladesh** | 0 kWh (2009 est.) |
| **Barbados** | 0 kWh (2009 est.) |
| **Belarus** | 5.245 billion kWh (2008 est.) |
| **Belgium** | 11.32 billion kWh (2009 est.) |
| **Belize** | 0 kWh (2009 est.) |
| **Benin** | 0 kWh (2009 est.) |
| **Bermuda** | 0 kWh (2009 est.) |
| **Bhutan** | 1.296 billion kWh (2009 est.) |
| **Bolivia** | 0 kWh (2009 est.) |
| **Bosnia and Herzegovina** | 3.9 billion kWh (2009 est.) |
| **Botswana** | 0 kWh (2009 est.) |
| **Brazil** | 1.08 billion kWh (2009 est.) |
| **British Virgin Islands** | 0 kWh (2009 est.) |
| **Brunei** | 0 kWh (2009 est.) |
| **Bulgaria** | 7.735 billion kWh (2009 est.) |
| **Burkina Faso** | 0 kWh (2009 est.) |
| **Burma** | 0 kWh (2009 est.) |
| **Burundi** | 0 kWh (2009 est.) |
| **Cambodia** | 0 kWh (2009 est.) |
| **Cameroon** | 0 kWh (2009 est.) |
| **Canada** | 51.11 billion kWh (2009 est.) |
| **Cape Verde** | 0 kWh (2009 est.) |
| **Cayman Islands** | 0 kWh (2009 est.) |
| **Central African Republic** | 0 kWh (2009 est.) |
| **Chad** | 0 kWh (2009 est.) |
| **Chile** | 0 kWh (2009 est.) |
| **China** | 17.39 billion kWh (2009 est.) |
| **Colombia** | 1.473 billion kWh (2008 est.) |
| **Comoros** | 0 kWh (2009 est.) |
| **Congo, Democratic Republic of the** | 674 million kWh (2008 est.) |
| **Congo, Republic of the** | 0 kWh (2009 est.) |
| **Cook Islands** | 0 kWh (2009 est.) |
| **Costa Rica** | 166 million kWh (2008 est.) |
| **Cote d'Ivoire** | 599 million kWh (2008 est.) |
| **Croatia** | 2.578 billion kWh (2009 est.) |
| **Cuba** | 0 kWh (2009 est.) |
| **Curacao** | 0 kWh (2009 est.) |
| **Cyprus** | 0 kWh (2009 est.) |
