CIA - The World Factbook -- Field Listing - Electricity - exports

| Country | Electricity - exports (kWh) |
| --- | --- |
| **Afghanistan** | 0 kWh (2001) |
| **Albania** | 221 million kWh (2001) |
| **Algeria** | 340 million kWh (2001) |
| **American Samoa** | 0 kWh (2001) |
| **Andorra** | 0 kWh (2002) |
| **Angola** | 0 kWh (2001) |
| **Antigua and Barbuda** | 0 kWh (2001) |
| **Argentina** | 5.662 billion kWh (2001) |
| **Armenia** | 704 million kWh; note - exports an unknown quantity to Georgia; includes exports to Nagorno-Karabakh region in Azerbaijan (2001) |
| **Aruba** | 0 kWh (2001) |
| **Australia** | 0 kWh (2001) |
| **Austria** | 14.25 billion kWh (2001) |
| **Azerbaijan** | 700 million kWh (2001) |
| **Bahamas, The** | 0 kWh (2001) |
| **Bahrain** | 0 kWh (2001) |
| **Bangladesh** | 0 kWh (2001) |
| **Barbados** | 0 kWh (2001) |
| **Belarus** | 300 million kWh (2001) |
| **Belgium** | 6.712 billion kWh (2001) |
| **Belize** | 0 kWh (2001) |
| **Benin** | 0 kWh (2001) |
| **Bermuda** | 0 kWh (2001) |
| **Bhutan** | 1.4 billion kWh (2001) |
| **Bolivia** | 3 million kWh (2001) |
| **Bosnia and Herzegovina** | 2.569 billion kWh (2001) |
| **Botswana** | 0 kWh (2001) |
| **Brazil** | 0 kWh (2001) |
| **British Virgin Islands** | 0 kWh (2001) |
| **Brunei** | 0 kWh (2001) |
| **Bulgaria** | 6.79 billion kWh (2001) |
| **Burkina Faso** | 0 kWh (2001) |
| **Burma** | 0 kWh (2001) |
| **Burundi** | 0 kWh (2001) |
| **Cambodia** | 0 kWh (2001) |
| **Cameroon** | 0 kWh (2001) |
| **Canada** | 38.4 billion kWh (2001) |
| **Cape Verde** | 0 kWh (2001) |
| **Cayman Islands** | 0 kWh (2001) |
| **Central African Republic** | 0 kWh (2001) |
| **Chad** | 0 kWh (2001) |
| **Chile** | 0 kWh (2001) |
| **China** | 10.3 billion kWh (2001) |
| **Colombia** | 210 million kWh (2001) |
| **Comoros** | 0 kWh (2001) |
| **Congo, Democratic Republic of the** | 1.097 billion kWh (2001) |
| **Congo, Republic of the** | 0 kWh (2001) |
| **Cook Islands** | 0 kWh (2001) |
| **Costa Rica** | 379 million kWh (2001) |
| **Cote d'Ivoire** | 1.3 billion kWh (2001) |
| **Croatia** | 386 million kWh (2001) |
| **Cuba** | 0 kWh (2001) |
| **Cyprus** | 0 kWh (2001) |
| **Czech Republic** | 18.92 billion kWh (2001) |
| **Denmark** | 8.775 billion kWh (2001) |
| **Djibouti** | 0 kWh (2001) |
| **Dominica** | 0 kWh (2001) |
| **Dominican Republic** | 0 kWh (2001) |
