CIA - The World Factbook 2002 -- Field Listing - Electricity - exports

| Country | Electricity - exports ( kWh) |
| --- | --- |
| **Afghanistan** | 0 kWh (2000) |
| **Albania** | 100 million kWh (2000) |
| **Algeria** | 210 million kWh (2000) |
| **American Samoa** | 0 kWh (2000) |
| **Andorra** | NA kWh |
| **Angola** | 0 kWh (2000) |
| **Antigua and Barbuda** | 0 kWh (2000) |
| **Argentina** | 3.7 billion kWh (2000) |
| **Armenia** | 704 million kWh |
| | *note:* exports an unknown quantity to Georgia; includes exports to Nagorno-Karabakh region in Azerbaijan (2000) |
| **Aruba** | 0 kWh (2000) |
| **Australia** | 0 kWh (2000) |
| **Austria** | 15.11 billion kWh (2000) |
| **Azerbaijan** | 900 million kWh (2000) |
| **Bahamas, The** | 0 kWh (2000) |
| **Bahrain** | 0 kWh (2000) |
| **Bangladesh** | 0 kWh (2000) |
| **Barbados** | 0 kWh (2000) |
| **Belarus** | 300 million kWh (2000) |
| **Belgium** | 7.309 billion kWh (2000) |
| **Belize** | 0 kWh (2000) |
| **Benin** | 0 kWh (2000) |
| **Bermuda** | 0 kWh (2000) |
| **Bhutan** | 1.385 billion kWh (2000) |
| **Bolivia** | 5 million kWh (2000) |
| **Bosnia and Herzegovina** | 205 million kWh (2000) |
| **Botswana** | 0 kWh (2000) |
| **Brazil** | 0 kWh (2000) |
| **British Virgin Islands** | 0 kWh (1999) |
| **Brunei** | 0 kWh (2000) |
| **Bulgaria** | 3.2 billion kWh (2000) |
| **Burkina Faso** | 0 kWh (2000) |
| **Burma** | 0 kWh (2000) |
| **Burundi** | 0 kWh (2000) |
| **Cambodia** | 0 kWh (2000) |
| **Cameroon** | 0 kWh (2000) |
| **Canada** | 48.802 billion kWh (2000) |
| **Cape Verde** | 0 kWh (2000) |
| **Cayman Islands** | 0 kWh (2000) |
| **Central African Republic** | 0 kWh (2000) |
| **Chad** | 0 kWh (2000) |
| **Chile** | 0 kWh (2000) |
| **China** | 10.25 billion kWh (2000) |
| **Colombia** | 37 million kWh (2000) |
| **Comoros** | 0 kWh (2000) |
| **Congo, Democratic Republic of the** | 404 million kWh (1999) |
| **Congo, Republic of the** | 0 kWh (1999) |
| **Cook Islands** | 0 kWh (2000) |
| **Costa Rica** | 532 million kWh (2000) |
| **Cote d'Ivoire** | 1.2 billion kWh (2000) |
| **Croatia** | 900 million kWh (2000) |
| **Cuba** | 0 kWh (2000) |
| **Cyprus** | 0 kWh (2000) |
| **Czech Republic** | 18.74 billion kWh (2000) |
| **Denmark** | 7.679 billion kWh (2000) |
| **Djibouti** | 0 kWh (2000) |
| **Dominica** | 0 kWh (2000) |
| **Dominican Republic** | 0 kWh (2000) |
| **East Timor** | 0 kWh |
| **Ecuador** | 0 kWh (2000) |
| **Egypt** | 0 kWh (2000) |
| **El Salvador** | 112 million kWh (2000) |
| **Equatorial Guinea** | 0 kWh (2000) |
| **Eritrea** | 0 kWh NA kWh (2000) |
| **Estonia** | 1.2 billion kWh (2000) |
| **Ethiopia** | 0 kWh (2000) |
| **Falkland Islands (Islas Malvinas)** | 0 kWh (1999) |
| **Faroe Islands** | 0 kWh (2000) |
| **Fiji** | 0 kWh (2000) |
| **Finland** | 326 million kWh (2000) |
| **France** | 73.172 billion kWh (2000) |
| **French Guiana** | 0 kWh (2000) |
| **French Polynesia** | 0 kWh (2000) |
| **Gabon** | 0 kWh (2000) |
| **Gambia, The** | 0 kWh (2000) |
| **Gaza Strip** | 0 kWh (1999) |
| **Georgia** | 200 million kWh (2000) |
| **Germany** | 42.5 billion kWh (2000) |
| **Ghana** | 422 million kWh (2000) |
| **Gibraltar** | 0 kWh (2000) |
| **Greece** | 1.74 billion kWh (2000) |
| **Greenland** | 0 kWh (2000) |
| **Grenada** | 0 kWh (2000) |
| **Guadeloupe** | 0 kWh (2000) |
| **Guam** | 0 kWh (2000) |
| **Guatemala** | 840 million kWh (2000) |
| **Guernsey** | NA kWh |
| **Guinea** | 0 kWh (2000) |
| **Guinea-Bissau** | 0 kWh (2000) |
| **Guyana** | 0 kWh (2000) |
| **Haiti** | 0 kWh (2000) |
| **Honduras** | 5 million kWh (2000) |
| **Hong Kong** | 1.181 billion kWh (2000) |
| **Hungary** | 1.2 billion kWh (2000) |
| **Iceland** | 0 kWh (2000) |
| **India** | 321 million kWh (2000) |
| **Indonesia** | 0 kWh (2000) |
| **Iran** | 0 kWh (2000) |
| **Iraq** | 0 kWh (2000) |
| **Ireland** | 71 million kWh (2000) |
| **Israel** | 1.27 billion kWh (2000) |
| **Italy** | 484 million kWh (2000) |
| **Jamaica** | 0 kWh (2000) |
| **Japan** | 0 kWh (2000) |
| **Jordan** | 5 million kWh (2000) |
| **Kazakhstan** | 50 million kWh (2000) |
| **Kenya** | 0 kWh (2000) |
| **Kiribati** | 0 kWh (2000) |
| **Korea, North** | 0 kWh (2000) |
| **Korea, South** | 0 kWh (2000) |
| **Kuwait** | 0 kWh (2000) |
| **Kyrgyzstan** | 4.153 billion kWh (2000) |
| **Laos** | 400 million kWh (2000) |
| **Latvia** | 500 million kWh (2000) |
| **Lebanon** | 0 kWh (2000) |
| **Lesotho** | 0 kWh (2000) |
| **Liberia** | 0 kWh (2000) |
| **Libya** | 0 kWh (2000) |
| **Liechtenstein** | NA kWh (2001) |
| **Lithuania** | 6.3 billion kWh (2000) |
| **Luxembourg** | 735 million kWh (2000) |
| **Macau** | 1 million kWh (2000) |
| **Macedonia, The Former Yugoslav Republic of** | 30 million kWh (1999) |
| **Madagascar** | 0 kWh (2000) |
| **Malawi** | 0 kWh (2000) |
| **Malaysia** | 75 million kWh (2000) |
| **Maldives** | 0 kWh (2000) |
| **Mali** | 0 kWh (2000) |
| **Malta** | 0 kWh (2000) |
| **Martinique** | 0 kWh (2000) |
| **Mauritania** | 0 kWh (2000) |
| **Mauritius** | 0 kWh (2000) |
| **Mexico** | 77 million kWh (2000) |
| **Moldova** | 630 million kWh (2000) |
| **Mongolia** | 25 million kWh (2000) |
| **Montserrat** | 0 kWh (2000) |
| **Morocco** | 0 kWh (2000) |
| **Mozambique** | 5.7 billion kWh (2000) |
| **Namibia** | 0 kWh (2000) |
| **Nauru** | 0 kWh (2000) |
| **Nepal** | 95 million kWh (2000) |
| **Netherlands** | 4.031 billion kWh (2000) |
| **Netherlands Antilles** | 0 kWh (2000) |
| **New Caledonia** | 0 kWh (2000) |
| **New Zealand** | 0 kWh (2000) |
| **Nicaragua** | 1 million kWh (2000) |
| **Niger** | 0 kWh (2000) |
| **Nigeria** | 19 million kWh (2000) |
| **Niue** | 0 kWh (2000) |
| **Norway** | 20.259 billion kWh (2000) |
| **Oman** | 0 kWh (2000) |
| **Pakistan** | 0 kWh (2000) |
| **Panama** | 20 million kWh (2000) |
| **Papua New Guinea** | 0 kWh (2000) |
| **Paraguay** | 47.392 billion kWh (2000) |
| **Peru** | 0 kWh (2000) |
| **Philippines** | 0 kWh (2000) |
| **Poland** | 9.663 billion kWh (2000) |
| **Portugal** | 3.767 billion kWh (2000) |
| **Puerto Rico** | 0 kWh (2000) |
| **Qatar** | 0 kWh (2000) |
| **Reunion** | 0 kWh (2000) |
| **Romania** | 1.4 billion kWh (2000) |
| **Russia** | 18 billion kWh (2000) |
| **Rwanda** | 1 million kWh (2000) |
| **Saint Helena** | 0 kWh (2000) |
| **Saint Kitts and Nevis** | 0 kWh (2000) |
| **Saint Lucia** | 0 kWh (2000) |
| **Saint Pierre and Miquelon** | 0 kWh (2000) |
| **Saint Vincent and the Grenadines** | 0 kWh (1999) |
| **Samoa** | 0 kWh (2000) |
| **San Marino** | 0 kWh |
| | *note:* electric power supplied by Italy (1999) |
| **Sao Tome and Principe** | 0 kWh (2000) |
| **Saudi Arabia** | 0 kWh (2000) |
| **Senegal** | 0 kWh (2000) |
| **Serbia and Montenegro** | 43 million kWh (2000) |
| **Seychelles** | 0 kWh (2000) |
| **Sierra Leone** | 0 kWh (2000) |
| **Singapore** | 0 kWh (2000) |
| **Slovakia** | 4.9 billion kWh (2000) |
| **Slovenia** | 2 billion kWh (2000) |
| **Solomon Islands** | 0 kWh (2000) |
| **Somalia** | 0 kWh (2000) |
| **South Africa** | 4.549 billion kWh (2000) |
| **Spain** | 7.832 billion kWh (2000) |
| **Sri Lanka** | 0 kWh (2000) |
| **Sudan** | 0 kWh (2000) |
| **Suriname** | 0 kWh (2000) |
| **Swaziland** | 0 kWh (2000) |
| **Sweden** | 13.628 billion kWh (2000) |
| **Switzerland** | 31.4 billion kWh (2000) |
| **Syria** | 650 million kWh (2000) |
| **Taiwan** | 0 kWh (2000) |
| **Tajikistan** | 3.909 billion kWh (2000) |
| **Tanzania** | 0 kWh (2000) |
| **Thailand** | 151 million kWh (2000) |
| **Togo** | 0 kWh (2000) |
| **Tonga** | 0 kWh (2000) |
| **Trinidad and Tobago** | 0 kWh (2000) |
| **Tunisia** | 19 million kWh (2000) |
| **Turkey** | 437 million kWh (2000) |
| **Turkmenistan** | 900 million kWh (2000) |
| **Turks and Caicos Islands** | 0 kWh (2000) |
| **Uganda** | 174 million kWh (2000) |
| **Ukraine** | 400 million kWh (2000) |
| **United Arab Emirates** | 0 kWh (2000) |
| **United Kingdom** | 134 million kWh (2000) |
| **United States** | 14.829 billion kWh (2000) |
| **Uruguay** | 950 million kWh (2000) |
| **Uzbekistan** | 4.1 billion kWh (2000) |
| **Vanuatu** | 0 kWh (2000) |
| **Venezuela** | 0 kWh (2000) |
| **Vietnam** | 0 kWh (2000) |
| **Virgin Islands** | 0 kWh (1999) |
| **Western Sahara** | 0 kWh (2000) |
| **Yemen** | 0 kWh (2000) |
| **Zambia** | 1.536 billion kWh (2000) |
| **Zimbabwe** | 0 kWh (2000) |

This page was last updated on 19 March 2003
 
