CIA - The World Factbook -- Field Listing - Electricity - exports

| Country | Electricity - exports (kWh) |
| --- | --- |
| **Afghanistan** | 0 kWh (2003) |
| **Albania** | 200 million kWh (2003) |
| **Algeria** | 400 million kWh (2003 est.) |
| **American Samoa** | 0 kWh (2003) |
| **Andorra** | NA kWh |
| **Angola** | 0 kWh (2003) |
| **Antigua and Barbuda** | 0 kWh (2003) |
| **Argentina** | 2.07 billion kWh (2004) |
| **Armenia** | 650 million kWh; note - exports an unknown quantity to Georgia; includes exports to Nagorno-Karabakh region in Azerbaijan (2003) |
| **Aruba** | 0 kWh (2003) |
| **Australia** | 0 kWh (2003) |
| **Austria** | 13.53 billion kWh (2004) |
| **Azerbaijan** | 700 million kWh (2003) |
| **Bahamas, The** | 0 kWh (2003) |
| **Bahrain** | 0 kWh (2003) |
| **Bangladesh** | 0 kWh (2003) |
| **Barbados** | 0 kWh (2003) |
| **Belarus** | 800 million kWh (2004) |
| **Belgium** | 8.3 billion kWh (2003) |
| **Belize** | 0 kWh (2003) |
| **Benin** | 0 kWh (2003) |
| **Bermuda** | 0 kWh (2005) |
| **Bhutan** | 1.51 billion kWh (2003) |
| **Bolivia** | 0 kWh (2003) |
| **Bosnia and Herzegovina** | 3.2 billion kWh (2003) |
| **Botswana** | 0 kWh (2002) |
| **Brazil** | 6 million kWh (2004) |
| **British Virgin Islands** | 0 kWh (2003) |
| **Brunei** | 0 kWh (2004) |
| **Bulgaria** | 6.8 billion kWh (2003) |
| **Burkina Faso** | 0 kWh (2003) |
| **Burma** | 0 kWh (2003) |
| **Burundi** | 0 kWh (2003) |
| **Cambodia** | 0 kWh (2003) |
| **Cameroon** | 0 kWh (2003) |
| **Canada** | 22 billion kWh (2004) |
| **Cape Verde** | 0 kWh (2003) |
| **Cayman Islands** | 0 kWh (2003) |
| **Central African Republic** | 0 kWh (2003) |
| **Chad** | 0 kWh (2003) |
| **Chile** | 0 kWh (2003) |
| **China** | 10.6 billion kWh (2003) |
| **Colombia** | 1.082 billion kWh (2003) |
