CIA - The World Factbook 2000 -- Electricity - exports

| Country | Electricity - exports |
| --- | --- |
| **Afghanistan** | 0 kWh (1998) |
| **Albania** | 0 kWh (1998) |
| **Algeria** | 313 million kWh (1998) |
| **American Samoa** | 0 kWh (1998) |
| **Andorra** | NA kWh |
| **Angola** | 0 kWh (1998) |
| **Anguilla** | NA kWh |
| **Antigua and Barbuda** | 0 kWh (1998) |
| **Argentina** | 250 million kWh (1998) |
| **Armenia** | 0 kWh (1998) |
| **Aruba** | 0 kWh (1998) |
| **Australia** | 0 kWh (1998) |
| **Austria** | 10.5 billion kWh (1998) |
| **Azerbaijan** | 1 billion kWh (1998) |
| **Bahamas, The** | 0 kWh (1998) |
| **Bahrain** | 0 kWh (1998) |
| **Bangladesh** | 0 kWh (1999) |
| **Barbados** | 0 kWh (1998) |
| **Belarus** | 2.3 billion kWh (1998) |
| **Belgium** | 6.4 billion kWh (1998) |
| **Belize** | 0 kWh (1998) |
| **Benin** | 0 kWh (1998) |
| **Bermuda** | 0 kWh (1998) |
| **Bhutan** | 1.339 billion kWh |
| | *note:* exports electricity to India (1998) |
| **Bolivia** | 4 million kWh (1998) |
| **Bosnia and Herzegovina** | 0 kWh (1998) |
| **Botswana** | 0 kWh (1998) |
| **Brazil** | 0 kWh (1998) |
| **British Virgin Islands** | 0 kWh (1998) |
| **Brunei** | 0 kWh (1998) |
| **Bulgaria** | 2 billion kWh (1998) |
| **Burkina Faso** | 0 kWh (1998) |
| **Burma** | 0 kWh (1998) |
| **Burundi** | 0 kWh (1998) |
| **Cambodia** | 0 kWh (1998) |
| **Cameroon** | 0 kWh (1998) |
| **Canada** | 39.502 billion kWh (1998) |
| **Cape Verde** | 0 kWh (1998) |
| **Cayman Islands** | 0 kWh (1998) |
| **Central African Republic** | 0 kWh (1998) |
| **Chad** | 0 kWh (1998) |
| **Chile** | 0 kWh (1998) |
| **China** | 7.935 billion kWh (1998) |
| **Christmas Island** | NA kWh |
| **Cocos (Keeling) Islands** | NA kWh |
| **Colombia** | 0 kWh (1998) |
| **Comoros** | 0 kWh (1998) |
| **Congo, Democratic Republic of the** | 150 million kWh (1998) |
| **Congo, Republic of the** | 0 kWh (1998) |
| **Cook Islands** | 0 kWh (1998) |
| **Costa Rica** | 77 million kWh (1998) |
| **Cote d'Ivoire** | 0 kWh (1998) |
| **Croatia** | 900 million kWh (1998) |
| **Cuba** | 0 kWh (1998) |
| **Cyprus** | 0 kWh (1998) |
| **Czech Republic** | 10.8 billion kWh (1998) |
| **Denmark** | 7.1 billion kWh (1998) |
| **Djibouti** | 0 kWh (1998) |
| **Dominica** | 0 kWh (1998) |
| **Dominican Republic** | 0 kWh (1998) |
| **Ecuador** | 0 kWh (1998) |
| **Egypt** | 0 kWh (1998) |
| **El Salvador** | 30 million kWh (1999) |
| **Equatorial Guinea** | 0 kWh (1998) |
| **Eritrea** | 0 kWh (1997) |
| **Estonia** | 700 million kWh (1998) |
| **Ethiopia** | 0 kWh (1998) |
| **Falkland Islands (Islas Malvinas)** | 0 kWh (1998) |
| **Faroe Islands** | 0 kWh (1998) |
| **Fiji** | 0 kWh (1998) |
| **Finland** | 300 million kWh (1998) |
| **France** | 62 billion kWh (1998) |
| **French Guiana** | 0 kWh (1998) |
| **French Polynesia** | 0 kWh (1998) |
| **Gabon** | 0 kWh (1998) |
| **Gambia, The** | 0 kWh (1998) |
| **Georgia** | 700 million kWh (1998) |
| **Germany** | 39.1 billion kWh (1998) |
| **Ghana** | 400 million kWh (1998) |
| **Gibraltar** | 0 kWh (1998) |
| **Greece** | 900 million kWh (1998) |
| **Greenland** | 0 kWh (1998) |
| **Grenada** | 0 kWh (1998) |
| **Guadeloupe** | 0 kWh (1998) |
| **Guam** | 0 kWh (1998) |
| **Guatemala** | 6 million kWh (1998) |
| **Guernsey** | NA kWh |
| **Guinea** | 0 kWh (1998) |
| **Guinea-Bissau** | 0 kWh (1998) |
| **Guyana** | 0 kWh (1998) |
| **Haiti** | 0 kWh (1998) |
| **Holy See (Vatican City)** | NA kWh |
| **Honduras** | 16 million kWh (1998) |
| **Hong Kong** | 610 million kWh (1998) |
| **Hungary** | 3.3 billion kWh (1998) |
| **Iceland** | 0 kWh (1998) |
| **India** | 130 million kWh (1998) |
| **Indonesia** | 0 kWh (1998) |
| **Iran** | 0 kWh (1998) |
| **Iraq** | 0 kWh (1998) |
| **Ireland** | 100 million kWh (1998) |
| **Israel** | 1.061 billion kWh (1998) |
| **Italy** | 900 million kWh (1998) |
| **Jamaica** | 0 kWh (1998) |
| **Japan** | 0 kWh (1998) |
| **Jersey** | 0 kWh (1998) |
| **Jordan** | 2 million kWh (1998) |
| **Kazakhstan** | 400 million kWh (1998) |
| **Kenya** | 0 kWh (1998) |
| **Kiribati** | 0 kWh (1998) |
| **Korea, North** | 0 kWh (1998) |
| **Korea, South** | 0 kWh (1998) |
| **Kuwait** | 0 kWh (1998) |
| **Kyrgyzstan** | 1.1 billion kWh (1998) |
| **Laos** | 782 million kWh (1998) |
| **Latvia** | 400 million kWh (1998) |
| **Lebanon** | 0 kWh (1998) |
| **Lesotho** | 0 kWh (1998) |
| **Liberia** | 0 kWh (1998) |
| **Libya** | 0 kWh (1998) |
| **Liechtenstein** | NA kWh |
| **Lithuania** | 7 billion kWh (1998) |
| **Luxembourg** | 900 million kWh (1998) |
| **Macau** | 1 million kWh (1998) |
| **Macedonia, The Former Yugoslav Republic of** | 0 kWh (1998) |
| **Madagascar** | 0 kWh (1998) |
| **Malawi** | 0 kWh (1998) |
| **Malaysia** | 75 million kWh (1998) |
| **Maldives** | 0 kWh (1998) |
| **Mali** | 0 kWh (1998) |
| **Malta** | 0 kWh (1998) |
| **Man, Isle of** | NA kWh |
| **Marshall Islands** | 0 kWh (1994) |
| **Martinique** | 0 kWh (1998) |
| **Mauritania** | 0 kWh (1998) |
| **Mauritius** | 0 kWh (1998) |
| **Mayotte** | NA kWh |
| **Mexico** | 11 million kWh (1998) |
| **Micronesia, Federated States of** | NA kWh |
| **Moldova** | 0 kWh (1998) |
| **Monaco** | NA kWh |
| **Mongolia** | 0 kWh (1998) |
| **Montserrat** | 0 kWh (1998) |
| **Morocco** | 0 kWh (1998) |
| **Mozambique** | 483 million kWh (1998) |
| **Namibia** | 56 million kWh (1999) |
| **Nauru** | 0 kWh (1998) |
| **Nepal** | 72 million kWh (1998) |
| **Netherlands** | 400 million kWh (1998) |
| **Netherlands Antilles** | 0 kWh (1998) |
| **New Caledonia** | 0 kWh (1998) |
| **New Zealand** | 0 kWh (1998) |
| **Nicaragua** | 99 million kWh (1998) |
| **Niger** | 0 kWh (1998) |
| **Nigeria** | 0 kWh (1998) |
| **Niue** | 0 kWh (1998) |
| **Norfolk Island** | NA kWh |
| **Northern Mariana Islands** | NA kWh |
| **Norway** | 4.4 billion kWh (1998) |
| **Oman** | 0 kWh (1998) |
| **Pakistan** | 0 kWh (1998) |
| **Palau** | 0 kWh (1996) |
| **Panama** | 13 million kWh (1998) |
| **Papua New Guinea** | 0 kWh (1998) |
| **Paraguay** | 45.307 billion kWh (1998) |
| **Peru** | 0 kWh (1998) |
| **Philippines** | 0 kWh (1998) |
| **Pitcairn Islands** | NA kWh |
| **Poland** | 8.1 billion kWh (1998) |
| **Portugal** | 3.7 billion kWh (1998) |
| **Puerto Rico** | 0 kWh (1998) |
| **Qatar** | 0 kWh (1998) |
| **Reunion** | 0 kWh (1998) |
| **Romania** | 537 million kWh (1998) |
| **Russia** | 21 billion kWh (1998) |
| **Rwanda** | 3 million kWh (1998) |
| **Saint Helena** | 0 kWh (1998) |
| **Saint Kitts and Nevis** | 0 kWh (1998) |
| **Saint Lucia** | 0 kWh (1998) |
| **Saint Pierre and Miquelon** | 0 kWh (1998) |
| **Saint Vincent and the Grenadines** | 0 kWh (1998) |
| **Samoa** | 0 kWh (1998) |
| **San Marino** | NA kWh |
| **Sao Tome and Principe** | 0 kWh (1998) |
| **Saudi Arabia** | 0 kWh (1998) |
| **Senegal** | 0 kWh (1998) |
| **Serbia and Montenegro** | 20 million kWh (1998) |
| **Seychelles** | 0 kWh (1998) |
| **Sierra Leone** | 0 kWh (1998) |
| **Singapore** | 0 kWh (1998) |
| **Slovakia** | 920 million kWh (1999 est.) |
| **Slovenia** | 2.146 billion kWh (1998) |
| **Solomon Islands** | 0 kWh (1998) |
| **Somalia** | 0 kWh (1998) |
| **South Africa** | 4.093 billion kWh (1998) |
| **Spain** | 5.6 billion kWh (1998) |
| **Sri Lanka** | 0 kWh (1998) |
| **Sudan** | 0 kWh (1998) |
| **Suriname** | 0 kWh (1998) |
| **Svalbard** | NA kWh |
| **Swaziland** | 0 kWh (1998) |
| **Sweden** | 16.8 billion kWh (1998) |
| **Switzerland** | 29.6 billion kWh (1998) |
| **Syria** | 0 kWh (1998) |
| **Tajikistan** | 3.33 billion kWh (1998) |
| **Tanzania** | 0 kWh (1998) |
| **Thailand** | 138 million kWh (1998) |
| **Togo** | 0 kWh (1998) |
| **Tokelau** | NA kWh |
| **Tonga** | 0 kWh (1998) |
| **Trinidad and Tobago** | 0 kWh (1998) |
| **Tunisia** | 0 kWh (1998) |
| **Turkey** | 209 million kWh (1999 est.) |
| **Turkmenistan** | 2.74 billion kWh (1998) |
| **Turks and Caicos Islands** | 0 kWh (1998) |
| **Tuvalu** | 0 kWh (1995) |
| **Uganda** | 115 million kWh (1998) |
| **Ukraine** | 7 billion kWh (1998) |
| **United Arab Emirates** | 0 kWh (1998) |
| **United Kingdom** | 200 million kWh (1998) |
| **United States** | 12.772 billion kWh (1998) |
| **Uruguay** | 2.363 billion kWh (1998) |
| **Uzbekistan** | 5.1 billion kWh (1998) |
| **Vanuatu** | 0 kWh (1998) |
| **Venezuela** | 0 kWh (1998) |
| **Vietnam** | 0 kWh (1998) |
| **Virgin Islands** | 0 kWh (1998) |
| **Wallis and Futuna** | NA kWh |
| **West Bank** | NA kWh |
| **Western Sahara** | 0 kWh (1998) |
| **Yemen** | 0 kWh (1998) |
| **Zambia** | 1.2 billion kWh (1998) |
| **Zimbabwe** | 0 kWh (1998) |
| **Taiwan: | 0 kWh (1998)** | 



