CIA - The World Factbook -- Field Listing - Electricity - exports

| Country | Electricity - exports (kWh) |
| --- | --- |
| **Afghanistan** | 0 kWh (2005) |
| **Albania** | 300 million kWh (2005) |
| **Algeria** | 275 million kWh (2005 est.) |
| **American Samoa** | 0 kWh (2005) |
| **Andorra** | NA kWh |
| **Angola** | 0 kWh (2005) |
| **Antigua and Barbuda** | 0 kWh (2005) |
| **Argentina** | 4.14 billion kWh (2005) |
| **Armenia** | 1.011 billion kWh; note - exports an unknown quantity to Georgia; includes exports to Nagorno-Karabakh region in Azerbaijan (2005) |
| **Aruba** | 0 kWh (2005) |
| **Australia** | 0 kWh (2005) |
| **Austria** | 17.73 billion kWh (2005 est.) |
| **Azerbaijan** | 880 million kWh (2005) |
| **Bahamas, The** | 0 kWh (2005) |
| **Bahrain** | 0 kWh (2005) |
| **Bangladesh** | 0 kWh (2005) |
| **Barbados** | 0 kWh (2005) |
| **Belarus** | 5.053 billion kWh (2005) |
| **Belgium** | 8.024 billion kWh (2005) |
| **Belize** | 0 kWh (2005) |
| **Benin** | 0 kWh (2005) |
| **Bermuda** | 0 kWh (2005) |
| **Bhutan** | 1.5 billion kWh (2005) |
| **Bolivia** | 0 kWh (2005) |
| **Bosnia and Herzegovina** | 3.58 billion kWh (2005) |
| **Botswana** | 0 kWh (2005) |
| **Brazil** | 160 million kWh (2005) |
| **British Virgin Islands** | 0 kWh (2005) |
| **Brunei** | 0 kWh (2005) |
| **Bulgaria** | 7.8 billion kWh (2006) |
| **Burkina Faso** | 0 kWh (2005) |
| **Burma** | 0 kWh (2005) |
| **Burundi** | 0 kWh (2005) |
| **Cambodia** | 0 kWh (2005) |
| **Cameroon** | 0 kWh (2005) |
| **Canada** | 42.93 billion kWh (2005) |
| **Cape Verde** | 0 kWh (2005) |
| **Cayman Islands** | 0 kWh (2005) |
| **Central African Republic** | 0 kWh (2005) |
| **Chad** | 0 kWh (2005) |
| **Chile** | 0 kWh (2005) |
| **China** | 11.19 billion kWh (2005) |
| **Colombia** | 1.758 billion kWh (2005) |
| **Comoros** | 0 kWh (2005) |
| **Congo, Democratic Republic of the** | NA |
| **Congo, Republic of the** | 1.8 billion kWh (2005) |
| **Cook Islands** | 0 kWh (2005) |
| **Costa Rica** | 70 million kWh (2005) |
| **Cote d'Ivoire** | 1.397 billion kWh (2005) |
| **Croatia** | 3.634 billion kWh (2005) |
| **Cuba** | 0 kWh (2005) |
| **Cyprus** | *area under government control:* 0 kWh (2005) |
| **Czech Republic** | 24.99 billion kWh (2005) |
| **Denmark** | 13.72 billion kWh (2006) |
| **Djibouti** | 0 kWh (2005) |
| **Dominica** | 0 kWh (2005) |
| **Dominican Republic** | 0 kWh (2005) |
| **Ecuador** | 16 million kWh (2005) |
| **Egypt** | 946 million kWh (2005) |
| **El Salvador** | 95.5 million kWh (2006) |
| **Equatorial Guinea** | 0 kWh (2005) |
| **Eritrea** | 0 kWh (2005) |
| **Estonia** | 1.953 billion kWh (2005) |
| **Ethiopia** | 0 kWh (2005) |
| **European Union** | NA |
| **Falkland Islands (Islas Malvinas)** | 0 kWh (2005) |
| **Faroe Islands** | 0 kWh (2005) |
| **Fiji** | 0 kWh (2005) |
| **Finland** | 933 million kWh (2005) |
| **France** | 68.33 billion kWh (2005) |
| **French Polynesia** | 0 kWh (2005) |
| **Gabon** | 0 kWh (2005) |
| **Gambia, The** | 0 kWh (2005) |
