CIA - The World Factbook -- Field Listing - Electricity - exports

| Country | Electricity - exports (kWh) |
| --- | --- |
| **Afghanistan** | 0 kWh (2002) |
| **Albania** | 100 million kWh (2002) |
| **Algeria** | 500 million kWh (2002) |
| **American Samoa** | 0 kWh (2002) |
| **Andorra** | 0 kWh (2002) |
| **Angola** | 0 kWh (2002) |
| **Antigua and Barbuda** | 0 kWh (2002) |
| **Argentina** | 2.818 billion kWh (2002) |
| **Armenia** | 704 million kWh; note - exports an unknown quantity to Georgia; includes exports to Nagorno-Karabakh region in Azerbaijan (2002) |
| **Aruba** | 0 kWh (2002) |
| **Australia** | 0 kWh (2002) |
| **Austria** | 14.7 billion kWh (2002) |
| **Azerbaijan** | 505 million kWh (2002) |
| **Bahamas, The** | 0 kWh (2002) |
| **Bahrain** | 0 kWh (2002) |
| **Bangladesh** | 0 kWh (2002) |
| **Barbados** | 0 kWh (2002) |
| **Belarus** | 800 million kWh (2004) |
| **Belgium** | 9.1 billion kWh (2002) |
| **Belize** | 0 kWh (2002) |
| **Benin** | 0 kWh (2002) |
| **Bermuda** | 0 kWh (2002) |
| **Bhutan** | 1.56 billion kWh (2002) |
| **Bolivia** | 3 million kWh (2002) |
| **Bosnia and Herzegovina** | 3.288 billion kWh (2002) |
| **Botswana** | 0 kWh (2002) |
| **Brazil** | 7 million kWh (2002) |
| **British Virgin Islands** | 0 kWh (2002) |
| **Brunei** | 0 kWh (2002) |
| **Bulgaria** | 8.3 billion kWh (2002) |
| **Burkina Faso** | 0 kWh (2002) |
| **Burma** | 0 kWh (2002) |
| **Burundi** | 0 kWh (2002) |
| **Cambodia** | 0 kWh (2002) |
| **Cameroon** | 0 kWh (2002) |
| **Canada** | 36.13 billion kWh (2002) |
| **Cape Verde** | 0 kWh (2002) |
| **Cayman Islands** | 0 kWh (2002) |
| **Central African Republic** | 0 kWh (2002) |
| **Chad** | 0 kWh (2002) |
| **Chile** | 0 kWh (2002) |
| **China** | 10.38 billion kWh (2002) |
| **Colombia** | 618 million kWh (2002) |
| **Comoros** | 0 kWh (2002) |
| **Congo, Democratic Republic of the** | 1.5 billion kWh (2002) |
| **Congo, Republic of the** | 0 kWh (2002) |
| **Cook Islands** | 0 kWh (2002) |
| **Costa Rica** | 477 million kWh (2002) |
