CIA - The World Factbook --  Oil - imports   

This entry is the total oil imported in barrels per day (bbl/day), including both crude oil and oil products.

| Rank | country | (bbl/day) | Date of Information |
| --- | --- | --- | --- |
| 1 | United States | 13,470,000 | 2008 est. |
| 2 | European Union | 8,613,000 | 2007 est. |
| 3 | Japan | 5,263,000 | 2008 est. |
| 4 | China | 4,210,000 | 2007 |
| 5 | Korea, South | 2,982,000 | 2008 est. |
| 6 | Germany | 2,777,000 | 2008 est. |
| 7 | Netherlands | 2,678,000 | 2008 est. |
| 8 | India | 2,518,000 | 2007 est. |
| 9 | France | 2,346,000 | 2008 est. |
| 10 | Italy | 2,205,000 | 2008 est. |
| 11 | Singapore | 2,109,000 | 2007 est. |
| 12 | Spain | 1,813,000 | 2008 est. |
| 13 | United Kingdom | 1,651,000 | 2008 est. |
| 14 | Taiwan | 1,251,000 | 2007 est. |
| 15 | Canada | 1,165,000 | 2008 est. |
| 16 | Belgium | 1,076,000 | 2008 est. |
| 17 | Thailand | 826,000 | 2007 est. |
| 18 | Turkey | 783,800 | 2008 est. |
| 19 | Australia | 687,200 | 2008 est. |
| 20 | Indonesia | 671,000 | 2007 est. |
| 21 | Brazil | 632,900 | 2007 est. |
| 22 | Poland | 595,400 | 2008 est. |
| 23 | Greece | 553,000 | 2008 est. |
| 24 | Sweden | 542,100 | 2008 est. |
| 25 | South Africa | 490,500 | 2007 est. |
| 26 | Virgin Islands | 480,600 | 2007 est. |
| 27 | Mexico | 479,600 | 2008 est. |
| 28 | Belarus | 444,800 | 2007 est. |
| 29 | Ukraine | 354,100 | 2007 est. |
| 30 | Portugal | 351,100 | 2008 est. |
| 31 | Finland | 347,400 | 2008 est. |
| 32 | Philippines | 342,200 | 2007 est. |
| 33 | Hong Kong | 334,900 | 2008 |
| 34 | Pakistan | 319,500 | 2007 est. |
| 35 | Israel | 318,900 | 2007 est. |
| 36 | Malaysia | 314,600 | 2007 est. |
| 37 | Chile | 311,200 | 2007 est. |
| 38 | Austria | 305,000 | 2008 est. |
| 39 | Netherlands Antilles | 298,500 | 2007 est. |
| 40 | Vietnam | 254,000 | 2007 est. |
| 41 | Switzerland | 247,200 | 2008 est. |
| 42 | Aruba | 236,400 | 2007 est. |
| 43 | Bahrain | 228,400 | 2007 est. |
| 44 | Puerto Rico | 225,000 | 2007 est. |
| 45 | Romania | 217,000 | 2007 est. |
| 46 | Czech Republic | 213,900 | 2008 est. |
| 47 | Iran | 212,200 | 2007 est. |
| 48 | Lithuania | 204,000 | 2007 est. |
| 49 | Morocco | 195,800 | 2007 est. |
| 50 | Hungary | 195,400 | 2008 est. |
| 51 | United Arab Emirates | 192,900 | 2007 est. |
| 52 | Ireland | 190,800 | 2008 est. |
| 53 | Bulgaria | 189,000 | 2007 est. |
| 54 | Nigeria | 170,000 | 2007 est. |
| 55 | Kazakhstan | 164,000 | 2007 est. |
| 56 | Denmark | 153,800 | 2008 est. |
| 57 | Slovakia | 148,600 | 2008 est. |
| 58 | New Zealand | 147,600 | 2008 est. |
| 59 | Egypt | 146,200 | 2007 est. |
| 60 | Peru | 133,100 | 2007 est. |
| 61 | Croatia | 122,100 | 2007 est. |
| 62 | Iraq | 116,900 | 2007 est. |
| 63 | Dominican Republic | 116,200 | 2007 est. |
| 64 | Jordan | 108,200 | 2007 est. |
| 65 | Cuba | 104,800 | 2007 est. |
| 66 | Norway | 104,400 | 2008 est. |
| 67 | Trinidad and Tobago | 92,480 | 2007 est. |
| 68 | Sri Lanka | 87,690 | 2007 est. |
| 69 | Bangladesh | 87,660 | 2007 est. |
| 70 | Tunisia | 87,300 | 2007 est. |
| 71 | Panama | 87,100 | 2007 est. |
