CIA - The World Factbook --  Military expenditures   

This entry gives spending on defense programs for the most recent year available as a percent of gross domestic product (GDP); the GDP is calculated on an exchange rate basis, i.e., not in terms of purchasing power parity (PPP). For countries with no military forces, this figure can include expenditures on public security and police.

| Rank | country | (% of GDP) | Date of Information |
| --- | --- | --- | --- |
| 1 | Oman | 11.40 | 2005 est. |
| 2 | Qatar | 10.00 | 2005 est. |
| 3 | Afghanistan | 10.00 | 2012 |
| 4 | Jordan | 9.50 | 2012 |
| 5 | Saudi Arabia | 9.10 | 2012 |
| 6 | Iraq | 8.60 | 2006 |
| 7 | Israel | 7.40 | 2012 |
| 8 | Yemen | 6.60 | 2006 |
| 9 | United Arab Emirates | 6.40 | 2012 |
| 10 | Eritrea | 6.30 | 2006 est. |
| 11 | Macedonia | 6.00 | 2005 est. |
| 12 | Burundi | 5.90 | 2006 est. |
| 13 | Mauritania | 5.50 | 2006 |
| 14 | Turkey | 5.30 | 2005 est. |
| 15 | Madagascar | 5.10 | 2011 |
| 16 | Maldives | 5.00 | 2009 |
| 17 | Burma | 4.80 | 2012 |
| 18 | Morocco | 4.80 | 2012 |
| 19 | United States | 4.60 | 2010 |
| 20 | Bahrain | 4.50 | 2006 |
| 21 | Algeria | 4.30 | 2012 |
| 22 | Guinea-Bissau | 4.30 | 2011 |
| 23 | Greece | 4.30 | 2005 est. |
| 24 | Sudan | 4.20 | 2012 |
| 25 | Russia | 3.90 | 2005 |
| 26 | Zimbabwe | 3.80 | 2006 |
| 27 | Colombia | 3.80 | 2012 |
| 28 | Kuwait | 3.70 | 2012 |
| 29 | Namibia | 3.70 | 2006 |
| 30 | Solomon Islands | 3.70 | 2007 |
| 31 | Syria | 3.60 | 2011 |
| 32 | Singapore | 3.60 | 2012 |
| 33 | Djibouti | 3.60 | 2011 |
| 34 | Uzbekistan | 3.50 | 2010 |
| 35 | Guinea | 3.40 | 2011 |
| 36 | Antigua and Barbuda | 3.30 | 2011 |
| 37 | Cuba | 3.20 | 2011 |
| 38 | Pakistan | 3.10 | 2012 |
| 39 | Libya | 3.10 | 2012 |
| 40 | Angola | 3.00 | 2012 |
| 41 | Australia | 3.00 | 2012 |
| 42 | Sri Lanka | 2.90 | 2012 |
| 43 | Botswana | 2.80 | 2012 |
| 44 | Kyrgyzstan | 2.80 | 2011 |
| 45 | Comoros | 2.80 | 2006 |
| 46 | Armenia | 2.80 | 2010 |
| 47 | Korea, South | 2.70 | 2006 |
| 48 | Swaziland | 2.60 | 2011 |
| 49 | China | 2.60 | 2012 |
| 50 | Central African Republic | 2.60 | 2011 |
| 51 | Azerbaijan | 2.60 | 2005 est. |
| 52 | Bulgaria | 2.60 | 2005 est. |
| 53 | France | 2.60 | 2005 est. |
| 54 | Vietnam | 2.50 | 2005 est. |
| 55 | Lebanon | 2.50 | 2012 |
| 56 | Iran | 2.50 | 2006 |
| 57 | United Kingdom | 2.50 | 2012 |
| 58 | Brunei | 2.40 | 2011 |
| 59 | Cambodia | 2.40 | 2012 |
| 60 | Ecuador | 2.30 | 2012 |
| 61 | Portugal | 2.30 | 2005 est. |
| 62 | Egypt | 2.20 | 2012 |
| 63 | Taiwan | 2.20 | 2012 |
| 64 | Chile | 2.10 | 2012 |
| 65 | Malaysia | 2.03 | 2005 est. |
| 66 | Finland | 2.00 | 2005 est. |
| 67 | Estonia | 2.00 | 2005 est. |
| 68 | Cyprus | 2.00 | 2012 |
| 69 | Togo | 1.90 | 2011 |
| 70 | Lesotho | 1.90 | 2012 |
| 71 | Norway | 1.90 | 2005 est. |
| 72 | Poland | 1.90 | 2005 est. |
| 73 | Guyana | 1.90 | 2011 |
| 74 | Romania | 1.90 | 2007 est. |
| 75 | Georgia | 1.90 | 2010 est. |
| 76 | Italy | 1.80 | 2005 est. |
| 77 | India | 1.80 | 2012 |
| 78 | Kenya | 1.80 | 2012 |
| 79 | Zambia | 1.80 | 2012 |
