CIA - The World Factbook --  Infant mortality rate   

This entry gives the number of deaths of infants under one year old in a given year per 1,000 live births in the same year; included is the total death rate, and deaths by sex, male and female. This rate is often used as an indicator of the level of health in a country.

| Rank | country | (deaths/1,000 live births) | Date of Information |
| --- | --- | --- | --- |
| 1 | Angola | 180.21 | 2009 est. |
| 2 | Sierra Leone | 154.43 | 2009 est. |
| 3 | Afghanistan | 151.95 | 2009 est. |
| 4 | Liberia | 138.24 | 2009 est. |
| 5 | Niger | 116.66 | 2009 est. |
| 6 | Somalia | 109.19 | 2009 est. |
| 7 | Mozambique | 105.80 | 2009 est. |
| 8 | Mali | 102.05 | 2009 est. |
| 9 | Zambia | 101.20 | 2009 est. |
| 10 | Guinea-Bissau | 99.82 | 2009 est. |
| 11 | Chad | 98.69 | 2009 est. |
| 12 | Djibouti | 97.51 | 2009 est. |
| 13 | Nigeria | 94.35 | 2009 est. |
| 14 | Malawi | 89.05 | 2009 est. |
| 15 | Burkina Faso | 84.49 | 2009 est. |
| 16 | Sudan | 82.43 | 2009 est. |
| 17 | Rwanda | 81.61 | 2009 est. |
| 18 | Equatorial Guinea | 81.58 | 2009 est. |
| 19 | Congo, Democratic Republic of the | 81.21 | 2009 est. |
| 20 | Ethiopia | 80.80 | 2009 est. |
| 21 | Central African Republic | 80.62 | 2009 est. |
| 22 | Congo, Republic of the | 79.78 | 2009 est. |
| 23 | Laos | 77.82 | 2009 est. |
| 24 | Lesotho | 77.40 | 2009 est. |
| 25 | Western Sahara | 69.66 | 2009 est. |
| 26 | Tanzania | 69.28 | 2009 est. |
| 27 | Swaziland | 68.63 | 2009 est. |
| 28 | Cote d'Ivoire | 68.06 | 2009 est. |
| 29 | Gambia, The | 67.33 | 2009 est. |
| 30 | Comoros | 66.57 | 2009 est. |
| 31 | Guinea | 65.22 | 2009 est. |
| 32 | Pakistan | 65.14 | 2009 est. |
| 33 | Uganda | 64.82 | 2009 est. |
| 34 | Benin | 64.64 | 2009 est. |
| 35 | Mauritania | 63.42 | 2009 est. |
| 36 | Cameroon | 63.34 | 2009 est. |
| 37 | Haiti | 59.69 | 2009 est. |
| 38 | Burundi | 59.64 | 2009 est. |
| 39 | Bangladesh | 59.02 | 2009 est. |
| 40 | Senegal | 58.94 | 2009 est. |
| 41 | Mayotte | 56.29 | 2009 est. |
| 42 | Togo | 56.24 | 2009 est. |
| 43 | Cambodia | 54.79 | 2009 est. |
| 44 | Kenya | 54.70 | 2009 est. |
| 45 | Yemen | 54.70 | 2009 est. |
| 46 | Azerbaijan | 54.60 | 2009 est. |
| 47 | Madagascar | 54.20 | 2009 est. |
| 48 | Gabon | 51.78 | 2009 est. |
| 49 | Korea, North | 51.34 | 2009 est. |
| 50 | Ghana | 51.09 | 2009 est. |
| 51 | Vanuatu | 49.45 | 2009 est. |
| 52 | Bhutan | 49.36 | 2009 est. |
| 53 | Burma | 47.61 | 2009 est. |
| 54 | Nepal | 47.46 | 2009 est. |
| 55 | Namibia | 45.51 | 2009 est. |
| 56 | Turkmenistan | 45.36 | 2009 est. |
| 57 | Papua New Guinea | 45.23 | 2009 est. |
| 58 | Bolivia | 44.66 | 2009 est. |
| 59 | South Africa | 44.42 | 2009 est. |
| 60 | Iraq | 43.82 | 2009 est. |
| 61 | Kiribati | 43.48 | 2009 est. |
| 62 | Eritrea | 43.33 | 2009 est. |
| 63 | Cape Verde | 41.35 | 2009 est. |
| 64 | Tajikistan | 41.03 | 2009 est. |
| 65 | World | 40.85 | 2009 est. |
| 66 | Timor-Leste | 40.65 | 2009 est. |
| 67 | Mongolia | 39.88 | 2009 est. |
| 68 | Sao Tome and Principe | 37.12 | 2009 est. |
| 69 | Morocco | 36.88 | 2009 est. |
| 70 | Iran | 35.78 | 2009 est. |
| 71 | Zimbabwe | 32.31 | 2009 est. |
| 72 | Kyrgyzstan | 31.26 | 2009 est. |
| 73 | India | 30.15 | 2009 est. |
| 74 | Indonesia | 29.97 | 2009 est. |
| 75 | Trinidad and Tobago | 29.93 | 2009 est. |
| 76 | Guyana | 29.65 | 2009 est. |
| 77 | Maldives | 29.53 | 2009 est. |
| 78 | Peru | 28.62 | 2009 est. |
| 79 | Guatemala | 27.84 | 2009 est. |
| 80 | Algeria | 27.73 | 2009 est. |
| 81 | Egypt | 27.26 | 2009 est. |
| 82 | Micronesia, Federated States of | 26.10 | 2009 est. |
| 83 | Dominican Republic | 25.96 | 2009 est. |
| 84 | Syria | 25.87 | 2009 est. |
| 85 | Turkey | 25.78 | 2009 est. |
