CIA - The World Factbook --  Airports - with paved runways   

This entry gives the total number of airports with paved runways (concrete or asphalt surfaces) by length. For airports with more than one runway, only the longest runway is included according to the following five groups - (1) over 3,047 m (over 10,000 ft), (2) 2,438 to 3,047 m (8,000 to 10,000 ft), (3) 1,524 to 2,437 m (5,000 to 8,000 ft), (4) 914 to 1,523 m (3,000 to 5,000 ft), and (5) under 914 m (under 3,000 ft). Only airports with usable runways are included in this listing. Not all airports have facilities for refueling, maintenance, or air traffic control. The type aircraft capable of operating from a runway of a given length is dependent upon a number of factors including elevation of the runway, runway gradient, average maximum daily temperature at the airport, engine types, flap settings, and take-off weight of the aircraft.

| Rank | country | Airports - with paved runways | Date of Information |
| --- | --- | --- | --- |
| 1 | United States | 5,174.00 | 2009 |
| 2 | United States | 2,309.00 | 2009 |
| 3 | European Union | 1,995.00 | 2009 |
| 4 | United States | 1,477.00 | 2009 |
| 5 | United States | 969.00 | 2009 |
| 6 | Brazil | 721.00 | 2009 |
| 7 | Russia | 595.00 | 2009 |
| 8 | European Union | 575.00 | 2009 |
| 9 | European Union | 543.00 | 2009 |
| 10 | Canada | 515.00 | 2009 |
| 11 | Brazil | 460.00 | 2009 |
| 12 | China | 425.00 | 2009 |
| 13 | European Union | 421.00 | 2009 |
| 14 | European Union | 341.00 | 2009 |
| 15 | Germany | 330.00 | 2009 |
| 16 | Australia | 325.00 | 2009 |
| 17 | United Kingdom | 307.00 | 2009 |
| 18 | France | 297.00 | 2009 |
| 19 | Canada | 251.00 | 2009 |
| 20 | India | 250.00 | 2009 |
| 21 | Mexico | 246.00 | 2009 |
| 22 | United States | 229.00 | 2009 |
| 23 | Russia | 198.00 | 2009 |
| 24 | United States | 190.00 | 2009 |
| 25 | Ukraine | 189.00 | 2009 |
| 26 | Brazil | 171.00 | 2009 |
| 27 | Indonesia | 164.00 | 2009 |
| 28 | Argentina | 156.00 | 2009 |
| 29 | Sweden | 152.00 | 2009 |
| 30 | Canada | 148.00 | 2009 |
| 31 | South Africa | 148.00 | 2009 |
| 32 | Australia | 145.00 | 2009 |
| 33 | Japan | 144.00 | 2009 |
| 34 | Australia | 142.00 | 2009 |
| 35 | Germany | 135.00 | 2009 |
| 36 | China | 133.00 | 2009 |
| 37 | Iran | 133.00 | 2009 |
| 38 | Bulgaria | 132.00 | 2009 |
| 39 | China | 132.00 | 2009 |
| 40 | Venezuela | 131.00 | 2009 |
| 41 | Russia | 129.00 | 2009 |
| 42 | United Kingdom | 125.00 | 2009 |
| 43 | Russia | 117.00 | 2009 |
| 44 | Colombia | 116.00 | 2009 |
| 45 | European Union | 115.00 | 2009 |
| 46 | Ecuador | 103.00 | 2009 |
| 47 | Italy | 101.00 | 2009 |
| 48 | Russia | 99.00 | 2009 |
| 49 | Pakistan | 98.00 | 2009 |
| 50 | Bulgaria | 97.00 | 2009 |
| 51 | France | 97.00 | 2009 |
| 52 | Ukraine | 96.00 | 2009 |
| 53 | Spain | 95.00 | 2009 |
| 54 | Turkey | 90.00 | 2009 |
| 55 | Mexico | 85.00 | 2009 |
| 56 | Philippines | 85.00 | 2009 |
| 57 | India | 84.00 | 2009 |
| 58 | Poland | 84.00 | 2009 |
| 59 | France | 82.00 | 2009 |
| 60 | Mexico | 82.00 | 2009 |
| 61 | Chile | 81.00 | 2009 |
| 62 | Saudi Arabia | 80.00 | 2009 |
| 63 | Canada | 79.00 | 2009 |
| 64 | France | 77.00 | 2009 |
| 65 | United Kingdom | 77.00 | 2009 |
| 66 | India | 76.00 | 2009 |
| 67 | Sweden | 76.00 | 2009 |
| 68 | Finland | 75.00 | 2009 |
| 69 | Iraq | 75.00 | 2009 |
| 70 | China | 72.00 | 2009 |
| 71 | Egypt | 72.00 | 2009 |
| 72 | Korea, South | 72.00 | 2009 |
| 73 | Germany | 72.00 | 2009 |
| 74 | South Africa | 68.00 | 2009 |
| 75 | Greece | 67.00 | 2009 |
| 76 | Kazakhstan | 67.00 | 2009 |
| 77 | Norway | 67.00 | 2009 |
| 78 | Argentina | 65.00 | 2009 |
| 79 | Cuba | 65.00 | 2009 |
| 80 | Thailand | 64.00 | 2009 |
| 81 | United Kingdom | 64.00 | 2009 |
| 82 | China | 63.00 | 2009 |
| 83 | Venezuela | 63.00 | 2009 |
| 84 | Libya | 59.00 | 2009 |
| 85 | Germany | 58.00 | 2009 |
| 86 | Algeria | 57.00 | 2009 |
| 87 | Peru | 57.00 | 2009 |
| 88 | Brazil | 56.00 | 2009 |
| 89 | India | 56.00 | 2009 |
| 90 | Indonesia | 56.00 | 2009 |
| 91 | Ecuador | 54.00 | 2009 |
| 92 | Panama | 54.00 | 2009 |
| 93 | Germany | 52.00 | 2009 |
| 94 | South Africa | 52.00 | 2009 |
| 95 | Russia | 52.00 | 2009 |
| 96 | Argentina | 51.00 | 2009 |
| 97 | Ukraine | 51.00 | 2009 |
| 98 | Indonesia | 51.00 | 2009 |
| 99 | Colombia | 50.00 | 2009 |
| 100 | French Polynesia | 47.00 | 2009 |
| 101 | Czech Republic | 44.00 | 2009 |
| 102 | Portugal | 43.00 | 2009 |
| 103 | Switzerland | 43.00 | 2009 |
| 104 | Japan | 42.00 | 2009 |
| 105 | New Zealand | 41.00 | 2009 |
| 106 | Colombia | 40.00 | 2009 |
| 107 | Japan | 40.00 | 2009 |
| 108 | Iran | 40.00 | 2009 |
| 109 | Poland | 39.00 | 2009 |
| 110 | Costa Rica | 38.00 | 2009 |
| 111 | Mexico | 38.00 | 2009 |
| 112 | Malaysia | 38.00 | 2009 |
| 113 | Pakistan | 38.00 | 2009 |
| 114 | Taiwan | 38.00 | 2009 |
| 115 | Nigeria | 38.00 | 2009 |
| 116 | Burma | 37.00 | 2009 |
| 117 | Iraq | 37.00 | 2009 |
| 118 | Vietnam | 37.00 | 2009 |
