CIA - The World Factbook --  Airports - with paved runways   

This entry gives the total number of airports with paved runways (concrete or asphalt surfaces) by length. For airports with more than one runway, only the longest runway is included according to the following five groups - (1) over 3,047 m (over 10,000 ft), (2) 2,438 to 3,047 m (8,000 to 10,000 ft), (3) 1,524 to 2,437 m (5,000 to 8,000 ft), (4) 914 to 1,523 m (3,000 to 5,000 ft), and (5) under 914 m (under 3,000 ft). Only airports with usable runways are included in this listing. Not all airports have facilities for refueling, maintenance, or air traffic control. The type aircraft capable of operating from a runway of a given length is dependent upon a number of factors including elevation of the runway, runway gradient, average maximum daily temperature at the airport, engine types, flap settings, and take-off weight of the aircraft.

| Rank | country | Airports - with paved runways | Date of Information |
| --- | --- | --- | --- |
| 1 | United States | 5,054.00 | 2013 |
| 2 | United States | 2,249.00 | 2013 |
| 3 | European Union | 1,858.00 | 2013 |
| 4 | United States | 1,478.00 | 2013 |
| 5 | United States | 903.00 | 2013 |
| 6 | Brazil | 698.00 | 2013 |
| 7 | Russia | 594.00 | 2013 |
| 8 | Canada | 523.00 | 2013 |
| 9 | European Union | 504.00 | 2013 |
| 10 | European Union | 479.00 | 2013 |
| 11 | China | 463.00 | 2013 |
| 12 | Brazil | 436.00 | 2013 |
| 13 | European Union | 422.00 | 2013 |
| 14 | Australia | 349.00 | 2013 |
| 15 | European Union | 335.00 | 2013 |
| 16 | Germany | 318.00 | 2013 |
| 17 | France | 294.00 | 2013 |
| 18 | United Kingdom | 271.00 | 2013 |
| 19 | Canada | 257.00 | 2013 |
| 20 | India | 253.00 | 2013 |
| 21 | Mexico | 243.00 | 2013 |
| 22 | United States | 235.00 | 2013 |
| 23 | Russia | 197.00 | 2013 |
| 24 | United States | 189.00 | 2013 |
| 25 | Indonesia | 186.00 | 2013 |
| 26 | Brazil | 179.00 | 2013 |
| 27 | Argentina | 161.00 | 2013 |
| 28 | China | 158.00 | 2013 |
| 29 | Australia | 155.00 | 2013 |
| 30 | Australia | 155.00 | 2013 |
| 31 | Sweden | 149.00 | 2013 |
| 32 | Canada | 147.00 | 2013 |
| 33 | South Africa | 144.00 | 2013 |
| 34 | Japan | 142.00 | 2013 |
| 35 | Iran | 140.00 | 2013 |
| 36 | Venezuela | 127.00 | 2013 |
| 37 | Germany | 125.00 | 2013 |
| 38 | Russia | 125.00 | 2013 |
| 39 | Russia | 123.00 | 2013 |
| 40 | China | 123.00 | 2013 |
| 41 | Colombia | 121.00 | 2013 |
| 42 | European Union | 118.00 | 2013 |
| 43 | Pakistan | 108.00 | 2013 |
| 44 | Ukraine | 108.00 | 2013 |
| 45 | Ecuador | 104.00 | 2013 |
| 46 | Spain | 99.00 | 2013 |
| 47 | Italy | 98.00 | 2013 |
| 48 | France | 97.00 | 2013 |
| 49 | Russia | 95.00 | 2013 |
| 50 | Turkey | 91.00 | 2013 |
| 51 | Chile | 90.00 | 2013 |
| 52 | Philippines | 89.00 | 2013 |
| 53 | United Kingdom | 89.00 | 2013 |
| 54 | Poland | 87.00 | 2013 |
| 55 | China | 86.00 | 2013 |
| 56 | Mexico | 86.00 | 2013 |
| 57 | France | 83.00 | 2013 |
| 58 | India | 82.00 | 2013 |
| 59 | Saudi Arabia | 82.00 | 2013 |
| 60 | Mexico | 80.00 | 2013 |
| 61 | United Kingdom | 80.00 | 2013 |
| 62 | Canada | 79.00 | 2013 |
| 63 | India | 76.00 | 2013 |
| 64 | France | 75.00 | 2013 |
| 65 | Sweden | 75.00 | 2013 |
| 66 | Finland | 74.00 | 2013 |
| 67 | Iraq | 72.00 | 2013 |
| 68 | Indonesia | 72.00 | 2013 |
| 69 | Egypt | 72.00 | 2013 |
| 70 | China | 71.00 | 2013 |
| 71 | Korea, South | 71.00 | 2013 |
| 72 | Germany | 70.00 | 2013 |
| 73 | Greece | 68.00 | 2013 |
| 74 | Libya | 68.00 | 2013 |
| 75 | Norway | 67.00 | 2013 |
| 76 | United Kingdom | 66.00 | 2013 |
| 77 | Argentina | 65.00 | 2013 |
