CIA - The World Factbook --  Airports - with paved runways   

This entry gives the total number of airports with paved runways (concrete or asphalt surfaces) by length. For airports with more than one runway, only the longest runway is included according to the following five groups - (1) over 3,047 m (over 10,000 ft), (2) 2,438 to 3,047 m (8,000 to 10,000 ft), (3) 1,524 to 2,437 m (5,000 to 8,000 ft), (4) 914 to 1,523 m (3,000 to 5,000 ft), and (5) under 914 m (under 3,000 ft). Only airports with usable runways are included in this listing. Not all airports have facilities for refueling, maintenance, or air traffic control. The type aircraft capable of operating from a runway of a given length is dependent upon a number of factors including elevation of the runway, runway gradient, average maximum daily temperature at the airport, engine types, flap settings, and take-off weight of the aircraft.

| Rank | country | Airports - with paved runways | Date of Information |
| --- | --- | --- | --- |
| 1 | United States | 5,194.00 | 2010 |
| 2 | United States | 2,316.00 | 2010 |
| 3 | European Union | 1,992.00 | 2010 |
| 4 | United States | 1,479.00 | 2010 |
| 5 | United States | 975.00 | 2010 |
| 6 | Brazil | 726.00 | 2010 |
| 7 | Russia | 593.00 | 2010 |
| 8 | European Union | 568.00 | 2010 |
| 9 | European Union | 546.00 | 2010 |
| 10 | Canada | 514.00 | 2010 |
| 11 | Brazil | 460.00 | 2010 |
| 12 | China | 442.00 | 2010 |
| 13 | European Union | 422.00 | 2010 |
| 14 | European Union | 340.00 | 2010 |
| 15 | Germany | 330.00 | 2010 |
| 16 | Australia | 326.00 | 2010 |
| 17 | United Kingdom | 306.00 | 2010 |
| 18 | France | 297.00 | 2010 |
| 19 | Mexico | 250.00 | 2010 |
| 20 | Canada | 249.00 | 2010 |
| 21 | India | 249.00 | 2010 |
| 22 | United States | 235.00 | 2010 |
| 23 | Russia | 201.00 | 2010 |
| 24 | United States | 189.00 | 2010 |
| 25 | Ukraine | 189.00 | 2010 |
| 26 | Brazil | 176.00 | 2010 |
| 27 | Indonesia | 171.00 | 2010 |
| 28 | Argentina | 156.00 | 2010 |
| 29 | Sweden | 152.00 | 2010 |
