CIA - The World Factbook --  Airports - with paved runways   

This entry gives the total number of airports with paved runways (concrete or asphalt surfaces) by length. For airports with more than one runway, only the longest runway is included according to the following five groups - (1) over 3,047 m (over 10,000 ft), (2) 2,438 to 3,047 m (8,000 to 10,000 ft), (3) 1,524 to 2,437 m (5,000 to 8,000 ft), (4) 914 to 1,523 m (3,000 to 5,000 ft), and (5) under 914 m (under 3,000 ft). Only airports with usable runways are included in this listing. Not all airports have facilities for refueling, maintenance, or air traffic control. The type aircraft capable of operating from a runway of a given length is dependent upon a number of factors including elevation of the runway, runway gradient, average maximum daily temperature at the airport, engine types, flap settings, and take-off weight of the aircraft.

| Rank | country | Airports - with paved runways | Date of Information |
| --- | --- | --- | --- |
| 1 | United States | 5,194.00 | 2010 |
| 2 | United States | 2,316.00 | 2010 |
| 3 | European Union | 1,933.00 | 2012 |
| 4 | United States | 1,479.00 | 2010 |
| 5 | United States | 975.00 | 2010 |
| 6 | Brazil | 713.00 | 2012 |
| 7 | Russia | 593.00 | 2012 |
| 8 | European Union | 554.00 | 2012 |
| 9 | Canada | 522.00 | 2012 |
| 10 | European Union | 513.00 | 2012 |
| 11 | China | 452.00 | 2012 |
| 12 | Brazil | 449.00 | 2012 |
| 13 | European Union | 417.00 | 2012 |
| 14 | Australia | 333.00 | 2012 |
| 15 | European Union | 332.00 | 2012 |
| 16 | Germany | 322.00 | 2012 |
| 17 | France | 297.00 | 2012 |
| 18 | United Kingdom | 272.00 | 2012 |
| 19 | Canada | 257.00 | 2012 |
| 20 | India | 251.00 | 2012 |
| 21 | Mexico | 249.00 | 2012 |
| 22 | United States | 235.00 | 2010 |
| 23 | Russia | 198.00 | 2012 |
| 24 | United States | 189.00 | 2010 |
| 25 | Indonesia | 185.00 | 2012 |
| 26 | Ukraine | 179.00 | 2012 |
| 27 | Brazil | 174.00 | 2012 |
| 28 | Argentina | 159.00 | 2012 |
| 29 | Australia | 149.00 | 2012 |
