CIA - The World Factbook --  CRUDE OIL - IMPORTS

Crude oil - imports is the total amount of crude oil imported, in barrels per day (bbl/day).

| Rank | Country | (BBL/DAY) | Date of Information |
| --- | --- | --- | --- |
| 1 | United States | 9,080,000 | 2013 est. |
| 2 | China | 6,167,000 | 2014 est. |
| 3 | India | 3,812,000 | 2013 est. |
| 4 | Japan | 3,441,000 | 2014 est. |
| 5 | Korea, South | 2,949,000 | 2014 est. |
| 6 | Germany | 1,830,000 | 2013 est. |
| 7 | Philippines | 1,503,000 | 2014 est. |
| 8 | Italy | 1,346,000 | 2013 est. |
| 9 | Spain | 1,224,000 | 2013 est. |
| 10 | United Kingdom | 1,221,000 | 2013 est. |
| 11 | Netherlands | 1,204,000 | 2013 est. |
| 12 | France | 1,129,000 | 2013 est. |
| 13 | Singapore | 976,100 | 2012 est. |
| 14 | Thailand | 898,000 | 2012 est. |
| 15 | Taiwan | 841,300 | 2015 est. |
| 16 | Canada | 700,000 | 2014 est. |
| 17 | Belgium | 618,400 | 2013 est. |
| 18 | Greece | 468,000 | 2013 est. |
| 19 | Poland | 467,400 | 2013 est. |
| 20 | Australia | 461,900 | 2013 est. |
| 21 | Belarus | 433,400 | 2012 est. |
| 22 | South Africa | 414,000 | 2013 est. |
| 23 | Indonesia | 391,800 | 2012 est. |
| 24 | Turkey | 379,600 | 2013 est. |
| 25 | Pakistan | 372,800 | 2013 est. |
| 26 | Sweden | 352,300 | 2013 est. |
| 27 | Brazil | 344,900 | 2012 est. |
| 28 | Portugal | 282,400 | 2013 est. |
| 29 | Israel | 275,600 | 2013 est. |
| 30 | Bahrain | 243,300 | 2012 est. |
| 31 | Finland | 236,000 | 2013 est. |
| 32 | Aruba | 229,000 | 2012 est. |
| 33 | Malaysia | 200,200 | 2012 est. |
| 34 | Chile | 186,900 | 2013 est. |
| 35 | Lithuania | 181,900 | 2012 est. |
| 36 | Austria | 173,900 | 2014 est. |
| 37 | Cuba | 160,000 | 2013 est. |
| 38 | Morocco | 148,500 | 2012 est. |
| 39 | Czechia | 131,300 | 2013 est. |
| 40 | Bulgaria | 128,100 | 2012 est. |
| 41 | Kazakhstan | 118,400 | 2012 est. |
| 42 | Slovakia | 117,600 | 2013 est. |
| 43 | Hungary | 115,300 | 2013 est. |
| 44 | Peru | 110,600 | 2012 est. |
| 45 | Romania | 104,900 | 2012 est. |
