CIA - The World Factbook --  Telephones - main lines in use   

Telephones - main lines in use compares the total number of main telephone lines in use.

| Rank | country | Telephones - main lines in use | Date of Information |
| --- | --- | --- | --- |
| 1 | China | 278,860,000 | 2012 |
| 2 | United States | 139,000,000 | 2012 |
| 3 | Japan | 64,273,000 | 2012 |
| 4 | Germany | 50,700,000 | 2012 |
| 5 | Brazil | 44,300,000 | 2012 |
| 6 | Russia | 42,900,000 | 2012 |
| 7 | France | 39,290,000 | 2012 |
| 8 | Indonesia | 37,983,000 | 2012 |
| 9 | United Kingdom | 33,010,000 | 2012 |
| 10 | India | 31,080,000 | 2012 |
| 11 | Korea, South | 30,100,000 | 2012 |
| 12 | Iran | 28,760,000 | 2012 |
| 13 | Italy | 21,656,000 | 2012 |
| 14 | Mexico | 20,220,000 | 2012 |
| 15 | Spain | 19,220,000 | 2012 |
| 16 | Canada | 18,010,000 | 2012 |
| 17 | Taiwan | 15,998,000 | 2012 |
| 18 | Turkey | 13,860,000 | 2012 |
| 19 | Ukraine | 12,182,000 | 2012 |
| 20 | Australia | 10,470,000 | 2012 |
| 21 | Vietnam | 10,191,000 | 2012 |
| 22 | Argentina | 10,000,000 | 2012 |
| 23 | Egypt | 8,557,000 | 2012 |
| 24 | Venezuela | 7,650,000 | 2012 |
| 25 | Netherlands | 7,086,000 | 2012 |
| 26 | Thailand | 6,391,000 | 2012 |
| 27 | Colombia | 6,291,000 | 2012 |
| 28 | Poland | 6,125,000 | 2012 |
| 29 | Pakistan | 5,803,000 | 2012 |
| 30 | Greece | 5,461,000 | 2012 |
| 31 | Saudi Arabia | 4,800,000 | 2012 |
| 32 | Romania | 4,680,000 | 2012 |
| 33 | Belgium | 4,631,000 | 2012 |
| 34 | Malaysia | 4,589,000 | 2012 |
| 35 | Portugal | 4,558,000 | 2012 |
| 36 | Syria | 4,425,000 | 2012 |
| 37 | Belarus | 4,407,000 | 2012 |
| 38 | Switzerland | 4,382,000 | 2012 |
| 39 | Hong Kong | 4,362,000 | 2012 |
| 40 | Kazakhstan | 4,340,000 | 2012 |
| 41 | Sweden | 4,321,000 | 2012 |
| 42 | South Africa | 4,030,000 | 2012 |
| 43 | Philippines | 3,939,000 | 2012 |
| 44 | Israel | 3,594,000 | 2012 |
| 45 | Peru | 3,420,000 | 2012 |
| 46 | Austria | 3,342,000 | 2012 |
| 47 | Morocco | 3,280,000 | 2012 |
| 48 | Chile | 3,276,000 | 2012 |
| 49 | Algeria | 3,200,000 | 2012 |
| 50 | Serbia | 2,977,000 | 2012 |
| 51 | Hungary | 2,960,000 | 2012 |
| 52 | Sri Lanka | 2,796,000 | 2013 |
| 53 | Denmark | 2,431,000 | 2012 |
| 54 | Ecuador | 2,310,000 | 2012 |
| 55 | Bulgaria | 2,253,000 | 2012 |
| 56 | Czech Republic | 2,100,000 | 2012 |
| 57 | Ireland | 2,007,000 | 2012 |
| 58 | Singapore | 1,990,000 | 2012 |
