CIA - The World Factbook --  Telephones - main lines in use   

This entry gives the total number of main telephone lines in use.

| Rank | country | Telephones - main lines in use | Date of Information |
| --- | --- | --- | --- |
| 1 | China | 294,383,000 | 2010 |
| 2 | United States | 151,000,000 | 2010 |
| 3 | Germany | 45,600,000 | 2010 |
| 4 | Russia | 44,959,000 | 2010 |
| 5 | Brazil | 42,141,000 | 2010 |
| 6 | Japan | 40,419,000 | 2009 |
| 7 | Indonesia | 37,960,000 | 2010 |
| 8 | France | 36,154,000 | 2010 |
| 9 | India | 35,090,000 | 2010 |
| 10 | United Kingdom | 33,320,000 | 2010 |
| 11 | Korea, South | 28,543,000 | 2010 |
| 12 | Iran | 26,849,000 | 2010 |
| 13 | Italy | 21,600,000 | 2010 |
| 14 | Spain | 19,904,000 | 2010 |
| 15 | Mexico | 19,892,000 | 2010 |
| 16 | Canada | 17,021,000 | 2010 |
| 17 | Taiwan | 16,433,000 | 2010 |
| 18 | Vietnam | 16,400,000 | 2010 |
| 19 | Turkey | 16,202,000 | 2010 |
| 20 | Ukraine | 12,941,000 | 2010 |
| 21 | Argentina | 10,000,000 | 2010 |
| 22 | Egypt | 9,618,000 | 2010 |
| 23 | Poland | 9,451,000 | 2010 |
| 24 | Australia | 8,660,000 | 2010 |
| 25 | Netherlands | 7,169,000 | 2010 |
| 26 | Venezuela | 7,083,000 | 2010 |
| 27 | Thailand | 7,009,000 | 2010 |
| 28 | Colombia | 6,809,000 | 2010 |
| 29 | Philippines | 6,783,000 | 2010 |
| 30 | Greece | 5,203,000 | 2010 |
| 31 | Sweden | 5,014,000 | 2010 |
| 32 | Belgium | 4,640,000 | 2010 |
| 33 | Malaysia | 4,573,000 | 2010 |
| 34 | Romania | 4,500,000 | 2010 |
| 35 | Switzerland | 4,488,000 | 2010 |
| 36 | Portugal | 4,485,000 | 2010 |
| 37 | Hong Kong | 4,345,000 | 2010 |
| 38 | South Africa | 4,225,000 | 2010 |
| 39 | Saudi Arabia | 4,166,000 | 2010 |
| 40 | Belarus | 4,139,000 | 2010 |
| 41 | Syria | 4,069,000 | 2010 |
| 42 | Kazakhstan | 4,011,000 | 2010 |
| 43 | Morocco | 3,749,000 | 2010 |
| 44 | Sri Lanka | 3,579,000 | 2010 |
| 45 | Chile | 3,458,000 | 2010 |
| 46 | Pakistan | 3,419,000 | 2010 |
| 47 | Israel | 3,276,000 | 2010 |
| 48 | Austria | 3,245,000 | 2010 |
| 49 | Peru | 3,160,000 | 2010 |
| 50 | Serbia | 3,110,000 | 2010 |
| 51 | Hungary | 2,977,000 | 2010 |
| 52 | Algeria | 2,923,000 | 2010 |
| 53 | Denmark | 2,623,000 | 2010 |
| 54 | Bulgaria | 2,200,000 | 2010 |
| 55 | Czech Republic | 2,198,000 | 2010 |
| 56 | Ecuador | 2,086,000 | 2010 |
| 57 | Ireland | 2,078,000 | 2010 |
| 58 | Singapore | 1,984,000 | 2010 |
| 59 | New Zealand | 1,870,000 | 2010 |
| 60 | Croatia | 1,866,000 | 2010 |
| 61 | Uzbekistan | 1,864,000 | 2010 |
| 62 | Norway | 1,702,000 | 2010 |
| 63 | Iraq | 1,600,000 | 2010 |
| 64 | Azerbaijan | 1,500,000 | 2010 |
| 65 | Guatemala | 1,499,000 | 2010 |
| 66 | Costa Rica | 1,482,000 | 2010 |
| 67 | United Arab Emirates | 1,480,000 | 2010 |
| 68 | Tunisia | 1,290,000 | 2010 |
| 69 | Finland | 1,250,000 | 2010 |
| 70 | Libya | 1,228,000 | 2010 |
