CIA - The World Factbook --  Telephones - main lines in use   

This entry gives the total number of main telephone lines in use.

| Rank | country | Telephones - main lines in use | Date of Information |
| --- | --- | --- | --- |
| 1 | China | 313,680,000 | 2009 |
| 2 | United States | 141,000,000 | 2009 |
| 3 | Germany | 48,700,000 | 2009 |
| 4 | Russia | 44,802,000 | 2009 |
| 5 | Japan | 44,364,000 | 2009 |
| 6 | Brazil | 41,497,000 | 2009 |
| 7 | France | 36,431,000 | 2009 |
| 8 | India | 35,770,000 | 2010 |
| 9 | Indonesia | 33,958,000 | 2009 |
| 10 | United Kingdom | 32,117,000 | 2009 |
| 11 | Iran | 25,804,000 | 2009 |
| 12 | Italy | 21,300,000 | 2009 |
| 13 | Spain | 20,057,000 | 2009 |
| 14 | Mexico | 19,425,000 | 2009 |
| 15 | Korea, South | 19,289,000 | 2009 |
| 16 | Canada | 18,251,000 | 2009 |
| 17 | Vietnam | 17,427,000 | 2009 |
| 18 | Turkey | 16,534,000 | 2009 |
| 19 | Taiwan | 14,596,000 | 2009 |
| 20 | Ukraine | 13,026,000 | 2009 |
| 21 | Egypt | 10,313,000 | 2009 |
| 22 | Argentina | 9,764,000 | 2009 |
| 23 | Poland | 9,556,000 | 2009 |
| 24 | Australia | 9,020,000 | 2009 |
| 25 | Colombia | 7,500,000 | 2009 |
| 26 | Netherlands | 7,320,000 | 2009 |
| 27 | Thailand | 7,024,000 | 2009 |
| 28 | Venezuela | 6,867,000 | 2009 |
| 29 | Greece | 5,930,000 | 2009 |
| 30 | Romania | 5,313,000 | 2009 |
| 31 | Sweden | 5,146,000 | 2009 |
| 32 | Switzerland | 4,650,000 | 2009 |
| 33 | South Africa | 4,320,000 | 2009 |
| 34 | Malaysia | 4,312,000 | 2009 |
| 35 | Hong Kong | 4,188,000 | 2009 |
| 36 | Saudi Arabia | 4,171,000 | 2009 |
| 37 | Philippines | 4,100,000 | 2009 |
| 38 | Pakistan | 4,058,000 | 2009 |
| 39 | Portugal | 4,049,000 | 2009 |
| 40 | Belarus | 3,969,000 | 2009 |
| 41 | Syria | 3,871,000 | 2009 |
| 42 | Kazakhstan | 3,763,000 | 2009 |
| 43 | Chile | 3,575,000 | 2009 |
| 44 | Sri Lanka | 3,523,000 | 2010 |
| 45 | Morocco | 3,516,000 | 2009 |
| 46 | Austria | 3,253,000 | 2009 |
| 47 | Israel | 3,250,000 | 2009 |
| 48 | Serbia | 3,106,000 | 2009 |
| 49 | Hungary | 3,069,000 | 2009 |
| 50 | Peru | 2,965,000 | 2009 |
| 51 | Algeria | 2,576,000 | 2009 |
| 52 | Bulgaria | 2,164,000 | 2009 |
| 53 | Czech Republic | 2,092,000 | 2009 |
| 54 | Ireland | 2,080,000 | 2009 |
| 55 | Denmark | 2,062,000 | 2009 |
| 56 | Ecuador | 2,004,000 | 2009 |
| 57 | Norway | 1,900,000 | 2009 |
| 58 | New Zealand | 1,870,000 | 2009 |
| 59 | Croatia | 1,859,000 | 2009 |
| 60 | Uzbekistan | 1,857,000 | 2009 |
| 61 | Singapore | 1,852,000 | 2009 |
| 62 | United Arab Emirates | 1,561,000 | 2009 |
| 63 | Bangladesh | 1,522,000 | 2009 |
| 64 | Costa Rica | 1,493,000 | 2009 |
| 65 | Finland | 1,430,000 | 2009 |
| 66 | Nigeria | 1,419,000 | 2009 |
| 67 | Guatemala | 1,413,000 | 2009 |
| 68 | Azerbaijan | 1,397,000 | 2009 |
| 69 | Tunisia | 1,279,000 | 2009 |
| 70 | Korea, North | 1,180,000 | 2008 |
| 71 | Cuba | 1,168,000 | 2009 |
| 72 | Moldova | 1,139,000 | 2009 |
| 73 | Iraq | 1,108,000 | 2009 |
| 74 | Libya | 1,101,000 | 2009 |
| 75 | El Salvador | 1,099,000 | 2009 |
| 76 | Slovenia | 1,034,000 | 2009 |
| 77 | Slovakia | 1,022,000 | 2009 |
| 78 | Bosnia and Herzegovina | 998,600 | 2009 |
| 79 | Yemen | 997,000 | 2009 |
| 80 | Dominican Republic | 965,400 | 2009 |
| 81 | Uruguay | 953,400 | 2009 |
| 82 | Ethiopia | 915,100 | 2009 |
| 83 | Puerto Rico | 870,100 | 2009 |
| 84 | Honduras | 830,000 | 2009 |
| 85 | Nepal | 820,500 | 2009 |
| 86 | Burma | 812,000 | 2009 |
| 87 | Bolivia | 810,200 | 2009 |
| 88 | Lebanon | 750,000 | 2009 |
| 89 | Lithuania | 747,400 | 2009 |
| 90 | Kenya | 664,100 | 2009 |
| 91 | Latvia | 644,000 | 2009 |
| 92 | Armenia | 630,000 | 2009 |
| 93 | Georgia | 620,000 | 2009 |
| 94 | Kuwait | 553,500 | 2009 |
| 95 | Panama | 537,100 | 2009 |
| 96 | Jordan | 501,200 | 2009 |
| 97 | Kyrgyzstan | 498,300 | 2009 |
| 98 | Estonia | 492,800 | 2009 |
| 99 | Turkmenistan | 478,000 | 2009 |
| 100 | Macedonia | 442,200 | 2009 |
| 101 | Cyprus | 414,500 | NA |
| 102 | Paraguay | 387,300 | 2009 |
| 103 | Zimbabwe | 385,100 | 2009 |
| 104 | Mauritius | 379,100 | 2009 |
| 105 | Sudan | 370,400 | 2009 |
| 106 | Montenegro | 366,600 | 2009 |
| 107 | Albania | 363,000 | 2009 |
| 108 | Gaza Strip | 360,400 | 2010 |
| 109 | West Bank | 360,400 | 2010 |
| 110 | Cameroon | 323,800 | 2009 |
| 111 | Trinidad and Tobago | 314,800 | 2009 |
| 112 | Angola | 303,200 | 2009 |
| 113 | Jamaica | 302,300 | 2009 |
| 114 | Oman | 300,100 | 2009 |
| 115 | Tajikistan | 290,000 | 2009 |
| 116 | Qatar | 285,300 | 2009 |
| 117 | Cote d'Ivoire | 282,100 | 2009 |
| 118 | Senegal | 278,800 | 2009 |
| 119 | Luxembourg | 273,600 | 2009 |
| 120 | Ghana | 267,400 | 2009 |
| 121 | Nicaragua | 255,000 | 2009 |
| 122 | Malta | 252,700 | 2009 |
| 123 | Bahrain | 238,400 | 2009 |
| 124 | Uganda | 233,500 | 2009 |
| 125 | Mongolia | 188,900 | 2009 |
| 126 | Iceland | 185,200 | 2009 |
| 127 | Madagascar | 181,200 | 2009 |
| 128 | Togo | 178,700 | 2009 |
| 129 | Malawi | 175,000 | 2009 |
| 130 | Tanzania | 173,552 | 2010 |
| 131 | Macau | 168,903 | 2010 |
| 132 | Burkina Faso | 167,000 | 2009 |
| 133 | Botswana | 144,200 | 2009 |
| 134 | Namibia | 142,100 | 2009 |
| 135 | Fiji | 136,800 | 2009 |
| 136 | Barbados | 135,700 | 2009 |
| 137 | Laos | 132,200 | 2009 |
| 138 | Guyana | 130,000 | 2009 |
| 139 | Afghanistan | 129,300 | 2009 |
| 140 | Bahamas, The | 129,000 | 2009 |
| 141 | Benin | 127,100 | 2009 |
| 142 | Haiti | 108,300 | 2009 |
| 143 | Kosovo | 106,300 | 2006 |
| 144 | Somalia | 100,000 | 2009 |
| 145 | Zambia | 90,300 | 2009 |
| 146 | Suriname | 83,700 | 2009 |
| 147 | Mozambique | 82,400 | 2009 |
| 148 | Mali | 81,000 | 2009 |
| 149 | Brunei | 80,500 | 2009 |
| 150 | Virgin Islands | 75,000 | 2009 |
| 151 | Mauritania | 74,500 | 2009 |
| 152 | Jersey | 73,900 | 2009 |
| 153 | Cape Verde | 72,200 | 2009 |
| 154 | New Caledonia | 65,900 | 2009 |
| 155 | Niger | 65,000 | 2009 |
| 156 | Papua New Guinea | 60,000 | 2009 |
| 157 | Bermuda | 57,700 | 2009 |
| 158 | French Polynesia | 54,300 | 2009 |
| 159 | Cambodia | 54,200 | 2009 |
| 160 | Isle of Man | 51,000 | 1999 |
| 161 | Maldives | 49,913 | 2009 |
| 162 | Gambia, The | 49,000 | 2009 |
| 163 | Eritrea | 48,500 | 2009 |
| 164 | Guernsey | 45,100 | 2009 |
| 165 | Swaziland | 44,000 | 2009 |
| 166 | Saint Lucia | 41,000 | 2009 |
| 167 | Congo, Democratic Republic of the | 40,000 | 2009 |
| 168 | Lesotho | 40,000 | 2009 |
| 169 | Aruba | 38,300 | 2009 |
| 170 | Cayman Islands | 38,000 | 2009 |
| 171 | Andorra | 37,900 | 2009 |
| 172 | Antigua and Barbuda | 37,400 | 2009 |
| 173 | Monaco | 35,400 | 2009 |
| 174 | Rwanda | 33,500 | 2009 |
| 175 | Sierra Leone | 32,800 | 2009 |
| 176 | Samoa | 31,900 | 2009 |
| 177 | Burundi | 31,500 | 2009 |
| 178 | Belize | 31,200 | 2009 |
| 179 | Tonga | 31,000 | 2009 |
| 180 | Grenada | 28,600 | 2009 |
| 181 | Gabon | 26,500 | 2009 |
| 182 | Bhutan | 26,300 | 2009 |
| 183 | Comoros | 25,400 | 2009 |
| 184 | Northern Mariana Islands | 25,100 | 2009 |
| 185 | Congo, Republic of the | 24,300 | 2009 |
| 186 | Gibraltar | 24,000 | 2009 |
| 187 | Saint Vincent and the Grenadines | 23,000 | 2009 |
| 188 | Seychelles | 22,100 | 2009 |
| 189 | Greenland | 22,000 | 2009 |
| 190 | Guinea | 22,000 | 2009 |
| 191 | San Marino | 21,500 | 2009 |
| 192 | Faroe Islands | 20,900 | 2009 |
| 193 | Saint Kitts and Nevis | 20,500 | 2009 |
| 194 | British Virgin Islands | 20,100 | 2009 |
| 195 | Liechtenstein | 19,600 | 2009 |
| 196 | Dominica | 17,500 | 2009 |
| 197 | Djibouti | 16,800 | 2009 |
| 198 | Chad | 13,000 | 2009 |
| 199 | Central African Republic | 12,000 | 2009 |
| 200 | American Samoa | 10,400 | 2009 |
| 201 | Equatorial Guinea | 10,000 | 2009 |
| 202 | Mayotte | 10,000 | 2009 |
| 203 | Micronesia, Federated States of | 8,700 | 2009 |
| 204 | Solomon Islands | 8,200 | 2009 |
| 205 | Sao Tome and Principe | 7,800 | 2009 |
| 206 | Vanuatu | 7,200 | 2009 |
| 207 | Palau | 7,100 | 2009 |
| 208 | Cook Islands | 6,900 | 2009 |
| 209 | Anguilla | 6,300 | 2009 |
| 210 | Sint Maarten | 5,153 | 2001 |
| 211 | Holy See (Vatican City) | 5,120 | 2005 |
| 212 | Guinea-Bissau | 4,800 | 2009 |
| 213 | Saint Pierre and Miquelon | 4,800 | 2009 |
| 214 | Marshall Islands | 4,400 | 2009 |
| 215 | Belgium | 4,255 | 2009 |
| 216 | Kiribati | 4,000 | 2009 |
| 217 | Turks and Caicos Islands | 3,700 | 2009 |
| 218 | Wallis and Futuna | 3,000 | 2009 |
| 219 | Saint Helena, Ascension, and Tristan da Cunha | 2,900 | 2009 |
| 220 | Montserrat | 2,700 | 2009 |
| 221 | Norfolk Island | 2,532 | 2004 |
| 222 | Timor-Leste | 2,400 | 2009 |
| 223 | Falkland Islands (Islas Malvinas) | 2,000 | 2009 |
| 224 | Liberia | 2,000 | 2009 |
| 225 | Nauru | 1,900 | 2009 |
| 226 | Tuvalu | 1,700 | 2009 |
| 227 | Niue | 1,100 | 2009 |
| 228 | Tokelau | 300 | 2009 |
| 229 | Cocos (Keeling) Islands | 287 | 1992 |
| 230 | Pitcairn Islands | 1 | 2004 |
| 231 | Antarctica | 0 | 2001 |
