CIA - The World Factbook --  Telephones - main lines in use   

This entry gives the total number of main telephone lines in use.

| Rank | country | Telephones - main lines in use | Date of Information |
| --- | --- | --- | --- |
| 1 | China | 285,115,000 | 2011 |
| 2 | United States | 146,000,000 | 2011 |
| 3 | Japan | 64,668,000 | 2011 |
| 4 | Germany | 51,800,000 | 2011 |
| 5 | Russia | 44,152,000 | 2011 |
| 6 | Brazil | 43,026,000 | 2011 |
| 7 | France | 39,883,000 | 2011 |
| 8 | Indonesia | 38,618,000 | 2011 |
| 9 | United Kingdom | 33,230,000 | 2011 |
| 10 | India | 32,685,000 | 2011 |
| 11 | Korea, South | 29,468,000 | 2011 |
| 12 | Iran | 27,767,000 | 2011 |
| 13 | Italy | 22,116,000 | 2011 |
| 14 | Spain | 19,867,000 | 2011 |
| 15 | Mexico | 19,684,000 | 2011 |
| 16 | Canada | 18,201,000 | 2011 |
| 17 | Taiwan | 16,907,000 | 2011 |
| 18 | Turkey | 15,211,000 | 2011 |
| 19 | Ukraine | 12,681,000 | 2011 |
| 20 | Australia | 10,570,000 | 2011 |
| 21 | Vietnam | 10,175,000 | 2011 |
| 22 | Argentina | 10,140,000 | 2011 |
| 23 | Egypt | 8,714,000 | 2011 |
| 24 | Venezuela | 7,332,000 | 2011 |
| 25 | Netherlands | 7,135,000 | 2011 |
| 26 | Colombia | 7,127,000 | 2011 |
| 27 | Poland | 6,853,000 | 2011 |
| 28 | Thailand | 6,661,000 | 2011 |
| 29 | Greece | 5,745,000 | 2011 |
| 30 | Pakistan | 5,722,000 | 2011 |
| 31 | Romania | 4,680,000 | 2011 |
| 32 | Saudi Arabia | 4,633,000 | 2011 |
| 33 | Belgium | 4,631,000 | 2011 |
| 34 | Switzerland | 4,613,000 | 2011 |
| 35 | Sweden | 4,600,000 | 2011 |
| 36 | Portugal | 4,530,000 | 2011 |
| 37 | Syria | 4,345,000 | 2011 |
| 38 | Hong Kong | 4,342,000 | 2011 |
| 39 | Kazakhstan | 4,266,000 | 2011 |
| 40 | Malaysia | 4,243,000 | 2011 |
| 41 | Belarus | 4,208,000 | 2011 |
| 42 | South Africa | 4,127,000 | 2011 |
| 43 | Peru | 3,688,000 | 2011 |
