CIA - The World Factbook --  Electricity - installed generating capacity   

Electricity - installed generating capacity is the total capacity of currently installed generators, expressed in kilowatts (kW), to produce electricity. A 10-kilowatt (kW) generator will produce 10 kilowatt hours (kWh) of electricity, if it runs continuously for one hour.

| Rank | country | (kW) | Date of Information |
| --- | --- | --- | --- |
| 1 | China | 1,247,000,000 | 2013 est. |
| 2 | United States | 1,039,000,000 | 2010 est. |
| 3 | European Union | 867,600,000 | 2010 est. |
| 4 | Japan | 287,000,000 | 2010 est. |
| 5 | Russia | 223,100,000 | 2012 est. |
| 6 | India | 199,900,000 | 31 March 2012 est. |
| 7 | Germany | 178,400,000 | 2012 est. |
| 8 | Canada | 138,600,000 | 2011 est. |
| 9 | France | 124,300,000 | 2010 est. |
| 10 | Italy | 124,200,000 | 2012 est. |
| 11 | Brazil | 113,700,000 | 2010 est. |
| 12 | Spain | 101,700,000 | 2010 est. |
| 13 | United Kingdom | 89,240,000 | 31 December 2012 est. |
| 14 | Korea, South | 84,660,000 | 2010 est. |
| 15 | Iran | 62,090,000 | 2010 est. |
| 16 | Mexico | 62,000,000 | 2010 est. |
| 17 | Australia | 59,130,000 | 2010 est. |
| 18 | Ukraine | 54,880,000 | 2010 est. |
| 19 | Turkey | 49,520,000 | 2010 est. |
| 20 | Saudi Arabia | 49,050,000 | 2010 est. |
| 21 | Taiwan | 48,750,000 | 2011 est. |
| 22 | South Africa | 44,260,000 | 2010 est. |
| 23 | Indonesia | 39,900,000 | 2011 est. |
| 24 | Sweden | 36,510,000 | 2010 est. |
| 25 | Poland | 33,360,000 | 2010 est. |
| 26 | Argentina | 32,870,000 | 2010 est. |
| 27 | Thailand | 32,600,000 | 2012 est. |
| 28 | Norway | 30,180,000 | 2010 est. |
| 29 | Netherlands | 29,920,000 | 2012 |
| 30 | Venezuela | 27,500,000 | 2012 est. |
| 31 | Egypt | 26,910,000 | 2010 est. |
| 32 | Vietnam | 26,300,000 | 2012 est. |
| 33 | Malaysia | 25,390,000 | 2010 est. |
| 34 | United Arab Emirates | 23,250,000 | 2010 est. |
| 35 | Pakistan | 22,270,000 | 2010 est. |
| 36 | Romania | 21,770,000 | 2012 est. |
| 37 | Austria | 21,110,000 | 2010 est. |
| 38 | Czech Republic | 20,520,000 | 2012 est. |
| 39 | Portugal | 18,920,000 | 2010 est. |
| 40 | Kazakhstan | 18,730,000 | 2010 est. |
| 41 | Belgium | 18,320,000 | 2010 est. |
| 42 | Switzerland | 18,070,000 | 2010 est. |
| 43 | Finland | 16,680,000 | 2010 est. |
| 44 | Philippines | 16,360,000 | 2010 est. |
| 45 | Chile | 16,210,000 | 2010 est. |
| 46 | Israel | 15,330,000 | 2010 est. |
| 47 | Greece | 15,120,000 | 2010 est. |
| 48 | Denmark | 13,710,000 | 2010 est. |
| 49 | Colombia | 13,540,000 | 2010 est. |
| 50 | Kuwait | 13,500,000 | 2011 est. |
| 51 | Uzbekistan | 11,600,000 | 2010 est. |
| 52 | Algeria | 11,330,000 | 2010 est. |
| 53 | Iraq | 11,200,000 | 2013 est. |
| 54 | Hong Kong | 10,670,000 | 2013 est. |
| 55 | Bangladesh | 10,260,000 | 2013 est. |
| 56 | Singapore | 10,250,000 | 2010 est. |
| 57 | Bulgaria | 10,010,000 | 2010 est. |
| 58 | Hungary | 9,900,000 | 2011 est. |
| 59 | New Zealand | 9,679,000 | 2010 est. |
| 60 | Korea, North | 9,500,000 | 2011 est. |
| 61 | Paraguay | 8,816,000 | 2010 est. |
| 62 | Peru | 8,613,000 | 2010 est. |
| 63 | Syria | 8,323,000 | 2010 est. |
| 64 | Ireland | 8,316,000 | 2010 est. |
| 65 | Belarus | 8,032,000 | 2010 est. |
| 66 | Slovakia | 7,855,000 | 2010 est. |
| 67 | Qatar | 7,830,000 | 2011 est. |
| 68 | Serbia | 7,379,000 | 2013 est. |
| 69 | Libya | 6,766,000 | 2010 est. |
| 70 | Morocco | 6,620,000 | 2010 est. |
| 71 | Azerbaijan | 6,392,000 | 2010 est. |
| 72 | Cuba | 5,914,000 | 2011 est. |
| 73 | Nigeria | 5,900,000 | 2010 est. |
| 74 | Dominican Republic | 5,701,000 | 2010 est. |
| 75 | Puerto Rico | 5,571,000 | 2010 est. |
| 76 | Ecuador | 5,243,000 | 2010 est. |
| 77 | Georgia | 4,538,000 | 2010 est. |
| 78 | Tajikistan | 4,476,000 | 2013 est. |
| 79 | Oman | 4,265,000 | 2010 est. |
| 80 | Croatia | 4,132,000 | 2010 est. |
| 81 | Bosnia and Herzegovina | 3,963,000 | 2012 est. |
| 82 | Lithuania | 3,820,000 | 2011 est. |
| 83 | Tunisia | 3,652,000 | 2010 est. |
