CIA - The World Factbook --  ELECTRICITY - INSTALLED GENERATING CAPACITY

Electricity - installed generating capacity is the total capacity of currently installed generators, expressed in kilowatts (kW), to produce electricity. A 10-kilowatt (kW) generator will produce 10 kilowatt hours (kWh) of electricity, if it runs continuously for one hour.

| Rank | Country | (KW) | Date of Information |
| --- | --- | --- | --- |
| 1 | European Union | 9,470,000,000 | 2012 est. |
| 2 | China | 1,646,000,000 | 2016 est. |
| 3 | United States | 1,074,000,000 | 2015 est. |
| 4 | Japan | 322,200,000 | 2015 est. |
| 5 | India | 308,800,000 | 30 November 2016 est. |
| 6 | Russia | 263,500,000 | 2015 est. |
| 7 | Germany | 204,100,000 | 2015 est. |
| 8 | Brazil | 155,600,000 | 2015 est. |
| 9 | Canada | 147,600,000 | 2015 est. |
| 10 | France | 129,300,000 | 2015 est. |
| 11 | Italy | 117,000,000 | 2015 est. |
| 12 | Spain | 106,700,000 | 2015 est. |
| 13 | Korea, South | 103,000,000 | 2015 est. |
| 14 | United Kingdom | 94,640,000 | 2015 est. |
| 15 | Turkey | 73,150,000 | 2015 est. |
| 16 | Iran | 72,940,000 | 2015 est. |
| 17 | Saudi Arabia | 69,050,000 | 2015 est. |
| 18 | Australia | 67,030,000 | 2015 est. |
| 19 | Mexico | 65,450,000 | 2016 est. |
| 20 | Indonesia | 57,350,000 | 2015 est. |
| 21 | Ukraine | 56,920,000 | 2015 est. |
| 22 | Taiwan | 48,610,000 | 2015 est. |
| 23 | South Africa | 47,280,000 | 2015 est. |
| 24 | Thailand | 40,970,000 | 2015 est. |
| 25 | Vietnam | 40,490,000 | 2015 est. |
| 26 | Sweden | 39,670,000 | 2015 est. |
| 27 | Egypt | 38,880,000 | 2015 est. |
| 28 | Argentina | 38,190,000 | 2015 est. |
| 29 | Poland | 37,320,000 | 2015 est. |
| 30 | Netherlands | 33,860,000 | 2015 est. |
| 31 | Norway | 33,850,000 | 2015 est. |
| 32 | Malaysia | 33,340,000 | 2015 est. |
| 33 | Venezuela | 32,170,000 | 2015 est. |
| 34 | United Arab Emirates | 28,900,000 | 2015 est. |
| 35 | Iraq | 28,000,000 | 2017 est. |
| 36 | Austria | 24,440,000 | 2015 est. |
| 37 | Romania | 24,030,000 | 2015 est. |
| 38 | Pakistan | 22,830,000 | 2015 est. |
| 39 | Kazakhstan | 22,060,000 | 2016 est. |
| 40 | Chile | 21,640,000 | 2015 est. |
| 41 | Czechia | 21,510,000 | 2015 est. |
| 42 | Philippines | 21,210,000 | 2015 est. |
| 43 | Belgium | 21,150,000 | 2015 est. |
| 44 | Portugal | 19,630,000 | 2015 est. |
| 45 | Switzerland | 19,620,000 | 2015 est. |
| 46 | Greece | 18,940,000 | 2015 est. |
| 47 | Israel | 17,220,000 | 2015 est. |
| 48 | Algeria | 17,120,000 | 2015 est. |
| 49 | Colombia | 16,660,000 | 2015 est. |
| 50 | Kuwait | 16,000,000 | 2016 est. |
| 51 | Finland | 15,880,000 | 2015 est. |
| 52 | Denmark | 14,010,000 | 2015 est. |
| 53 | Singapore | 13,280,000 | 2015 est. |
| 54 | Uzbekistan | 12,930,000 | 2015 est. |
| 55 | Hong Kong | 12,630,000 | 2015 est. |
| 56 | Peru | 12,260,000 | 2015 est. |
| 57 | Bangladesh | 11,700,000 | 2015 est. |
| 58 | Bulgaria | 10,910,000 | 2015 est. |
| 59 | Nigeria | 10,480,000 | 2015 est. |
| 60 | Belarus | 10,080,000 | 2015 est. |
| 61 | Korea, North | 10,000,000 | 2015 est. |
| 62 | Syria | 9,610,000 | 2015 est. |
| 63 | Ireland | 9,557,000 | 2015 est. |
| 64 | Libya | 9,460,000 | 2015 est. |
| 65 | New Zealand | 9,454,000 | 2015 est. |
| 66 | Paraguay | 8,870,000 | 2015 est. |
| 67 | Qatar | 8,836,000 | 2015 est. |
| 68 | Hungary | 8,468,000 | 2015 est. |
| 69 | Morocco | 8,040,000 | 2015 est. |
| 70 | Oman | 7,869,000 | 2015 est. |
| 71 | Serbia | 7,594,000 | 2016 est. |
| 72 | Azerbaijan | 7,417,000 | 2015 est. |
| 73 | Slovakia | 7,110,000 | 2015 est. |
| 74 | Cuba | 6,711,000 | 2015 est. |
| 75 | Puerto Rico | 6,118,000 | 2015 est. |
| 76 | Ecuador | 5,986,000 | 2015 est. |
| 77 | Tajikistan | 5,500,000 | 2016 est. |
| 78 | Tunisia | 5,028,000 | 2015 est. |
| 79 | Croatia | 4,915,000 | 2015 est. |
| 80 | Burma | 4,783,000 | 2015 est. |
| 81 | Laos | 4,541,000 | 2015 est. |
| 82 | Uruguay | 4,408,000 | 2015 est. |
| 83 | Jordan | 4,382,000 | 2015 est. |
| 84 | Georgia | 4,280,000 | 2015 est. |
| 85 | Bosnia and Herzegovina | 4,243,000 | 2015 est. |
