CIA - The World Factbook --  Electricity - installed generating capacity   

This entry is the total capacity of currently installed generators, expressed in kilowatts (kW), to produce electricity. A 10-kilowatt (kW) generator will produce 10 kilowatt hours (kWh) of electricity, if it runs continuously for one hour.

| Rank | country | (kW) | Date of Information |
| --- | --- | --- | --- |
| 1 | China | 1,146,000,000 | 2012 est. |
| 2 | United States | 1,039,000,000 | 2010 est. |
| 3 | European Union | 855,400,000 | 2010 est. |
| 4 | Japan | 287,000,000 | 2010 est. |
| 5 | Russia | 223,100,000 | 2012 est. |
| 6 | India | 208,100,000 | 2010 est. |
| 7 | Germany | 153,200,000 | 2010 est. |
| 8 | Canada | 136,900,000 | 2010 est. |
| 9 | France | 124,300,000 | 2010 est. |
| 10 | Italy | 122,300,000 | 2011 est. |
| 11 | Brazil | 113,700,000 | 2010 est. |
| 12 | Spain | 101,700,000 | 2010 est. |
| 13 | United Kingdom | 93,450,000 | 2010 est. |
| 14 | Korea, South | 84,660,000 | 2010 est. |
| 15 | Iran | 62,090,000 | 2010 est. |
| 16 | Mexico | 62,000,000 | 2010 est. |
| 17 | Australia | 59,130,000 | 2010 est. |
| 18 | Ukraine | 54,880,000 | 2010 est. |
| 19 | Turkey | 49,520,000 | 2010 est. |
| 20 | Saudi Arabia | 49,050,000 | 2010 est. |
| 21 | Taiwan | 48,750,000 | 2011 est. |
| 22 | South Africa | 44,260,000 | 2010 est. |
| 23 | Indonesia | 39,900,000 | 2011 est. |
| 24 | Sweden | 36,510,000 | 2010 est. |
| 25 | Poland | 33,360,000 | 2010 est. |
| 26 | Argentina | 32,870,000 | 2010 est. |
| 27 | Thailand | 32,600,000 | 2012 est. |
| 28 | Norway | 30,180,000 | 2010 est. |
| 29 | Venezuela | 27,500,000 | 2012 est. |
| 30 | Egypt | 26,910,000 | 2010 est. |
| 31 | Netherlands | 26,620,000 | 2010 est. |
| 32 | Vietnam | 26,300,000 | 2012 est. |
| 33 | Malaysia | 25,390,000 | 2010 est. |
| 34 | Romania | 24,980,000 | 2011 est. |
| 35 | United Arab Emirates | 23,250,000 | 2010 est. |
| 36 | Pakistan | 22,270,000 | 2010 est. |
| 37 | Austria | 21,110,000 | 2010 est. |
| 38 | Portugal | 18,920,000 | 2010 est. |
| 39 | Kazakhstan | 18,730,000 | 2010 est. |
| 40 | Belgium | 18,320,000 | 2010 est. |
| 41 | Czech Republic | 18,300,000 | 2010 est. |
| 42 | Switzerland | 18,070,000 | 2010 est. |
| 43 | Finland | 16,680,000 | 2010 est. |
| 44 | Philippines | 16,360,000 | 2010 est. |
| 45 | Chile | 16,210,000 | 2010 est. |
| 46 | Israel | 15,330,000 | 2010 est. |
| 47 | Greece | 15,120,000 | 2010 est. |
| 48 | Denmark | 13,710,000 | 2010 est. |
| 49 | Colombia | 13,540,000 | 2010 est. |
| 50 | Kuwait | 12,680,000 | 2010 est. |
| 51 | Uzbekistan | 11,600,000 | 2010 est. |
| 52 | Algeria | 11,330,000 | 2010 est. |
| 53 | Hong Kong | 10,660,000 | 2012 est. |
| 54 | Singapore | 10,250,000 | 2010 est. |
| 55 | Iraq | 10,110,000 | 2012 est. |
| 56 | Bulgaria | 10,010,000 | 2010 est. |
| 57 | Hungary | 9,900,000 | 2011 est. |
| 58 | New Zealand | 9,679,000 | 2010 est. |
| 59 | Korea, North | 9,500,000 | 2010 est. |
| 60 | Paraguay | 8,816,000 | 2010 est. |
| 61 | Peru | 8,613,000 | 2010 est. |
| 62 | Serbia | 8,359,000 | 2010 est. |
| 63 | Syria | 8,323,000 | 2010 est. |
| 64 | Ireland | 8,316,000 | 2010 est. |
| 65 | Belarus | 8,032,000 | 2010 est. |
| 66 | Slovakia | 7,855,000 | 2010 est. |
| 67 | Libya | 6,766,000 | 2010 est. |
| 68 | Bangladesh | 6,673,000 | 2010 est. |
| 69 | Morocco | 6,620,000 | 2010 est. |
| 70 | Azerbaijan | 6,392,000 | 2010 est. |
| 71 | Cuba | 5,914,000 | 2011 est. |
| 72 | Nigeria | 5,900,000 | 2010 est. |
| 73 | Dominican Republic | 5,701,000 | 2010 est. |
| 74 | Puerto Rico | 5,571,000 | 2010 est. |
| 75 | Ecuador | 5,243,000 | 2010 est. |
| 76 | Qatar | 4,893,000 | 2010 est. |
| 77 | Georgia | 4,538,000 | 2010 est. |
| 78 | Tajikistan | 4,426,000 | 2010 est. |
| 79 | Bosnia and Herzegovina | 4,304,000 | 2010 est. |
| 80 | Oman | 4,265,000 | 2010 est. |
| 81 | Croatia | 4,132,000 | 2010 est. |
| 82 | Lithuania | 3,820,000 | 2011 est. |
| 83 | Tunisia | 3,652,000 | 2010 est. |
| 84 | Kyrgyzstan | 3,640,000 | 2010 est. |
| 85 | Armenia | 3,472,000 | 2010 est. |
| 86 | Slovenia | 3,193,000 | 2010 est. |
| 87 | Bahrain | 3,169,000 | 2010 est. |
| 88 | Jordan | 3,138,000 | 2010 est. |
| 89 | Turkmenistan | 2,852,000 | 2010 est. |
| 90 | Costa Rica | 2,800,000 | 2010 est. |
| 91 | Estonia | 2,751,000 | 2010 est. |
| 92 | Guatemala | 2,745,000 | 2010 est. |
| 93 | Sri Lanka | 2,685,000 | 2010 est. |
| 94 | Uruguay | 2,588,000 | 2010 est. |
| 95 | Iceland | 2,579,000 | 2010 est. |
| 96 | Congo, Democratic Republic of the | 2,437,000 | 2010 est. |
| 97 | Mozambique | 2,428,000 | 2010 est. |
| 98 | Lebanon | 2,314,000 | 2010 est. |
| 99 | Latvia | 2,166,000 | 2010 est. |
| 100 | Sudan | 2,083,000 | 2010 est. |
| 101 | Ethiopia | 2,061,000 | 2010 est. |
| 102 | Zimbabwe | 2,035,000 | 2010 est. |
| 103 | Ghana | 1,985,000 | 2010 est. |
| 104 | Panama | 1,976,000 | 2010 est. |
| 105 | Macedonia | 1,940,000 | 2012 est. |
| 106 | Laos | 1,895,000 | 2010 est. |
| 107 | Luxembourg | 1,723,000 | 2010 est. |
| 108 | Burma | 1,713,000 | 2010 est. |
| 109 | Honduras | 1,701,000 | 2010 est. |
| 110 | Kenya | 1,698,000 | 2010 est. |
| 111 | Zambia | 1,679,000 | 2010 est. |
