CIA - The World Factbook --  ELECTRICITY - INSTALLED GENERATING CAPACITY

Electricity - installed generating capacity is the total capacity of currently installed generators, expressed in kilowatts (kW), to produce electricity. A 10-kilowatt (kW) generator will produce 10 kilowatt hours (kWh) of electricity, if it runs continuously for one hour.

| Rank | Country | (KW) | Date of Information |
| --- | --- | --- | --- |
| 1 | China | 1,505,000,000 | 2014 est. |
| 2 | United States | 1,053,000,000 | 2011 est. |
| 3 | Japan | 287,300,000 | 2012 est. |
| 4 | Russia | 239,700,000 | 2012 est. |
| 5 | India | 223,300,000 | 26 February 2014 est. |
| 6 | Germany | 178,400,000 | 2012 est. |
| 7 | Canada | 138,600,000 | 2011 est. |
| 8 | France | 130,400,000 | 2011 est. |
| 9 | Italy | 124,200,000 | 2012 est. |
| 10 | Brazil | 119,100,000 | 2011 est. |
| 11 | Spain | 102,300,000 | 2014 est. |
| 12 | Korea, South | 86,970,000 | 2011 est. |
| 13 | United Kingdom | 76,440,000 | 31 December 2014 est. |
| 14 | Iran | 65,310,000 | 2011 est. |
| 15 | Australia | 61,940,000 | 2011 est. |
| 16 | Mexico | 61,510,000 | 2011 est. |
| 17 | Ukraine | 54,890,000 | 2011 est. |
| 18 | Turkey | 53,860,000 | 2011 est. |
| 19 | Saudi Arabia | 51,150,000 | 2011 est. |
| 20 | Taiwan | 48,480,000 | 2014 est. |
| 21 | South Africa | 44,150,000 | 2013 est. |
| 22 | Indonesia | 41,010,000 | 2011 est. |
| 23 | Sweden | 37,940,000 | 2012 est. |
| 24 | Poland | 34,320,000 | 2011 est. |
| 25 | Argentina | 32,880,000 | 2011 est. |
| 26 | Thailand | 32,600,000 | 2012 est. |
| 27 | Norway | 31,760,000 | 2011 est. |
| 28 | Netherlands | 29,920,000 | 2012 |
| 29 | Malaysia | 28,400,000 | 2011 est. |
| 30 | Venezuela | 27,500,000 | 2012 est. |
| 31 | Egypt | 27,000,000 | 2013 est. |
| 32 | Vietnam | 26,300,000 | 2012 est. |
| 33 | United Arab Emirates | 26,140,000 | 2011 est. |
| 34 | Romania | 24,000,000 | 2013 est. |
| 35 | Pakistan | 23,660,000 | FY2013 est. |
| 36 | Austria | 22,360,000 | 2011 est. |
| 37 | Greece | 22,300,000 | 2012 est. |
| 38 | Belgium | 20,790,000 | 2011 est. |
| 39 | Czech Republic | 20,520,000 | 2012 est. |
| 40 | Switzerland | 20,040,000 | 2011 est. |
| 41 | Portugal | 19,620,000 | 2013 est. |
| 42 | Kazakhstan | 18,750,000 | 2011 est. |
| 43 | Chile | 17,950,000 | 2011 est. |
| 44 | Philippines | 17,030,000 | 2012 est. |
| 45 | Finland | 16,730,000 | 2011 est. |
| 46 | Israel | 16,250,000 | 2014 est. |
| 47 | Algeria | 15,200,000 | 2013 est. |
| 48 | Colombia | 14,470,000 | 2011 est. |
| 49 | Denmark | 13,510,000 | 2011 est. |
| 50 | Kuwait | 13,500,000 | 2011 est. |
| 51 | Bulgaria | 12,900,000 | 2013 est. |
| 52 | Uzbekistan | 12,350,000 | 2011 est. |
| 53 | Iraq | 11,200,000 | 2013 est. |
| 54 | Hong Kong | 10,670,000 | 2013 est. |
| 55 | Singapore | 10,490,000 | 2011 est. |
| 56 | Bangladesh | 10,260,000 | 2013 est. |
| 57 | New Zealand | 9,722,000 | 2011 est. |
| 58 | Hungary | 9,531,000 | 2011 est. |
| 59 | Paraguay | 8,816,000 | 2011 est. |
| 60 | Ireland | 8,572,000 | 2011 est. |
| 61 | Peru | 8,557,000 | 2011 est. |
| 62 | Syria | 8,323,000 | 2011 est. |
| 63 | Slovakia | 8,074,000 | 2013 est. |
| 64 | Belarus | 8,032,000 | 2011 est. |
| 65 | Qatar | 7,830,000 | 2011 est. |
| 66 | Serbia | 7,368,000 | 2014 est. |
| 67 | Korea, North | 7,243,000 | 2013 est. |
| 68 | Libya | 7,066,000 | 2011 est. |
| 69 | Morocco | 6,413,000 | 2011 est. |
| 70 | Azerbaijan | 6,398,000 | 2011 est. |
| 71 | Cuba | 6,055,000 | 2013 est. |
| 72 | Nigeria | 5,900,000 | 2011 est. |
| 73 | Puerto Rico | 5,571,000 | 2011 est. |
| 74 | Ecuador | 5,336,000 | 2011 est. |
| 75 | Oman | 4,861,000 | 2011 est. |
| 76 | Tajikistan | 4,476,000 | 2013 est. |
| 77 | Georgia | 4,350,000 | 2011 est. |
| 78 | Bosnia and Herzegovina | 4,300,000 | 2013 est. |
| 79 | Turkmenistan | 4,275,000 | 2014 est. |
| 80 | Croatia | 4,206,000 | 2013 est. |
| 81 | Tunisia | 4,076,000 | 2011 est. |
| 82 | Armenia | 4,021,000 | 2012 est. |
| 83 | Kyrgyzstan | 3,766,000 | 2011 est. |
| 84 | Lithuania | 3,639,000 | 2011 est. |
| 85 | Burma | 3,590,000 | 2012 est. |
| 86 | Dominican Republic | 3,364,000 | 2013 est. |
| 87 | Slovenia | 3,351,000 | 2012 est. |
| 88 | Laos | 3,217,000 | 2013 est. |
| 89 | Jordan | 3,193,000 | 2013 est. |
| 90 | Bahrain | 3,169,000 | 2011 est. |
| 91 | Sri Lanka | 3,147,000 | 2011 est. |
| 92 | Costa Rica | 2,944,000 | 2011 est. |
| 93 | Ghana | 2,847,000 | 2015 est. |
| 94 | Estonia | 2,825,000 | 2011 est. |
| 95 | Guatemala | 2,813,000 | 2011 est. |
| 96 | Uruguay | 2,707,000 | 2011 est. |
| 97 | Iceland | 2,669,000 | 2011 est. |
| 98 | Congo, Democratic Republic of the | 2,506,000 | 2011 est. |
| 99 | Mozambique | 2,429,000 | 2011 est. |
| 100 | Panama | 2,391,000 | 2011 est. |
