CIA - The World Factbook --  CARBON DIOXIDE EMISSIONS FROM CONSUMPTION OF ENERGY

| Rank | Country | (MT) | Date of Information |
| --- | --- | --- | --- |
| 1 | China | 10,000,000,000 | 2013 est. |
| 2 | United States | 5,270,000,000 | 2012 est. |
| 3 | European Union | 3,914,000,000 | 2013 est. |
| 4 | India | 1,831,000,000 | 2012 est. |
| 5 | Russia | 1,782,000,000 | 2012 est. |
| 6 | Japan | 1,276,000,000 | 2012 est. |
| 7 | Germany | 788,300,000 | 2012 est. |
| 8 | Korea, South | 688,300,000 | 2012 est. |
| 9 | Iran | 603,600,000 | 2012 est. |
| 10 | Saudi Arabia | 582,700,000 | 2012 est. |
| 11 | United Kingdom | 568,300,000 | 2013 est. |
| 12 | Canada | 550,800,000 | 2012 est. |
| 13 | Brazil | 500,200,000 | 2012 est. |
| 14 | South Africa | 473,200,000 | 2012 est. |
| 15 | Indonesia | 456,200,000 | 2012 est. |
| 16 | Mexico | 453,800,000 | 2012 est. |
| 17 | Australia | 420,600,000 | 2012 est. |
| 18 | Italy | 385,800,000 | 2012 est. |
| 19 | France | 385,600,000 | 2013 est. |
| 20 | Spain | 312,400,000 | 2012 est. |
| 21 | Taiwan | 307,100,000 | 2012 est. |
| 22 | Turkey | 296,900,000 | 2012 est. |
| 23 | Thailand | 290,700,000 | 2012 est. |
| 24 | Ukraine | 290,400,000 | 2012 est. |
| 25 | Poland | 289,500,000 | 2012 est. |
| 26 | Netherlands | 239,600,000 | 2012 est. |
| 27 | United Arab Emirates | 234,100,000 | 2012 est. |
| 28 | Kazakhstan | 224,200,000 | 2012 est. |
| 29 | Singapore | 208,000,000 | 2012 est. |
| 30 | Egypt | 206,300,000 | 2012 est. |
| 31 | Malaysia | 198,800,000 | 2012 est. |
| 32 | Argentina | 196,000,000 | 2012 est. |
| 33 | Venezuela | 184,800,000 | 2012 est. |
| 34 | Pakistan | 146,900,000 | 2012 est. |
| 35 | Belgium | 139,100,000 | 2012 est. |
| 36 | Algeria | 133,900,000 | 2012 est. |
| 37 | Vietnam | 131,700,000 | 2012 est. |
| 38 | Iraq | 130,700,000 | 2012 est. |
| 39 | Uzbekistan | 123,200,000 | 2012 est. |
| 40 | Kuwait | 105,700,000 | 2012 est. |
| 41 | Qatar | 99,170,000 | 2012 est. |
| 42 | Czech Republic | 91,150,000 | 2012 est. |
| 43 | Hong Kong | 88,630,000 | 2012 est. |
| 44 | Nigeria | 86,400,000 | 2012 est. |
| 45 | Romania | 86,060,000 | 2012 est. |
| 46 | Philippines | 83,950,000 | 2012 est. |
| 47 | Chile | 81,510,000 | 2012 est. |
| 48 | Greece | 78,800,000 | 2013 est. |
| 49 | Colombia | 74,900,000 | 2012 est. |
| 50 | Portugal | 68,800,000 | 2012 est. |
| 51 | Belarus | 67,130,000 | 2012 est. |
| 52 | Austria | 66,680,000 | 2012 est. |
| 53 | Turkmenistan | 64,980,000 | 2012 est. |
| 54 | Bangladesh | 63,500,000 | 2012 est. |
| 55 | Oman | 62,850,000 | 2012 est. |
| 56 | Israel | 62,500,000 | 2014 est. |
| 57 | Libya | 54,600,000 | 2012 est. |
| 58 | Peru | 53,580,000 | 2012 est. |
| 59 | Trinidad and Tobago | 51,270,000 | 2012 est. |
| 60 | Sweden | 51,080,000 | 2012 est. |
| 61 | Syria | 50,920,000 | 2012 est. |
| 62 | Hungary | 47,900,000 | 2012 est. |
| 63 | Finland | 46,810,000 | 2012 est. |
| 64 | Serbia | 46,000,000 | 2014 est. |
| 65 | Korea, North | 45,400,000 | 2012 est. |
| 66 | Bulgaria | 44,510,000 | 2013 est. |
| 67 | Switzerland | 42,970,000 | 2012 est. |
| 68 | Norway | 41,060,000 | 2012 est. |
| 69 | Denmark | 40,510,000 | 2012 est. |
| 70 | Morocco | 39,350,000 | 2012 est. |
| 71 | New Zealand | 37,890,000 | 2012 est. |
| 72 | Ecuador | 37,230,000 | 2012 est. |
| 73 | Ireland | 35,490,000 | 2012 est. |
| 74 | Azerbaijan | 35,140,000 | 2012 est. |
| 75 | Bahrain | 32,200,000 | 2012 est. |
| 76 | Angola | 31,610,000 | 2012 est. |
| 77 | Slovakia | 29,270,000 | 2012 est. |
| 78 | Puerto Rico | 26,810,000 | 2012 est. |
| 79 | Bosnia and Herzegovina | 26,000,000 | 2012 est. |
| 80 | Cuba | 25,990,000 | 2012 est. |
| 81 | Yemen | 21,280,000 | 2012 est. |
| 82 | Dominican Republic | 20,800,000 | 2012 est. |
| 83 | Tunisia | 20,270,000 | 2012 est. |
| 84 | Montenegro | 19,720,000 | 2012 est. |
| 85 | Bolivia | 17,280,000 | 2012 est. |
| 86 | Jordan | 16,860,000 | 2012 est. |
| 87 | Lithuania | 16,690,000 | 2012 est. |
| 88 | Sudan | 16,450,000 | 2011 est. |
| 89 | Lebanon | 16,440,000 | 2012 est. |
| 90 | Panama | 16,230,000 | 2012 est. |
| 91 | Slovenia | 15,870,000 | 2012 est. |
| 92 | Sri Lanka | 15,230,000 | 2012 est. |
| 93 | Kenya | 13,450,000 | 2012 est. |
| 94 | Burma | 13,340,000 | 2012 est. |
| 95 | Guatemala | 13,070,000 | 2012 est. |
| 96 | Jamaica | 12,750,000 | 2012 est. |
| 97 | Virgin Islands | 12,410,000 | 2012 est. |
| 98 | Armenia | 12,120,000 | 2012 est. |
| 99 | Luxembourg | 11,690,000 | 2012 est. |
| 100 | Mongolia | 11,360,000 | 2012 est. |
| 101 | Honduras | 10,330,000 | 2012 est. |
| 102 | Zimbabwe | 10,120,000 | 2012 est. |
| 103 | Moldova | 9,415,000 | 2012 est. |
| 104 | Tanzania | 9,295,000 | 2012 est. |
| 105 | Kyrgyzstan | 9,278,000 | 2012 est. |
| 106 | Ghana | 9,098,000 | 2012 est. |
| 107 | Cyprus | 8,801,000 | 2012 est. |
| 108 | Brunei | 8,678,000 | 2012 est. |
| 109 | Afghanistan | 8,552,000 | 2012 est. |
| 110 | Ethiopia | 8,213,000 | 2012 est. |
| 111 | Macedonia | 8,084,000 | 2012 est. |
| 112 | Latvia | 7,897,000 | 2012 est. |
| 113 | Uruguay | 7,591,000 | 2012 est. |
| 114 | Kosovo | 7,576,000 | 2012 est. |
| 115 | Costa Rica | 7,290,000 | 2012 est. |
| 116 | Senegal | 7,139,000 | 2012 est. |
| 117 | Congo, Republic of the | 6,691,000 | 2012 est. |
| 118 | Cambodia | 6,500,000 | 2013 est. |
| 119 | Cote d'Ivoire | 6,403,000 | 2012 est. |
| 120 | El Salvador | 6,375,000 | 2012 est. |
| 121 | Georgia | 6,258,000 | 2012 est. |
| 122 | Cameroon | 6,224,000 | 2012 est. |
| 123 | Estonia | 5,686,000 | 2012 est. |
| 124 | Equatorial Guinea | 5,614,000 | 2012 est. |
| 125 | Croatia | 5,598,000 | 2012 est. |
| 126 | Gabon | 5,437,000 | 2012 est. |
| 127 | Mauritius | 5,317,000 | 2012 est. |
| 128 | Nicaragua | 5,285,000 | 2012 est. |
| 129 | Mozambique | 4,789,000 | 2012 est. |
| 130 | Benin | 4,581,000 | 2012 est. |
| 131 | Albania | 3,962,000 | 2012 est. |
| 132 | Gibraltar | 3,946,000 | 2012 est. |
| 133 | Botswana | 3,919,000 | 2012 est. |
| 134 | Paraguay | 3,869,000 | 2012 est. |
| 135 | Bahamas, The | 3,836,000 | 2012 est. |
