CIA - The World Factbook --  Carbon dioxide emissions from consumption of energy   

This entry is the total amount of carbon dioxide, measured in metric tons, released by burning fossil fuels in the process of producing and consuming energy.

| Rank | country | (Mt) | Date of Information |
| --- | --- | --- | --- |
| 1 | World | 31,760,000,000 | 2010 est. |
| 2 | China | 8,321,000,000 | 2010 est. |
| 3 | United States | 5,610,000,000 | 2010 est. |
| 4 | India | 1,696,000,000 | 2010 est. |
| 5 | Russia | 1,634,000,000 | 2010 est. |
| 6 | Japan | 1,164,000,000 | 2010 est. |
| 7 | Germany | 793,700,000 | 2010 est. |
| 8 | Korea, South | 579,000,000 | 2010 est. |
| 9 | Iran | 560,300,000 | 2010 est. |
| 10 | Canada | 548,800,000 | 2010 est. |
| 11 | United Kingdom | 532,400,000 | 2010 est. |
| 12 | Saudi Arabia | 478,400,000 | 2010 est. |
| 13 | South Africa | 465,100,000 | 2010 est. |
| 14 | Brazil | 453,900,000 | 2010 est. |
| 15 | Mexico | 445,300,000 | 2010 est. |
| 16 | Italy | 416,400,000 | 2010 est. |
| 17 | Australia | 405,300,000 | 2010 est. |
| 18 | France | 395,200,000 | 2010 est. |
| 19 | Indonesia | 389,400,000 | 2010 est. |
| 20 | Spain | 316,400,000 | 2010 est. |
| 21 | Taiwan | 305,400,000 | 2010 est. |
| 22 | Poland | 303,700,000 | 2010 est. |
| 23 | Thailand | 278,500,000 | 2010 est. |
| 24 | Ukraine | 275,500,000 | 2010 est. |
| 25 | Turkey | 263,500,000 | 2010 est. |
| 26 | Netherlands | 263,400,000 | 2010 est. |
| 27 | United Arab Emirates | 199,400,000 | 2010 est. |
| 28 | Egypt | 196,500,000 | 2010 est. |
| 29 | Kazakhstan | 184,500,000 | 2010 est. |
| 30 | Malaysia | 181,900,000 | 2010 est. |
| 31 | Singapore | 172,200,000 | 2010 est. |
| 32 | Argentina | 169,800,000 | 2010 est. |
| 33 | Venezuela | 158,400,000 | 2010 est. |
| 34 | Pakistan | 151,600,000 | 2010 est. |
| 35 | Belgium | 127,200,000 | 2010 est. |
| 36 | Iraq | 118,300,000 | 2010 est. |
| 37 | Uzbekistan | 114,300,000 | 2010 est. |
| 38 | Vietnam | 112,800,000 | 2010 est. |
| 39 | Algeria | 110,900,000 | 2010 est. |
| 40 | Greece | 92,990,000 | 2010 est. |
| 41 | Czech Republic | 90,830,000 | 2010 est. |
| 42 | Philippines | 85,630,000 | 2010 est. |
| 43 | Hong Kong | 83,780,000 | 2010 est. |
| 44 | Kuwait | 81,330,000 | 2010 est. |
| 45 | Nigeria | 80,510,000 | 2010 est. |
| 46 | Romania | 78,430,000 | 2010 est. |
| 47 | Colombia | 72,310,000 | 2010 est. |
