CIA - The World Factbook --  ELECTRICITY - FROM NUCLEAR FUELS

Electricity - from nuclear fuels measures the capacity of plants that generate electricity through radioactive decay of nuclear fuel, expressed as a share of the country's total generating capacity.

| Rank | Country | (% OF TOTAL INSTALLED CAPACITY) | Date of Information |
| --- | --- | --- | --- |
| 1 | Hungary | 61.0 | 2015 est. |
| 2 | France | 48.8 | 2012 est. |
| 3 | Armenia | 34.3 | 2011 est. |
| 4 | Slovenia | 33.6 | 2013 est. |
| 5 | Belgium | 28.2 | 2012 est. |
| 6 | Korea, South | 26.8 | 2013 est. |
| 7 | Sweden | 24.8 | 2012 est. |
| 8 | Slovakia | 24.0 | 2014 est. |
| 9 | Ukraine | 23.7 | 2012 est. |
| 10 | Czechia | 18.8 | 2012 est. |
| 11 | Bulgaria | 16.9 | 2014 est. |
| 12 | Finland | 16.2 | 2012 est. |
| 13 | Switzerland | 16.1 | 2012 est. |
| 14 | Japan | 15.1 | 2012 est. |
| 15 | European Union | 12.9 | 2012 est. |
| 16 | United Kingdom | 11.7 | 2014 est. |
| 17 | Taiwan | 10.6 | 2014 est. |
| 18 | Russia | 10.1 | 2012 est. |
| 19 | Canada | 10.0 | 2012 est. |
| 20 | United States | 9.6 | 2012 est. |
| 21 | Croatia | 7.7 | 2013 est. |
| 22 | Spain | 7.7 | 2014 est. |
| 23 | Germany | 6.8 | 2012 est. |
| 24 | Romania | 6.1 | 2014 est. |
| 25 | South Africa | 4.4 | 2013 est. |
| 26 | Pakistan | 3.2 | FY2014 est. |
| 27 | Argentina | 2.7 | 2012 est. |
| 28 | Mexico | 2.5 | 2012 est. |
| 29 | India | 2.0 | 26 February 2014 est. |
| 30 | Netherlands | 1.6 | 2012 est. |
| 31 | China | 1.5 | 2014 est. |
| 32 | Brazil | 1.5 | 2012 est. |
| 33 | Iran | 1.2 | 2012 est. |
| 34 | Aruba | 0.0 | 2012 est. |
| 35 | Antigua and Barbuda | 0.0 | 2012 est. |
| 36 | United Arab Emirates | 0.0 | 2012 est. |
| 37 | Afghanistan | 0.0 | 2012 est. |
| 38 | Algeria | 0.0 | 2012 est. |
| 39 | Azerbaijan | 0.0 | 2012 est. |
| 40 | Albania | 0.0 | 2013 est. |
| 41 | Andorra | 0.0 | 2010 est. |
| 42 | Angola | 0.0 | 2012 est. |
| 43 | American Samoa | 0.0 | 2012 est. |
| 44 | Australia | 0.0 | 2012 est. |
| 45 | Austria | 0.0 | 2014 est. |
| 46 | Bahrain | 0.0 | 2012 est. |
| 47 | Barbados | 0.0 | 2012 est. |
| 48 | Botswana | 0.0 | 2012 est. |
| 49 | Bermuda | 0.0 | 2014 est. |
| 50 | Bahamas, The | 0.0 | 2012 est. |
| 51 | Bangladesh | 0.0 | 2013 est. |
| 52 | Belize | 0.0 | 2012 est. |
| 53 | Bosnia and Herzegovina | 0.0 | 2013 est. |
| 54 | Bolivia | 0.0 | 2012 est. |
| 55 | Burma | 0.0 | 2012 est. |
| 56 | Benin | 0.0 | 2012 est. |
| 57 | Belarus | 0.0 | 2012 est. |
| 58 | Solomon Islands | 0.0 | 2012 est. |
| 59 | Bhutan | 0.0 | 2013 est. |
| 60 | Brunei | 0.0 | 2014 est. |
| 61 | Burundi | 0.0 | 2012 est. |
| 62 | Cambodia | 0.0 | 2013 est. |
| 63 | Chad | 0.0 | 2012 est. |
| 64 | Sri Lanka | 0.0 | 2012 est. |
| 65 | Congo, Republic of the | 0.0 | 2012 est. |
| 66 | Congo, Democratic Republic of the | 0.0 | 2012 est. |
| 67 | Chile | 0.0 | 2012 est. |
| 68 | Cayman Islands | 0.0 | 2012 est. |
| 69 | Cameroon | 0.0 | 2012 est. |
| 70 | Comoros | 0.0 | 2012 est. |
| 71 | Colombia | 0.0 | 2012 est. |
| 72 | Costa Rica | 0.0 | 2012 est. |
| 73 | Central African Republic | 0.0 | 2012 est. |
| 74 | Cuba | 0.0 | 2013 est. |
| 75 | Cabo Verde | 0.0 | 2012 est. |
| 76 | Cook Islands | 0.0 | 2012 est. |
| 77 | Cyprus | 0.0 | 2012 est. |
| 78 | Denmark | 0.0 | 2012 est. |
| 79 | Djibouti | 0.0 | 2012 est. |
| 80 | Dominica | 0.0 | 2012 est. |
| 81 | Dominican Republic | 0.0 | 2013 est. |
| 82 | Ecuador | 0.0 | 2012 est. |
| 83 | Egypt | 0.0 | 2012 est. |
| 84 | Ireland | 0.0 | 2012 est. |
| 85 | Equatorial Guinea | 0.0 | 2012 est. |
| 86 | Estonia | 0.0 | 2014 est. |
| 87 | Eritrea | 0.0 | 2012 est. |
| 88 | El Salvador | 0.0 | 2012 est. |
| 89 | Ethiopia | 0.0 | 2012 est. |
| 90 | Fiji | 0.0 | 2012 est. |
| 91 | Falkland Islands (Islas Malvinas) | 0.0 | 2012 est. |
| 92 | Micronesia, Federated States of | 0.0 | 2015 est. |
| 93 | Faroe Islands | 0.0 | 2012 est. |
| 94 | French Polynesia | 0.0 | 2012 est. |
| 95 | Gambia, The | 0.0 | 2012 est. |
| 96 | Gabon | 0.0 | 2012 est. |
| 97 | Georgia | 0.0 | 2012 est. |
| 98 | Ghana | 0.0 | 2012 est. |
| 99 | Gibraltar | 0.0 | 2012 est. |
| 100 | Grenada | 0.0 | 2012 est. |
| 101 | Greenland | 0.0 | 2012 est. |
| 102 | Guam | 0.0 | 2012 est. |
| 103 | Greece | 0.0 | 2012 est. |
| 104 | Guatemala | 0.0 | 2015 est. |
| 105 | Guinea | 0.0 | 2012 est. |
| 106 | Guyana | 0.0 | 2012 est. |
| 107 | Haiti | 0.0 | 2012 est. |
| 108 | Hong Kong | 0.0 | 2013 est. |
| 109 | Honduras | 0.0 | 2012 est. |
| 110 | Iceland | 0.0 | 2012 est. |
| 111 | Indonesia | 0.0 | 2012 est. |
| 112 | Israel | 0.0 | 2014 est. |
| 113 | Italy | 0.0 | 2012 est. |
| 114 | Cote d'Ivoire | 0.0 | 2012 est. |
| 115 | Iraq | 0.0 | 2013 est. |
| 116 | Jamaica | 0.0 | 2012 est. |
| 117 | Jordan | 0.0 | 2013 est. |
| 118 | Kenya | 0.0 | 2012 est. |
| 119 | Kyrgyzstan | 0.0 | 2012 est. |
| 120 | Korea, North | 0.0 | 2012 est. |
| 121 | Kiribati | 0.0 | 2012 est. |
| 122 | Kuwait | 0.0 | 2012 est. |
| 123 | Kosovo | 0.0 | 2012 est. |
| 124 | Kazakhstan | 0.0 | 2012 est. |
| 125 | Laos | 0.0 | 2012 est. |
| 126 | Lebanon | 0.0 | 2012 est. |
| 127 | Latvia | 0.0 | 2012 est. |
| 128 | Lithuania | 0.0 | 2012 est. |
| 129 | Liberia | 0.0 | 2012 est. |
| 130 | Lesotho | 0.0 | 2012 est. |
| 131 | Luxembourg | 0.0 | 2012 est. |
| 132 | Libya | 0.0 | 2012 est. |
| 133 | Madagascar | 0.0 | 2012 est. |
| 134 | Macau | 0.0 | 2013 est. |
