CIA - The World Factbook --  ELECTRICITY - FROM NUCLEAR FUELS

Electricity - from nuclear fuels measures the capacity of plants that generate electricity through radioactive decay of nuclear fuel, expressed as a share of the country's total generating capacity.

| Rank | Country | (% OF TOTAL INSTALLED CAPACITY) | Date of Information |
| --- | --- | --- | --- |
| 1 | France | 51.2 | 2011 est. |
| 2 | Belgium | 30.4 | 2011 est. |
| 3 | Sweden | 26.5 | 2011 est. |
| 4 | Slovakia | 24.9 | 2011 est. |
| 5 | Ukraine | 24.3 | 2011 est. |
| 6 | Korea, South | 23.4 | 2011 est. |
| 7 | Slovenia | 20.5 | 2012 est. |
| 8 | Bulgaria | 20.2 | 2011 est. |
| 9 | Hungary | 19.8 | 2011 est. |
| 10 | Czech Republic | 19.7 | 2012 est. |
| 11 | Switzerland | 17.9 | 2011 est. |
| 12 | Japan | 16.9 | 2011 est. |
| 13 | Finland | 16.4 | 2011 est. |
| 14 | European Union | 13.5 | 2011 est. |
| 15 | United Kingdom | 11.2 | 2012 est. |
| 16 | Taiwan | 10.9 | 2011 est. |
| 17 | Armenia | 10.8 | 2011 est. |
| 18 | Russia | 10.6 | 2012 est. |
| 19 | United States | 9.8 | 2011 est. |
| 20 | Canada | 9.1 | 2011 est. |
| 21 | Spain | 7.7 | 2011 est. |
| 22 | Germany | 7.0 | 2012 est. |
| 23 | Romania | 6.5 | 2012 est. |
| 24 | South Africa | 4.3 | 2011 est. |
| 25 | Pakistan | 3.3 | 2011 est. |
| 26 | Argentina | 2.9 | 2011 est. |
| 27 | India | 2.1 | 31 March 2012 est. |
| 28 | Mexico | 2.1 | 2011 est. |
| 29 | Brazil | 1.6 | 2011 est. |
| 30 | Netherlands | 1.6 | 2012 est. |
| 31 | China | 1.2 | 2013 est. |
| 32 | Aruba | 0.0 | 2011 est. |
| 33 | Antigua and Barbuda | 0.0 | 2011 est. |
| 34 | United Arab Emirates | 0.0 | 2011 est. |
| 35 | Afghanistan | 0.0 | 2011 est. |
| 36 | Algeria | 0.0 | 2011 est. |
| 37 | Azerbaijan | 0.0 | 2011 est. |
| 38 | Albania | 0.0 | 2012 est. |
| 39 | Andorra | 0.0 | 2010 est. |
| 40 | Angola | 0.0 | 2011 est. |
| 41 | American Samoa | 0.0 | 2011 est. |
| 42 | Australia | 0.0 | 2011 est. |
| 43 | Austria | 0.0 | 2011 est. |
| 44 | Bahrain | 0.0 | 2011 est. |
| 45 | Barbados | 0.0 | 2011 est. |
| 46 | Botswana | 0.0 | 2011 est. |
| 47 | Bermuda | 0.0 | 2012 est. |
| 48 | Bahamas, The | 0.0 | 2011 est. |
| 49 | Bangladesh | 0.0 | 2013 est. |
| 50 | Belize | 0.0 | 2011 est. |
| 51 | Bosnia and Herzegovina | 0.0 | 2012 est. |
| 52 | Bolivia | 0.0 | 2012 est. |
| 53 | Burma | 0.0 | 2011 est. |
| 54 | Benin | 0.0 | 2011 est. |
| 55 | Belarus | 0.0 | 2011 est. |
| 56 | Solomon Islands | 0.0 | 2011 est. |
| 57 | Bhutan | 0.0 | 2011 est. |
| 58 | Brunei | 0.0 | 2011 est. |
| 59 | Burundi | 0.0 | 2011 est. |
| 60 | Cambodia | 0.0 | 2011 est. |
| 61 | Chad | 0.0 | 2011 est. |
| 62 | Sri Lanka | 0.0 | 2011 est. |
| 63 | Congo, Republic of the | 0.0 | 2012 est. |
| 64 | Congo, Democratic Republic of the | 0.0 | 2011 est. |
| 65 | Chile | 0.0 | 2011 est. |
| 66 | Cayman Islands | 0.0 | 2011 est. |
| 67 | Cameroon | 0.0 | 2011 est. |
| 68 | Comoros | 0.0 | 2011 est. |
| 69 | Colombia | 0.0 | 2011 est. |
| 70 | Costa Rica | 0.0 | 2011 est. |
| 71 | Central African Republic | 0.0 | 2011 est. |
| 72 | Cuba | 0.0 | 2011 est. |
| 73 | Cabo Verde | 0.0 | 2011 est. |
| 74 | Cook Islands | 0.0 | 2011 est. |
| 75 | Cyprus | 0.0 | 2011 est. |
| 76 | Denmark | 0.0 | 2011 est. |
| 77 | Djibouti | 0.0 | 2011 est. |
| 78 | Dominica | 0.0 | 2011 est. |
| 79 | Dominican Republic | 0.0 | 2011 est. |
| 80 | Ecuador | 0.0 | 2011 est. |
| 81 | Egypt | 0.0 | 2011 est. |
| 82 | Ireland | 0.0 | 2011 est. |
| 83 | Equatorial Guinea | 0.0 | 2011 est. |
| 84 | Estonia | 0.0 | 2011 est. |
| 85 | Eritrea | 0.0 | 2011 est. |
| 86 | El Salvador | 0.0 | 2011 est. |
| 87 | Ethiopia | 0.0 | 2011 est. |
| 88 | Fiji | 0.0 | 2011 est. |
| 89 | Falkland Islands (Islas Malvinas) | 0.0 | 2011 est. |
| 90 | Faroe Islands | 0.0 | 2011 est. |
| 91 | French Polynesia | 0.0 | 2011 est. |
| 92 | Gambia, The | 0.0 | 2011 est. |
| 93 | Gabon | 0.0 | 2011 est. |
| 94 | Georgia | 0.0 | 2011 est. |
| 95 | Ghana | 0.0 | 2011 est. |
| 96 | Gibraltar | 0.0 | 2011 est. |
| 97 | Grenada | 0.0 | 2011 est. |
| 98 | Greenland | 0.0 | 2011 est. |
| 99 | Guam | 0.0 | 2011 est. |
| 100 | Greece | 0.0 | 2011 est. |
| 101 | Guatemala | 0.0 | 2011 est. |
| 102 | Guinea | 0.0 | 2011 est. |
| 103 | Guyana | 0.0 | 2011 est. |
| 104 | Haiti | 0.0 | 2011 est. |
| 105 | Hong Kong | 0.0 | 2013 est. |
| 106 | Honduras | 0.0 | 2011 est. |
| 107 | Croatia | 0.0 | 2011 est. |
| 108 | Iceland | 0.0 | 2011 est. |
| 109 | Indonesia | 0.0 | 2011 est. |
| 110 | Iran | 0.0 | 2011 est. |
| 111 | Israel | 0.0 | 2011 est. |
| 112 | Italy | 0.0 | 2011 est. |
| 113 | Cote d'Ivoire | 0.0 | 2011 est. |
| 114 | Iraq | 0.0 | 2013 est. |
| 115 | Jamaica | 0.0 | 2011 est. |
| 116 | Jordan | 0.0 | 2011 est. |
| 117 | Kenya | 0.0 | 2011 est. |
| 118 | Kyrgyzstan | 0.0 | 2011 est. |
| 119 | Korea, North | 0.0 | 2011 est. |
| 120 | Kiribati | 0.0 | 2011 est. |
| 121 | Kuwait | 0.0 | 2011 est. |
| 122 | Kazakhstan | 0.0 | 2011 est. |
| 123 | Laos | 0.0 | 2011 est. |
| 124 | Lebanon | 0.0 | 2011 est. |
| 125 | Latvia | 0.0 | 2011 est. |
| 126 | Lithuania | 0.0 | 2011 est. |
| 127 | Liberia | 0.0 | 2011 est. |
| 128 | Lesotho | 0.0 | 2011 est. |
| 129 | Luxembourg | 0.0 | 2011 est. |
| 130 | Libya | 0.0 | 2011 est. |
| 131 | Madagascar | 0.0 | 2011 est. |
| 132 | Macau | 0.0 | 2013 est. |
| 133 | Moldova | 0.0 | 2013 est. |
| 134 | Mongolia | 0.0 | 2011 est. |
| 135 | Montserrat | 0.0 | 2011 est. |
| 136 | Malawi | 0.0 | 2011 est. |
| 137 | Montenegro | 0.0 | 2011 est. |
| 138 | Macedonia | 0.0 | 2013 est. |
| 139 | Mali | 0.0 | 2011 est. |
| 140 | Morocco | 0.0 | 2011 est. |
| 141 | Mauritius | 0.0 | 2011 est. |
| 142 | Mauritania | 0.0 | 2011 est. |
| 143 | Malta | 0.0 | 2013 est. |
| 144 | Oman | 0.0 | 2011 est. |
| 145 | Maldives | 0.0 | 2011 est. |
| 146 | Malaysia | 0.0 | 2011 est. |
| 147 | Mozambique | 0.0 | 2011 est. |
| 148 | New Caledonia | 0.0 | 2011 est. |
| 149 | Niue | 0.0 | 2011 est. |
| 150 | Niger | 0.0 | 2011 est. |
| 151 | Vanuatu | 0.0 | 2011 est. |
| 152 | Nigeria | 0.0 | 2011 est. |
| 153 | Norway | 0.0 | 2011 est. |
| 154 | Nepal | 0.0 | 2011 est. |
| 155 | Nauru | 0.0 | 2011 est. |
| 156 | Suriname | 0.0 | 2011 est. |
| 157 | Nicaragua | 0.0 | 2013 est. |
| 158 | New Zealand | 0.0 | 2011 est. |
